Target   Number_of_QA_methods  Number_of_unique_models_in_top_1  Number_of_unique_models_in_top_3  Mean_Spearman_correlation
C1901    26                    9                                 24                                0.755751696789366
C1902    26                    14                                37                                0.711026751861688
C1903    26                    17                                43                                0.623467736109827
C1904    26                    11                                32                                0.758332632751154
C1905    26                    18                                34                                0.674275092563076
C1906    26                    13                                29                                0.704611355153311
C1907    26                    17                                40                                0.4738853447309
C1908    26                    16                                37                                0.640391080707292
C1909    26                    17                                38                                0.315425640210125
C1910    27                    19                                43                                0.254670604212329
C1901d1  19                    7                                 19                                0.70880847020746
C1901d2  18                    13                                25                                0.526092318578139
C1901d3  18                    8                                 16                                0.68686222071382
C1902d1  17                    10                                21                                0.642718250771412
C1902d2  18                    11                                21                                0.618637893643113
C1902d3  18                    7                                 20                                0.579614341278632
C1903d1  19                    12                                25                                0.52410113923701
C1903d2  19                    13                                27                                0.494836440926051
C1904d1  18                    11                                27                                0.572293143099363
C1904d2  19                    9                                 20                                0.52761433481493
C1904d3  18                    4                                 16                                0.777176584691857
C1905d1  19                    16                                27                                0.496490095970091
C1905d2  19                    11                                23                                0.618647168141842
C1906d1  19                    12                                29                                0.520793486158235
C1906d2  18                    10                                22                                0.677493971354156
C1901x2  17                    5                                 10                                0.898865747500781
C1902x2  16                    8                                 17                                0.769777684795191
C1903x2  17                    11                                16                                0.808336661935882
C1904x2  16                    9                                 13                                0.847555664773738
C1905x2  17                    11                                11                                0.840964826981745
C1906x2  17                    9                                 10                                0.831524746953621
C1908x2  16                    9                                 23                                0.720558457718815
