Target   Number_of_QA_methods  Number_of_unique_models_in_top_1  Number_of_unique_models_in_top_3  Mean_Spearman_correlation
C1901    5                     2                                 8                                 0.827176071354642
C1902    5                     5                                 12                                0.781068311606117
C1903    5                     5                                 13                                0.748853574494369
C1904    5                     5                                 11                                0.802826600003505
C1905    5                     5                                 11                                0.772476152142464
C1906    5                     4                                 10                                0.797552621794112
C1907    5                     4                                 14                                0.513547299577916
C1908    5                     4                                 12                                0.742236564630511
C1909    5                     4                                 10                                0.456263819783963
C1910    5                     4                                 11                                0.546550337195358
C1901d1  5                     1                                 6                                 0.871806483870116
C1901d2  5                     5                                 13                                0.61185893787996
C1901d3  5                     3                                 7                                 0.847719926713672
C1902d1  4                     4                                 12                                0.879553712414291
C1902d2  5                     4                                 10                                0.776607843363477
C1902d3  5                     3                                 8                                 0.763394062472442
C1903d1  5                     4                                 12                                0.680286815223503
C1903d2  5                     5                                 13                                0.60942674943463
C1904d1  5                     4                                 11                                0.709825090737767
C1904d2  5                     5                                 13                                0.724447395207541
C1904d3  5                     1                                 7                                 0.903176415358122
C1905d1  5                     4                                 10                                0.68237904407004
C1905d2  5                     4                                 9                                 0.77618042947566
C1906d1  5                     3                                 12                                0.710789071799367
C1906d2  5                     4                                 8                                 0.835610608379403
C1901x2  5                     2                                 6                                 0.918456958738767
C1902x2  5                     4                                 11                                0.85297842812584
C1903x2  5                     4                                 8                                 0.873828325488844
C1904x2  5                     4                                 7                                 0.895409237583075
C1905x2  5                     5                                 9                                 0.878927709074437
C1906x2  5                     3                                 7                                 0.91551724137931
C1908x2  5                     5                                 11                                0.794232412335956
