model         cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1910TS131_1  [0.690]  [0.662]  [0.654]  [0.648]  [0.656]  0.651    0.654    0.654    0.652    0.648     0.651     0.652     0.649     0.648     0.648     0.646     0.643     0.638
C1910TS414_3  0.649    0.632    0.633    0.642    0.653    0.648    0.652    0.650    0.648    0.645     0.643     0.643     0.640     0.639     0.639     0.637     0.634     0.629
C1910TS369_1  0.644    0.627    0.631    0.633    0.636    0.635    0.639    0.636    0.635    0.631     0.635     0.635     0.630     0.628     0.627     0.625     0.622     0.618
C1910TS210_1  0.643    0.627    0.640    0.647    0.655    [0.655]  [0.661]  [0.660]  [0.662]  [0.659]   [0.659]   [0.658]   [0.653]   0.649     0.646     0.643     0.639     0.635
C1910TS152_1  0.639    0.627    0.620    0.618    0.621    0.619    0.625    0.625    0.626    0.624     0.631     0.635     0.634     0.637     0.638     0.638     0.636     0.632
C1910TS044_1  0.633    0.615    0.620    0.620    0.627    0.627    0.633    0.634    0.635    0.633     0.637     0.642     0.641     0.641     0.642     0.641     0.639     0.634
C1910TS087_1  0.629    0.606    0.605    0.607    0.614    0.611    0.617    0.620    0.620    0.619     0.621     0.624     0.625     0.628     0.628     0.627     0.625     0.622
C1910TS309_1  0.612    0.603    0.600    0.598    0.604    0.603    0.605    0.605    0.611    0.608     0.613     0.616     0.615     0.616     0.617     0.616     0.614     0.610
C1910TS405_5  0.600    0.583    0.589    0.590    0.596    0.595    0.599    0.598    0.599    0.598     0.600     0.600     0.599     0.596     0.595     0.593     0.591     0.588
C1910TS123_3  0.557    0.544    0.548    0.549    0.553    0.552    0.555    0.556    0.558    0.557     0.559     0.563     0.563     0.563     0.564     0.563     0.562     0.560
C1910TS230_4  0.534    0.531    0.529    0.526    0.527    0.526    0.528    0.528    0.527    0.526     0.528     0.529     0.527     0.527     0.527     0.525     0.523     0.520
C1910TS182_2  0.523    0.514    0.509    0.507    0.510    0.510    0.513    0.515    0.516    0.518     0.520     0.524     0.526     0.529     0.531     0.533     0.534     0.534
