C1901d3TS003_1 C1901d3TS010_1 C1901d3TS010_2 C1901d3TS010_3 C1901d3TS010_4 C1901d3TS010_5 C1901d3TS049_1 C1901d3TS049_2 C1901d3TS049_3 C1901d3TS049_4 C1901d3TS049_5 C1901d3TS067_1 C1901d3TS067_2 C1901d3TS067_3 C1901d3TS067_4 C1901d3TS067_5 C1901d3TS103_1 C1901d3TS103_2 C1901d3TS123_1 C1901d3TS123_2 C1901d3TS123_3 C1901d3TS123_4 C1901d3TS123_5 C1901d3TS131_1 C1901d3TS131_2 C1901d3TS131_3 C1901d3TS131_4 C1901d3TS131_5 C1901d3TS210_1 C1901d3TS210_2 C1901d3TS210_3 C1901d3TS210_4 C1901d3TS210_5 C1901d3TS215_1 C1901d3TS215_2 C1901d3TS215_3 C1901d3TS215_4 C1901d3TS215_5 C1901d3TS228_1 C1901d3TS228_2 C1901d3TS228_3 C1901d3TS228_4 C1901d3TS228_5 C1901d3TS240_1 C1901d3TS240_2 C1901d3TS240_3 C1901d3TS240_4 C1901d3TS240_5 C1901d3TS258_1 C1901d3TS258_2 C1901d3TS258_3 C1901d3TS258_4 C1901d3TS258_5 C1901d3TS267_1 C1901d3TS267_2 C1901d3TS267_3 C1901d3TS267_4 C1901d3TS267_5 C1901d3TS273_1 C1901d3TS273_2 C1901d3TS273_3 C1901d3TS273_4 C1901d3TS273_5 C1901d3TS319_1 C1901d3TS319_2 C1901d3TS345_1 C1901d3TS345_2 C1901d3TS345_3 C1901d3TS345_4 C1901d3TS345_5 C1901d3TS347_1 C1901d3TS347_2 C1901d3TS347_3 C1901d3TS405_1 C1901d3TS405_2 C1901d3TS405_3 C1901d3TS405_4 C1901d3TS405_5 C1901d3TS432_1 C1901d3TS438_1 C1901d3TS438_2 C1901d3TS438_3 C1901d3TS438_4 C1901d3TS438_5
1 0.298927 0.298719 0.286533 0.291463 0.295946 0.189277 0.142511 0.126168 0.162168 0.139068 0.286137 0.270643 0.280834 0.291489 0.286137 0.190382 0.271572 0.284091 0.270761 0.279761 0.275546 0.256335 0.277584 0.274828 0.281783 0.278258 0.272189 0.292943 0.276044 0.270042 0.282287 0.26806 0.283384 0.264674 0.283559 0.27037 0.271574 0.299643 0.308554 0.298705 0.295386 0.287096 0.301807 0.295062 0.276306 0.29114 0.293811 0.296967 0.294144 0.280774 0.297968 0.282794 0.266413 0.295962 0.297357 0.300777 0.282603 0.29064 0.290341 0.289084 0.29137 0.287405 0.267737 0.276448 0.283062 0.28185 0.287312 0.270705 0.267882 0.28772 0.306871 0.270809 0.270042 0.282287 0.26806 0.263656 0.270181 0.226267 0.263557 0.255887 0.2654 0.263249 0.264389
0.261529 1 0.407922 0.399055 0.425688 0.339258 0.146043 0.0910759 0.0846251 0.10527 0.0974148 0.273724 0.245473 0.251782 0.265476 0.273724 0.172297 0.259498 0.314296 0.300606 0.279654 0.241532 0.237906 0.30649 0.299753 0.307911 0.29703 0.288827 0.288944 0.280527 0.269791 0.270094 0.26619 0.271073 0.267453 0.25521 0.280275 0.280949 0.288801 0.278213 0.282683 0.291789 0.288747 0.264227 0.264084 0.269539 0.28578 0.269256 0.277741 0.279082 0.273227 0.279005 0.278214 0.285751 0.272831 0.24993 0.281461 0.280904 0.269442 0.275753 0.2716 0.277746 0.281188 0.234487 0.23744 0.308523 0.286589 0.319314 0.263247 0.301279 0.280009 0.291305 0.266477 0.269791 0.270094 0.26619 0.255504 0.270209 0.231061 0.295594 0.267919 0.298718 0.293759 0.294136
0.266898 0.427667 1 0.400556 0.375238 0.365705 0.138056 0.100962 0.0977308 0.113461 0.108329 0.280093 0.25398 0.240256 0.252027 0.280093 0.169573 0.266953 0.288641 0.301485 0.260297 0.25183 0.244898 0.313312 0.312098 0.310552 0.297293 0.304613 0.297689 0.294865 0.27939 0.302569 0.275086 0.282625 0.294195 0.286024 0.278982 0.273565 0.306522 0.307577 0.3083 0.308427 0.304137 0.289225 0.282545 0.296092 0.284404 0.270382 0.315325 0.29777 0.277739 0.301727 0.279142 0.269135 0.253269 0.259943 0.263319 0.252131 0.291789 0.305476 0.295889 0.298965 0.304156 0.214664 0.220051 0.305855 0.324701 0.298954 0.275586 0.308505 0.265051 0.292736 0.247631 0.27939 0.302569 0.275086 0.265892 0.276233 0.228072 0.297478 0.251339 0.304082 0.29926 0.301438
0.254432 0.425629 0.416594 1 0.40004 0.405732 0.15105 0.117696 0.104068 0.111923 0.108739 0.266672 0.24258 0.243812 0.249715 0.266672 0.185389 0.265323 0.297306 0.291033 0.288755 0.229477 0.24006 0.306534 0.301995 0.299791 0.294262 0.309918 0.287945 0.288595 0.281907 0.294694 0.256978 0.282636 0.272793 0.263951 0.27338 0.272733 0.286457 0.280829 0.281469 0.284352 0.272421 0.27777 0.275431 0.281595 0.298441 0.289726 0.275468 0.293023 0.276731 0.291388 0.301054 0.277408 0.272337 0.271115 0.272067 0.275733 0.275381 0.280247 0.28125 0.280228 0.274437 0.2386 0.244638 0.317772 0.296544 0.333316 0.289086 0.319998 0.275971 0.29559 0.271705 0.281907 0.294694 0.256978 0.262761 0.277046 0.256316 0.297717 0.256985 0.300473 0.299078 0.294913
0.263706 0.413449 0.368073 0.392439 1 0.345978 0.144646 0.112874 0.101779 0.119703 0.117804 0.276297 0.23215 0.232226 0.235427 0.276297 0.174132 0.271954 0.291788 0.293788 0.278494 0.2397 0.232324 0.29493 0.294051 0.302671 0.286124 0.287171 0.289508 0.278113 0.263405 0.271883 0.257068 0.264642 0.272226 0.267052 0.267247 0.265083 0.291953 0.286448 0.291861 0.290415 0.295388 0.272091 0.285743 0.289108 0.295705 0.295272 0.284795 0.291495 0.271376 0.275627 0.275013 0.267917 0.273466 0.262923 0.269418 0.275531 0.276366 0.286646 0.275905 0.281735 0.283644 0.229532 0.224074 0.309622 0.279034 0.300398 0.275202 0.293633 0.255348 0.281439 0.271733 0.263405 0.271883 0.257068 0.252913 0.268956 0.242618 0.308353 0.258386 0.310756 0.313271 0.313055
0.252571 0.34805 0.373351 0.39471 0.346228 1 0.148128 0.131342 0.115293 0.138573 0.129806 0.254561 0.24257 0.258858 0.258384 0.254561 0.172127 0.265 0.286527 0.281286 0.273349 0.236311 0.254727 0.332456 0.325982 0.323855 0.335149 0.312727 0.286548 0.295073 0.279353 0.294675 0.251315 0.283707 0.256943 0.26199 0.266496 0.275221 0.292103 0.293578 0.294274 0.288786 0.283821 0.2865 0.278966 0.294792 0.291258 0.285815 0.28885 0.298814 0.274367 0.291888 0.295751 0.266832 0.251347 0.264624 0.279995 0.258015 0.284919 0.281075 0.28301 0.278401 0.283508 0.235406 0.240268 0.308269 0.282341 0.316776 0.264359 0.327876 0.265481 0.284314 0.280695 0.279353 0.294675 0.251315 0.258804 0.265353 0.260773 0.309913 0.260797 0.308564 0.312842 0.307284
0.396892 0.375391 0.365624 0.37762 0.369842 0.369281 1 0.446974 0.475751 0.497883 0.466878 0.366487 0.3827 0.379699 0.38058 0.366487 0.288698 0.379194 0.360473 0.377545 0.371282 0.368787 0.374872 0.365467 0.385703 0.367109 0.363678 0.385172 0.347226 0.329929 0.348729 0.361697 0.364599 0.360753 0.34879 0.361672 0.363136 0.363324 0.374209 0.382331 0.380775 0.368042 0.342475 0.386791 0.3695 0.386574 0.388618 0.370957 0.366037 0.365537 0.402292 0.402867 0.378861 0.386546 0.396855 0.401541 0.397399 0.389949 0.374584 0.373664 0.367363 0.377631 0.377782 0.370557 0.395993 0.353828 0.36708 0.35215 0.354811 0.359186 0.35707 0.362783 0.366996 0.348729 0.361697 0.364599 0.347319 0.348479 0.310164 0.340594 0.329058 0.342034 0.342174 0.34264
0.376931 0.351017 0.355006 0.366125 0.352841 0.363202 0.474089 1 0.56715 0.51762 0.532399 0.370019 0.40449 0.378662 0.38423 0.370019 0.273904 0.386223 0.354206 0.371734 0.364452 0.370903 0.384557 0.344533 0.362646 0.350944 0.352165 0.362965 0.34933 0.34295 0.344281 0.366705 0.352603 0.34862 0.347568 0.368283 0.358403 0.34105 0.369475 0.380058 0.381062 0.364693 0.346761 0.390497 0.39918 0.394979 0.390799 0.381978 0.355256 0.36302 0.398602 0.386898 0.390615 0.386586 0.416123 0.41657 0.399004 0.389673 0.371706 0.358737 0.357367 0.358793 0.370923 0.359632 0.395522 0.349457 0.340816 0.355536 0.370664 0.352867 0.360801 0.359261 0.360414 0.344281 0.366705 0.352603 0.350531 0.337504 0.312083 0.335353 0.318056 0.330025 0.333462 0.33169
0.417668 0.37361 0.384083 0.398701 0.391276 0.40908 0.550625 0.639405 1 0.619856 0.635485 0.397189 0.451696 0.430465 0.424142 0.397189 0.286058 0.413884 0.378511 0.393291 0.399511 0.415935 0.412234 0.376739 0.390354 0.384488 0.386198 0.410469 0.366734 0.362646 0.391613 0.40113 0.39501 0.379142 0.380618 0.398115 0.382474 0.378369 0.419307 0.423642 0.419991 0.416723 0.372126 0.415829 0.414495 0.430342 0.415841 0.400438 0.382528 0.400152 0.427536 0.427691 0.427563 0.414325 0.460288 0.448435 0.431636 0.43191 0.410081 0.392297 0.389029 0.387832 0.406569 0.411183 0.426704 0.3775 0.375286 0.377534 0.389763 0.380538 0.389448 0.393249 0.402376 0.391613 0.40113 0.39501 0.387845 0.372157 0.342132 0.350296 0.350961 0.353751 0.353665 0.356086
0.401124 0.348464 0.369064 0.381232 0.37616 0.400748 0.525377 0.508485 0.546251 1 0.525462 0.386116 0.415936 0.410288 0.398705 0.386116 0.269785 0.400122 0.367881 0.378029 0.377685 0.379627 0.392366 0.370229 0.387689 0.373683 0.378518 0.394627 0.367946 0.348778 0.367367 0.384959 0.382468 0.37239 0.374813 0.377934 0.375416 0.363955 0.389553 0.403581 0.410579 0.383727 0.359441 0.405223 0.39763 0.406198 0.405782 0.394097 0.375803 0.384911 0.409608 0.420342 0.414145 0.393412 0.428046 0.432045 0.404607 0.404385 0.387074 0.389592 0.382765 0.388942 0.395844 0.381211 0.415152 0.365289 0.373972 0.37239 0.386815 0.368728 0.372468 0.391731 0.367404 0.367367 0.384959 0.382468 0.371694 0.359306 0.326934 0.343556 0.344703 0.345223 0.348359 0.340283
