C1901x2TS003_1 C1901x2TS049_1 C1901x2TS049_2 C1901x2TS049_3 C1901x2TS049_4 C1901x2TS049_5 C1901x2TS067_1 C1901x2TS067_2 C1901x2TS067_3 C1901x2TS067_4 C1901x2TS067_5 C1901x2TS123_1 C1901x2TS123_2 C1901x2TS123_3 C1901x2TS123_4 C1901x2TS123_5 C1901x2TS215_1 C1901x2TS215_2 C1901x2TS215_3 C1901x2TS215_4 C1901x2TS215_5 C1901x2TS228_1 C1901x2TS369_1 C1901x2TS389_1 C1901x2TS389_2 C1901x2TS389_3 C1901x2TS389_4 C1901x2TS389_5
1 0.20671 0.199834 0.182733 0.194525 0.178288 0.292866 0.272532 0.285479 0.295018 0.295572 0.297901 0.280401 0.270926 0.293393 0.293393 0.287239 0.286062 0.295482 0.293577 0.29774 0.296476 0.302685 0.309851 0.283593 0.290277 0.30065 0.305648
0.423586 1 0.464114 0.487167 0.472751 0.459618 0.360098 0.344319 0.377003 0.364852 0.3639 0.38145 0.440221 0.43779 0.379869 0.379869 0.344882 0.345535 0.354306 0.341241 0.34989 0.359132 0.36265 0.370217 0.338664 0.344444 0.361247 0.372591
0.396489 0.462916 1 0.487421 0.476686 0.47968 0.338988 0.325012 0.342412 0.338708 0.336188 0.349038 0.408905 0.41396 0.343178 0.343178 0.314373 0.313188 0.328222 0.323113 0.325486 0.321887 0.327237 0.33998 0.310787 0.315151 0.324948 0.335041
0.413803 0.509114 0.512039 1 0.517505 0.524048 0.355853 0.339421 0.359704 0.351258 0.350818 0.367204 0.427016 0.436516 0.361185 0.361185 0.329171 0.333093 0.340507 0.330325 0.338766 0.340639 0.344779 0.345012 0.319224 0.329808 0.339267 0.348222
0.39734 0.471926 0.478473 0.498011 1 0.49832 0.351704 0.33324 0.348116 0.348323 0.34536 0.354606 0.415765 0.417548 0.34679 0.34679 0.321084 0.316317 0.326336 0.321554 0.328076 0.326421 0.336598 0.34048 0.316754 0.320861 0.32796 0.33238
0.401346 0.485549 0.509353 0.52811 0.529452 1 0.34932 0.330855 0.358893 0.345469 0.34729 0.363349 0.431639 0.434117 0.355418 0.355418 0.327303 0.322413 0.3382 0.324933 0.33404 0.333461 0.341326 0.345681 0.316503 0.328206 0.338115 0.346337
0.23315 0.136066 0.134204 0.118244 0.140834 0.124426 1 0.693065 0.255069 0.832245 0.721173 0.251681 0.214067 0.210675 0.250416 0.250416 0.243372 0.250284 0.260847 0.261915 0.260344 0.259114 0.265495 0.271918 0.254085 0.253656 0.255087 0.258114
0.214732 0.130171 0.127504 0.111513 0.129052 0.111925 0.679329 1 0.254386 0.684078 0.667858 0.237955 0.196817 0.190265 0.233848 0.233848 0.220669 0.228396 0.240081 0.23986 0.237334 0.237159 0.246052 0.252556 0.230748 0.234326 0.241956 0.239695
0.243749 0.16914 0.147703 0.13478 0.152192 0.136392 0.277385 0.273081 1 0.347345 0.339889 0.279348 0.235057 0.245913 0.292802 0.292802 0.262299 0.266649 0.268389 0.267755 0.265328 0.271258 0.279684 0.285194 0.264465 0.260173 0.27261 0.282482
0.228933 0.136955 0.128435 0.110607 0.133261 0.116637 0.825852 0.687384 0.324949 1 0.567419 0.250363 0.212667 0.208787 0.249022 0.249022 0.24231 0.245304 0.258946 0.25771 0.252951 0.250688 0.263448 0.270065 0.24756 0.250525 0.255424 0.255917
0.23643 0.138772 0.133147 0.119042 0.136797 0.122699 0.732972 0.680388 0.323531 0.579086 1 0.271672 0.224883 0.231857 0.27336 0.27336 0.258494 0.269786 0.27231 0.271418 0.272966 0.281302 0.291368 0.298179 0.28081 0.28037 0.285309 0.281848
0.242233 0.149567 0.136534 0.126661 0.13704 0.123775 0.254917 0.242244 0.267285 0.255529 0.26968 1 0.265096 0.283136 0.376864 0.376864 0.287027 0.293332 0.292134 0.292294 0.287519 0.311507 0.327922 0.316542 0.301926 0.297863 0.315508 0.32425
0.375536 0.320444 0.292857 0.282342 0.292325 0.291402 0.363226 0.342311 0.372083 0.36483 0.376447 0.43611 1 0.523644 0.434082 0.434082 0.399773 0.393667 0.407122 0.399607 0.406013 0.430607 0.449293 0.445657 0.416055 0.426648 0.433728 0.440707
0.384302 0.331905 0.314864 0.309313 0.319056 0.308861 0.374172 0.356022 0.399889 0.374699 0.397615 0.469871 0.540364 1 0.459364 0.459364 0.413962 0.408005 0.422291 0.423147 0.425568 0.46145 0.476932 0.451589 0.42442 0.432188 0.453029 0.45468
0.238806 0.15265 0.138331 0.131277 0.137582 0.126902 0.251948 0.235192 0.275816 0.256215 0.268194 0.376512 0.270975 0.274507 1 1 0.278885 0.284607 0.282535 0.286178 0.288017 0.293534 0.313245 0.309439 0.293967 0.295124 0.305343 0.30926
0.238806 0.15265 0.138331 0.131277 0.137582 0.126902 0.251948 0.235192 0.275816 0.256215 0.268194 0.376512 0.270975 0.274507 1 1 0.278885 0.284607 0.282535 0.286178 0.288017 0.293534 0.313245 0.309439 0.293967 0.295124 0.305343 0.30926
0.189605 0.106363 0.0940472 0.0918667 0.0916719 0.0903963 0.203959 0.192051 0.202863 0.2055 0.212096 0.232502 0.198792 0.196605 0.230237 0.230237 1 0.316988 0.315521 0.315357 0.30634 0.262475 0.292678 0.283432 0.277954 0.275932 0.289373 0.284016
