C1902TS003_1 C1902TS003_2 C1902TS003_3 C1902TS044_1 C1902TS066_1 C1902TS067_1 C1902TS067_2 C1902TS067_3 C1902TS067_4 C1902TS067_5 C1902TS087_1 C1902TS087_2 C1902TS087_4 C1902TS087_5 C1902TS102_1 C1902TS103_1 C1902TS103_2 C1902TS123_1 C1902TS123_2 C1902TS123_3 C1902TS123_4 C1902TS123_5 C1902TS131_1 C1902TS131_2 C1902TS131_3 C1902TS131_4 C1902TS131_5 C1902TS152_1 C1902TS152_2 C1902TS152_3 C1902TS152_4 C1902TS152_5 C1902TS156_1 C1902TS156_2 C1902TS156_3 C1902TS156_4 C1902TS156_5 C1902TS158_1 C1902TS158_2 C1902TS158_3 C1902TS158_4 C1902TS158_5 C1902TS182_1 C1902TS182_2 C1902TS182_3 C1902TS182_4 C1902TS182_5 C1902TS196_1 C1902TS200_1 C1902TS210_1 C1902TS210_2 C1902TS210_3 C1902TS210_4 C1902TS210_5 C1902TS211_1 C1902TS211_2 C1902TS211_3 C1902TS211_4 C1902TS211_5 C1902TS213_1 C1902TS213_2 C1902TS213_3 C1902TS213_4 C1902TS213_5 C1902TS215_1 C1902TS215_2 C1902TS215_3 C1902TS215_4 C1902TS215_5 C1902TS228_1 C1902TS230_1 C1902TS230_2 C1902TS230_3 C1902TS230_4 C1902TS230_5 C1902TS240_1 C1902TS240_2 C1902TS240_3 C1902TS240_4 C1902TS240_5 C1902TS247_1 C1902TS247_2 C1902TS247_3 C1902TS247_4 C1902TS247_5 C1902TS258_1 C1902TS258_2 C1902TS258_3 C1902TS258_4 C1902TS258_5 C1902TS270_1 C1902TS270_2 C1902TS273_1 C1902TS273_2 C1902TS273_3 C1902TS273_4 C1902TS273_5 C1902TS278_1 C1902TS278_2 C1902TS278_3 C1902TS278_4 C1902TS278_5 C1902TS299_1 C1902TS299_2 C1902TS299_3 C1902TS301_1 C1902TS309_1 C1902TS309_2 C1902TS309_3 C1902TS309_4 C1902TS309_5 C1902TS347_1 C1902TS359_1 C1902TS369_1 C1902TS369_2 C1902TS369_3 C1902TS369_4 C1902TS369_5 C1902TS389_1 C1902TS389_2 C1902TS389_3 C1902TS389_4 C1902TS389_5 C1902TS401_1 C1902TS404_1 C1902TS404_2 C1902TS404_3 C1902TS404_4 C1902TS404_5 C1902TS405_1 C1902TS405_2 C1902TS405_3 C1902TS405_4 C1902TS405_5 C1902TS413_1 C1902TS413_2 C1902TS413_3 C1902TS413_4 C1902TS413_5 C1902TS414_1 C1902TS414_2 C1902TS414_3 C1902TS414_4 C1902TS414_5 C1902TS438_1 C1902TS438_2 C1902TS438_3 C1902TS438_4 C1902TS438_5 C1902TS490_1
1 0.351179 0.344447 0.381012 0.311974 0.307371 0.294325 0.309471 0.293858 0.295432 0.371232 0.379923 0.372115 0.378565 0.236877 0.31677 0.307716 0.341148 0.331087 0.353379 0.343208 0.343208 0.382786 0.383657 0.389911 0.380526 0.386689 0.378096 0.379804 0.378151 0.37811 0.379042 0.384467 0.388071 0.383239 0.382266 0.383655 0.306488 0.307627 0.315549 0.290347 0.298416 0.353928 0.308055 0.358021 0.303951 0.340344 0.368817 0.340534 0.361736 0.369847 0.347798 0.358658 0.359614 0.39118 0.370567 0.330794 0.326033 0.329554 0.384589 0.384903 0.38259 0.379156 0.378344 0.357675 0.365198 0.361519 0.360723 0.362982 0.372531 0.339826 0.331141 0.330442 0.331962 0.342857 0.354752 0.364705 0.373195 0.370326 0.376615 0.342598 0.343853 0.362978 0.360009 0.369369 0.349135 0.34324 0.353034 0.349369 0.344282 0.158054 0.153954 0.381097 0.381871 0.327231 0.251618 0.282369 0.306488 0.307627 0.315549 0.290347 0.298416 0.362236 0.367738 0.360081 0.381012 0.35124 0.366273 0.333643 0.354183 0.359578 0.330249 0.360265 0.380579 0.37978 0.38396 0.374673 0.375509 0.355492 0.304616 0.37711 0.363943 0.313016 0.378058 0.349951 0.341232 0.35382 0.34084 0.342925 0.358626 0.369385 0.357376 0.359624 0.335252 0.386043 0.385493 0.381992 0.378806 0.377062 0.38122 0.385599 0.374845 0.390052 0.38224 0.382138 0.384493 0.382684 0.381098 0.384694 0.348138
0.335232 1 0.319955 0.335031 0.297245 0.301507 0.294288 0.30071 0.294743 0.292033 0.33868 0.336635 0.3451 0.345255 0.221056 0.299302 0.28678 0.31029 0.306491 0.326583 0.32319 0.32319 0.348375 0.344812 0.354242 0.348251 0.348185 0.338781 0.343558 0.339414 0.340696 0.344193 0.339116 0.340785 0.338042 0.340954 0.34043 0.27644 0.267579 0.285762 0.245182 0.266773 0.309332 0.272111 0.31283 0.269366 0.304369 0.323744 0.309524 0.325319 0.328659 0.324357 0.326636 0.320469 0.347912 0.308781 0.302983 0.305698 0.308034 0.342702 0.342535 0.342349 0.338557 0.345181 0.318806 0.331188 0.333423 0.331033 0.332566 0.33175 0.317727 0.31306 0.31507 0.309431 0.313232 0.318709 0.331399 0.328796 0.323993 0.329332 0.321383 0.315689 0.327012 0.326292 0.328641 0.324033 0.325575 0.323775 0.323202 0.320615 0.13618 0.140169 0.337618 0.34632 0.307898 0.242368 0.271509 0.27644 0.267579 0.285762 0.245182 0.266773 0.326061 0.332777 0.324704 0.335031 0.312774 0.324763 0.310318 0.313224 0.32326 0.310578 0.316773 0.343281 0.342792 0.341428 0.335223 0.338896 0.320898 0.278164 0.332649 0.309331 0.288595 0.325859 0.315481 0.308542 0.307416 0.311381 0.310397 0.326606 0.327816 0.32561 0.320459 0.310011 0.34806 0.34154 0.345766 0.339168 0.340931 0.33475 0.348444 0.346512 0.340807 0.346932 0.339774 0.342458 0.347965 0.34265 0.341671 0.300627
0.342641 0.329743 1 0.363653 0.313409 0.317324 0.31161 0.315087 0.309704 0.309584 0.363391 0.358378 0.354202 0.364394 0.240973 0.309607 0.307016 0.328854 0.331604 0.339181 0.337174 0.337174 0.354025 0.355642 0.360536 0.354724 0.355179 0.352488 0.358399 0.353728 0.358957 0.362806 0.357813 0.358249 0.357117 0.356732 0.359387 0.2895 0.278921 0.299291 0.257097 0.266859 0.341011 0.286298 0.340578 0.285919 0.332902 0.342587 0.329586 0.348394 0.353124 0.342165 0.347069 0.344201 0.376144 0.359041 0.333744 0.332513 0.3348 0.365887 0.364941 0.36747 0.365736 0.365551 0.347411 0.347109 0.349528 0.34682 0.352139 0.35622 0.34167 0.340294 0.325798 0.320938 0.338585 0.341805 0.344722 0.34591 0.346459 0.349305 0.344314 0.339246 0.341778 0.344827 0.34918 0.354074 0.353637 0.345133 0.344828 0.346462 0.143437 0.148542 0.366471 0.355702 0.333792 0.25802 0.280955 0.2895 0.278921 0.299291 0.257097 0.266859 0.364394 0.358897 0.348272 0.363653 0.341859 0.338566 0.323763 0.327746 0.341246 0.341281 0.335125 0.374676 0.37276 0.374355 0.36322 0.362565 0.34233 0.294053 0.355461 0.340344 0.295018 0.351715 0.343557 0.344058 0.34453 0.338707 0.337067 0.347038 0.344378 0.347518 0.344211 0.345361 0.36612 0.357868 0.357952 0.365056 0.362279 0.355708 0.369956 0.367123 0.368977 0.373219 0.355532 0.363896 0.358844 0.355621 0.360094 0.326175
0.273937 0.247193 0.256651 1 0.254517 0.252493 0.238746 0.253015 0.242488 0.241971 0.398948 0.359481 0.390308 0.391937 0.195377 0.276068 0.261708 0.285468 0.290265 0.308802 0.293959 0.293959 0.39647 0.390554 0.398555 0.391018 0.393781 0.430551 0.423028 0.402571 0.406156 0.419055 0.419172 0.417468 0.413446 0.413719 0.41345 0.220335 0.200456 0.223465 0.161624 0.170745 0.302974 0.235577 0.30385 0.232568 0.292853 0.379171 0.316983 0.342139 0.387322 0.365387 0.330929 0.353945 0.40605 0.298329 0.305053 0.307274 0.304535 0.411726 0.410202 0.409468 0.411454 0.407495 0.414738 0.437429 0.431185 0.437303 0.437024 0.787191 0.305089 0.310557 0.296992 0.273435 0.312486 0.354753 0.365763 0.370014 0.358386 0.355818 0.356517 0.3418 0.357961 0.342819 0.352739 0.337817 0.327127 0.329075 0.329772 0.326225 0.129234 0.137401 0.865499 0.396373 0.304896 0.19454 0.217322 0.220335 0.200456 0.223465 0.161624 0.170745 0.380032 0.393735 0.333412 1 0.322935 0.331789 0.326113 0.340617 0.371772 0.294236 0.353566 0.410682 0.409105 0.409191 0.411416 0.401111 0.325999 0.223883 0.351419 0.307619 0.23296 0.40837 0.300368 0.307039 0.303703 0.298419 0.305899 0.330901 0.367608 0.331036 0.353954 0.317741 0.416805 0.422547 0.39954 0.410745 0.411903 0.397936 0.403059 0.40638 0.407316 0.39949 0.430995 0.4272 0.417615 0.409681 0.426194 0.29957
0.24341 0.240795 0.24692 0.276163 1 0.228291 0.228365 0.228925 0.228273 0.225458 0.280742 0.269651 0.283007 0.27963 0.178404 0.237299 0.227221 0.240728 0.243612 0.246079 0.24481 0.24481 0.281065 0.279009 0.283798 0.274634 0.283531 0.280544 0.279477 0.276412 0.280056 0.283594 0.277166 0.276626 0.276464 0.276297 0.275764 0.210213 0.20137 0.210833 0.176959 0.188596 0.239068 0.220707 0.236773 0.213368 0.238066 0.273755 0.258486 0.267588 0.278287 0.274042 0.276915 0.26189 0.287428 0.256528 0.251686 0.249031 0.255677 0.281733 0.280745 0.279457 0.277166 0.280488 0.263585 0.262455 0.268191 0.268353 0.257377 0.271548 0.252154 0.25156 0.251502 0.236446 0.25473 0.275492 0.274693 0.271671 0.280361 0.271793 0.264936 0.268021 0.263833 0.261799 0.264894 0.252114 0.258881 0.257509 0.259794 0.25738 0.111348 0.121587 0.276424 0.279149 0.248674 0.190114 0.214263 0.210213 0.20137 0.210833 0.176959 0.188596 0.272525 0.273778 0.269604 0.276163 0.259799 0.259633 0.257919 0.265706 0.271115 0.247615 0.263971 0.276171 0.286726 0.275842 0.277527 0.277611 0.25014 0.206902 0.268824 0.249516 0.229455 0.271632 0.247279 0.243744 0.241881 0.248628 0.245544 0.276887 0.269641 0.268088 0.2619 0.256142 0.282759 0.282133 0.280628 0.283248 0.276118 0.272438 0.277947 0.280866 0.281288 0.281988 0.277068 0.284362 0.281524 0.278635 0.283183 0.245328
0.257063 0.263195 0.269788 0.294336 0.242315 1 0.652555 0.811023 0.658671 0.642002 0.296126 0.29158 0.301818 0.285334 0.199316 0.32922 0.324899 0.305512 0.309431 0.279272 0.28398 0.28398 0.338414 0.340652 0.342203 0.336101 0.335064 0.344503 0.339136 0.336404 0.331055 0.341014 0.341827 0.340951 0.341447 0.339713 0.339425 0.235391 0.286718 0.245165 0.267909 0.287919 0.288929 0.249563 0.290158 0.244089 0.283428 0.281534 0.316969 0.290407 0.289119 0.29014 0.285454 0.285397 0.304348 0.275614 0.269261 0.272678 0.269967 0.333505 0.333981 0.333492 0.333262 0.329687 0.300967 0.293349 0.281599 0.284014 0.287585 0.291087 0.281166 0.280456 0.286367 0.268581 0.285195 0.282262 0.280386 0.280372 0.281591 0.283322 0.283482 0.289241 0.284552 0.274266 0.276888 0.291619 0.296926 0.299037 0.294337 0.288128 0.100818 0.101494 0.296681 0.33288 0.272114 0.228437 0.239587 0.235391 0.286718 0.245165 0.267909 0.287919 0.297109 0.29122 0.284853 0.294336 0.277587 0.279627 0.277052 0.290281 0.295748 0.280026 0.274395 0.298483 0.298761 0.292479 0.291451 0.293564 0.314418 0.299606 0.338388 0.322996 0.315448 0.319174 0.319617 0.323529 0.323049 0.327093 0.331238 0.285423 0.299504 0.290646 0.285387 0.289718 0.340454 0.341403 0.338139 0.337915 0.33735 0.305846 0.301299 0.296713 0.293834 0.293556 0.339801 0.347079 0.34113 0.342787 0.342782 0.286956
0.2447 0.259026 0.264126 0.282138 0.244695 0.650752 1 0.657682 0.842147 0.829163 0.285571 0.278914 0.286572 0.274417 0.193979 0.295936 0.276632 0.278765 0.279367 0.267508 0.270414 0.270414 0.300165 0.298326 0.303148 0.295923 0.297471 0.304748 0.300862 0.295134 0.299522 0.300941 0.301748 0.302214 0.300336 0.29878 0.299201 0.225334 0.238382 0.227953 0.217791 0.239634 0.272221 0.240956 0.27323 0.227315 0.264287 0.277155 0.283372 0.274032 0.284623 0.27625 0.267649 0.26727 0.286137 0.269057 0.262163 0.264443 0.260568 0.297815 0.300948 0.297365 0.297064 0.295587 0.278207 0.285001 0.270357 0.277442 0.27493 0.277958 0.268431 0.271757 0.274157 0.264273 0.271445 0.262608 0.26578 0.269015 0.267476 0.268904 0.272039 0.27186 0.275164 0.265433 0.260355 0.278309 0.279551 0.280732 0.277554 0.278616 0.0991135 0.10191 0.284696 0.295969 0.264895 0.212253 0.234971 0.225334 0.238382 0.227953 0.217791 0.239634 0.276994 0.276782 0.279219 0.282138 0.268713 0.264346 0.260418 0.282525 0.278833 0.269414 0.261392 0.285487 0.279151 0.276778 0.286375 0.277784 0.277555 0.258761 0.29806 0.281025 0.268724 0.27781 0.282269 0.286013 0.284342 0.27462 0.278984 0.267618 0.273851 0.27007 0.26726 0.271524 0.30169 0.304473 0.297935 0.30145 0.301057 0.288814 0.286392 0.284466 0.282909 0.279319 0.295085 0.301652 0.299557 0.297043 0.29693 0.27277
0.260078 0.26335 0.266819 0.293186 0.244869 0.80002 0.654282 1 0.628245 0.626407 0.291873 0.287676 0.298787 0.2818 0.194535 0.322862 0.319103 0.298831 0.303157 0.276283 0.284529 0.284529 0.332247 0.333181 0.335413 0.331744 0.329169 0.341037 0.333017 0.328605 0.324872 0.337844 0.33968 0.339467 0.339876 0.336796 0.337835 0.231021 0.281473 0.241879 0.264304 0.285364 0.281594 0.250902 0.282176 0.242906 0.282854 0.278661 0.312083 0.286179 0.288271 0.284006 0.282945 0.280299 0.300861 0.274126 0.266125 0.266667 0.266241 0.328501 0.327895 0.327788 0.327326 0.325422 0.295423 0.291015 0.276539 0.281225 0.28382 0.288693 0.274253 0.278067 0.28247 0.270045 0.276655 0.278796 0.277361 0.279734 0.280049 0.278613 0.280982 0.280884 0.277788 0.272708 0.273653 0.285067 0.286892 0.287412 0.284769 0.284426 0.102436 0.0994445 0.297057 0.329198 0.266307 0.223918 0.238757 0.231021 0.281473 0.241879 0.264304 0.285364 0.289065 0.285824 0.28417 0.293186 0.276168 0.281456 0.275113 0.286436 0.2896 0.273312 0.272671 0.295391 0.290473 0.289835 0.289862 0.28702 0.30594 0.295652 0.334375 0.318033 0.314864 0.318467 0.31395 0.315782 0.316312 0.320881 0.323854 0.282915 0.292095 0.28318 0.280289 0.285765 0.335546 0.335802 0.330849 0.331959 0.333742 0.296297 0.291503 0.294063 0.290727 0.291173 0.337111 0.342485 0.338936 0.336823 0.340184 0.281109
0.241825 0.26022 0.262978 0.28204 0.244735 0.661025 0.843864 0.634502 1 0.819599 0.287787 0.278074 0.286762 0.272347 0.195513 0.297299 0.279288 0.277712 0.278918 0.271318 0.272968 0.272968 0.297668 0.296425 0.302168 0.294371 0.295954 0.303417 0.302308 0.294472 0.299398 0.300453 0.29951 0.300105 0.299061 0.295786 0.296534 0.226934 0.239629 0.229374 0.213143 0.234748 0.270778 0.240514 0.273224 0.232538 0.263661 0.275327 0.281576 0.2741 0.280552 0.274174 0.266819 0.265292 0.282956 0.264853 0.262706 0.262262 0.261964 0.297824 0.298401 0.297844 0.295779 0.293438 0.276742 0.284148 0.273734 0.276268 0.273517 0.279145 0.268718 0.272159 0.273246 0.261673 0.272159 0.259958 0.264282 0.26323 0.265445 0.266379 0.27201 0.273548 0.272194 0.262898 0.261822 0.282487 0.281323 0.283794 0.282116 0.280682 0.0978331 0.0991084 0.284496 0.295115 0.262871 0.210626 0.233788 0.226934 0.239629 0.229374 0.213143 0.234748 0.276446 0.279802 0.27583 0.28204 0.267594 0.263705 0.25985 0.278557 0.276971 0.270277 0.259501 0.283511 0.280484 0.27606 0.285954 0.278642 0.275511 0.2523 0.293978 0.278733 0.267162 0.276236 0.282371 0.287258 0.285345 0.274438 0.279532 0.266788 0.272088 0.271427 0.265281 0.269442 0.30004 0.29974 0.297358 0.299463 0.300035 0.287975 0.283868 0.284133 0.279133 0.280616 0.292682 0.298116 0.299408 0.293983 0.295357 0.27375
0.245317 0.255754 0.261204 0.283234 0.242329 0.644426 0.833498 0.635898 0.823605 1 0.286848 0.280956 0.288755 0.276816 0.196254 0.29673 0.279525 0.276407 0.279281 0.270322 0.269908 0.269908 0.299924 0.29831 0.303659 0.297453 0.298345 0.304385 0.302907 0.295073 0.297797 0.301834 0.299902 0.300648 0.300095 0.297441 0.297996 0.230707 0.242057 0.230147 0.221438 0.23796 0.271176 0.242035 0.273899 0.231104 0.264502 0.277158 0.282071 0.272169 0.283226 0.275005 0.270032 0.270679 0.284339 0.268688 0.260112 0.262055 0.259289 0.296236 0.298244 0.294958 0.293536 0.293029 0.277833 0.28314 0.270977 0.276394 0.277234 0.278465 0.269015 0.271646 0.27369 0.261694 0.270695 0.265912 0.26869 0.26785 0.268935 0.268441 0.273699 0.275167 0.273314 0.262755 0.262198 0.278317 0.278645 0.278319 0.279931 0.281505 0.0989384 0.101757 0.284304 0.296403 0.261986 0.212853 0.231697 0.230707 0.242057 0.230147 0.221438 0.23796 0.276986 0.277919 0.281994 0.283234 0.268035 0.267652 0.262768 0.278967 0.277685 0.271215 0.262084 0.285224 0.280792 0.27535 0.285795 0.277451 0.277078 0.256207 0.301032 0.278348 0.268629 0.277661 0.283948 0.289959 0.286089 0.275616 0.280974 0.270002 0.271756 0.272715 0.270669 0.270481 0.301241 0.301782 0.298233 0.299589 0.299769 0.286678 0.285726 0.284949 0.281239 0.281372 0.29574 0.299732 0.299208 0.295966 0.295971 0.275076
