C1903x2TS003_1 C1903x2TS044_1 C1903x2TS049_1 C1903x2TS049_2 C1903x2TS049_3 C1903x2TS049_4 C1903x2TS049_5 C1903x2TS067_1 C1903x2TS067_2 C1903x2TS067_3 C1903x2TS067_4 C1903x2TS067_5 C1903x2TS073_1 C1903x2TS073_2 C1903x2TS073_3 C1903x2TS073_4 C1903x2TS073_5 C1903x2TS103_1 C1903x2TS121_1 C1903x2TS121_2 C1903x2TS123_1 C1903x2TS123_2 C1903x2TS123_3 C1903x2TS123_4 C1903x2TS123_5 C1903x2TS131_1 C1903x2TS131_2 C1903x2TS131_3 C1903x2TS131_4 C1903x2TS131_5 C1903x2TS215_1 C1903x2TS215_2 C1903x2TS215_3 C1903x2TS215_4 C1903x2TS215_5 C1903x2TS228_1 C1903x2TS228_2 C1903x2TS228_3 C1903x2TS228_4 C1903x2TS228_5 C1903x2TS301_1 C1903x2TS389_1 C1903x2TS389_2 C1903x2TS389_3 C1903x2TS389_4 C1903x2TS389_5
1 0.272414 0.199633 0.172698 0.167374 0.188576 0.157761 0.275773 0.275773 0.275773 0.298555 0.298555 0.286914 0.289722 0.297855 0.293265 0.288525 0.290376 0.280838 0.277512 0.291355 0.280713 0.287981 0.284804 0.284804 0.291107 0.28004 0.284748 0.292969 0.287165 0.28964 0.274073 0.272918 0.284549 0.285385 0.271809 0.287033 0.280963 0.277075 0.280973 0.272414 0.282689 0.286414 0.291737 0.284339 0.289552
0.217605 1 0.123652 0.104083 0.0989098 0.100454 0.0875716 0.319592 0.319592 0.319592 0.276304 0.276304 0.340829 0.334827 0.337852 0.316499 0.325121 0.334068 0.308972 0.311731 0.366939 0.358877 0.378233 0.322733 0.322733 0.444046 0.44054 0.453277 0.43578 0.431999 0.401281 0.366619 0.373806 0.394833 0.387465 0.421416 0.416772 0.446221 0.399466 0.41041 1 0.435858 0.449414 0.437037 0.435909 0.44801
0.400323 0.319892 1 0.420054 0.421647 0.412062 0.461897 0.349529 0.349529 0.349529 0.37677 0.37677 0.350858 0.340384 0.350442 0.357957 0.348893 0.331663 0.334002 0.326131 0.352204 0.336333 0.335078 0.368447 0.368447 0.32545 0.322405 0.324089 0.321339 0.322441 0.331248 0.33906 0.314901 0.328242 0.329036 0.330495 0.335954 0.324071 0.341162 0.32408 0.319892 0.331977 0.33545 0.33096 0.330894 0.32425
0.359276 0.282084 0.402184 1 0.424828 0.425125 0.45462 0.306992 0.306992 0.306992 0.348217 0.348217 0.304905 0.312049 0.306947 0.30859 0.300179 0.301695 0.298119 0.287948 0.308511 0.303713 0.302181 0.33123 0.33123 0.282278 0.281343 0.279064 0.277833 0.282788 0.28703 0.290694 0.281273 0.290522 0.290883 0.289222 0.294964 0.286212 0.30993 0.284556 0.282084 0.285409 0.299715 0.291745 0.285575 0.285749
0.347386 0.270012 0.408928 0.429241 1 0.432621 0.429566 0.293885 0.293885 0.293885 0.332977 0.332977 0.300923 0.299383 0.296035 0.310503 0.298658 0.305663 0.290872 0.279875 0.297025 0.295106 0.291346 0.322392 0.322392 0.278532 0.277764 0.275786 0.273475 0.278537 0.282487 0.289073 0.274261 0.292727 0.284225 0.276795 0.287138 0.275313 0.296674 0.2732 0.270012 0.277135 0.291252 0.281671 0.27885 0.281984
0.363763 0.273572 0.415705 0.429611 0.440966 1 0.466396 0.306789 0.306789 0.306789 0.338465 0.338465 0.297753 0.309575 0.303912 0.31041 0.298207 0.296331 0.293405 0.281441 0.295006 0.294749 0.293429 0.328927 0.328927 0.283929 0.288118 0.282026 0.282645 0.279416 0.287309 0.286259 0.280859 0.288777 0.286666 0.284349 0.296284 0.281098 0.30568 0.268455 0.273572 0.28997 0.29037 0.292912 0.289866 0.285374
0.401966 0.309298 0.509497 0.516817 0.490734 0.522293 1 0.33445 0.33445 0.33445 0.390365 0.390365 0.339556 0.345577 0.336637 0.348843 0.340553 0.326571 0.320557 0.304422 0.328786 0.326491 0.321972 0.38538 0.38538 0.310009 0.309193 0.302163 0.303203 0.308348 0.310641 0.310506 0.299081 0.312145 0.315411 0.311183 0.312412 0.303236 0.328399 0.304585 0.309298 0.313604 0.321003 0.310793 0.311035 0.312981
0.231926 0.3169 0.155341 0.132899 0.113701 0.128704 0.103986 1 1 1 0.333648 0.333648 0.304026 0.283 0.286083 0.293377 0.29194 0.312033 0.300559 0.306072 0.32953 0.31929 0.33569 0.30414 0.30414 0.339935 0.340206 0.342263 0.350075 0.334719 0.310157 0.307322 0.322927 0.322242 0.313679 0.328463 0.337361 0.336247 0.324159 0.325818 0.3169 0.337746 0.33725 0.336243 0.337314 0.348711
0.231926 0.3169 0.155341 0.132899 0.113701 0.128704 0.103986 1 1 1 0.333648 0.333648 0.304026 0.283 0.286083 0.293377 0.29194 0.312033 0.300559 0.306072 0.32953 0.31929 0.33569 0.30414 0.30414 0.339935 0.340206 0.342263 0.350075 0.334719 0.310157 0.307322 0.322927 0.322242 0.313679 0.328463 0.337361 0.336247 0.324159 0.325818 0.3169 0.337746 0.33725 0.336243 0.337314 0.348711
0.231926 0.3169 0.155341 0.132899 0.113701 0.128704 0.103986 1 1 1 0.333648 0.333648 0.304026 0.283 0.286083 0.293377 0.29194 0.312033 0.300559 0.306072 0.32953 0.31929 0.33569 0.30414 0.30414 0.339935 0.340206 0.342263 0.350075 0.334719 0.310157 0.307322 0.322927 0.322242 0.313679 0.328463 0.337361 0.336247 0.324159 0.325818 0.3169 0.337746 0.33725 0.336243 0.337314 0.348711
0.325111 0.372088 0.204954 0.19696 0.176285 0.173647 0.168446 0.42454 0.42454 0.42454 1 1 0.345187 0.346438 0.332504 0.367186 0.341116 0.377898 0.376285 0.363948 0.381542 0.386454 0.391707 0.379162 0.379162 0.38288 0.384794 0.383943 0.390807 0.380303 0.36756 0.347414 0.363268 0.371097 0.379929 0.371074 0.381483 0.381933 0.381431 0.378144 0.372088 0.383346 0.393393 0.380359 0.385384 0.386308
0.325111 0.372088 0.204954 0.19696 0.176285 0.173647 0.168446 0.42454 0.42454 0.42454 1 1 0.345187 0.346438 0.332504 0.367186 0.341116 0.377898 0.376285 0.363948 0.381542 0.386454 0.391707 0.379162 0.379162 0.38288 0.384794 0.383943 0.390807 0.380303 0.36756 0.347414 0.363268 0.371097 0.379929 0.371074 0.381483 0.381933 0.381431 0.378144 0.372088 0.383346 0.393393 0.380359 0.385384 0.386308
0.216151 0.327053 0.137011 0.109943 0.108481 0.107014 0.101616 0.278228 0.278228 0.278228 0.244151 0.244151 1 0.338155 0.375232 0.366841 0.343329 0.285698 0.274161 0.278687 0.328442 0.308476 0.299324 0.288096 0.288096 0.339236 0.331088 0.337353 0.339553 0.345622 0.311362 0.332426 0.325268 0.332363 0.324808 0.319751 0.335156 0.336363 0.329043 0.332227 0.327053 0.345424 0.346078 0.350743 0.345421 0.347447
0.208704 0.326214 0.125293 0.116786 0.115408 0.116564 0.10183 0.263867 0.263867 0.263867 0.253514 0.253514 0.347467 1 0.345174 0.368448 0.345746 0.280138 0.257317 0.259665 0.317046 0.285797 0.295126 0.269664 0.269664 0.331284 0.32313 0.337613 0.328795 0.328 0.305534 0.295979 0.300349 0.317659 0.307134 0.334076 0.313828 0.327003 0.332307 0.324902 0.326214 0.339124 0.328248 0.340942 0.339212 0.339966
0.230999 0.334125 0.136128 0.112172 0.117031 0.110837 0.104897 0.272726 0.272726 0.272726 0.244085 0.244085 0.385307 0.339973 1 0.377784 0.348561 0.304036 0.268892 0.272729 0.307614 0.308065 0.307421 0.281023 0.281023 0.340145 0.333356 0.333562 0.338629 0.338726 0.31241 0.305748 0.307923 0.323117 0.325292 0.3185 0.320984 0.325754 0.324745 0.320085 0.334125 0.344351 0.342157 0.344235 0.339117 0.350674
