C1904TS003_1 C1904TS003_2 C1904TS003_3 C1904TS044_1 C1904TS066_1 C1904TS067_1 C1904TS067_2 C1904TS067_3 C1904TS067_4 C1904TS067_5 C1904TS087_1 C1904TS087_2 C1904TS102_1 C1904TS103_1 C1904TS123_1 C1904TS123_2 C1904TS123_3 C1904TS123_4 C1904TS123_5 C1904TS131_1 C1904TS131_2 C1904TS131_3 C1904TS131_4 C1904TS131_5 C1904TS152_1 C1904TS152_2 C1904TS152_3 C1904TS152_4 C1904TS152_5 C1904TS156_1 C1904TS156_2 C1904TS156_3 C1904TS156_4 C1904TS156_5 C1904TS158_1 C1904TS158_2 C1904TS158_3 C1904TS158_4 C1904TS158_5 C1904TS182_1 C1904TS182_2 C1904TS182_3 C1904TS182_4 C1904TS182_5 C1904TS196_1 C1904TS200_1 C1904TS210_1 C1904TS210_2 C1904TS210_3 C1904TS210_4 C1904TS210_5 C1904TS211_1 C1904TS211_2 C1904TS211_3 C1904TS211_4 C1904TS211_5 C1904TS213_1 C1904TS213_2 C1904TS213_3 C1904TS213_4 C1904TS213_5 C1904TS215_1 C1904TS215_2 C1904TS215_3 C1904TS215_4 C1904TS215_5 C1904TS228_1 C1904TS230_1 C1904TS230_2 C1904TS230_3 C1904TS230_4 C1904TS230_5 C1904TS240_1 C1904TS240_2 C1904TS240_3 C1904TS240_4 C1904TS240_5 C1904TS247_1 C1904TS247_2 C1904TS247_3 C1904TS247_4 C1904TS247_5 C1904TS258_1 C1904TS258_2 C1904TS258_3 C1904TS258_4 C1904TS258_5 C1904TS273_1 C1904TS273_2 C1904TS273_3 C1904TS273_4 C1904TS273_5 C1904TS278_1 C1904TS278_2 C1904TS278_3 C1904TS278_4 C1904TS278_5 C1904TS299_1 C1904TS299_2 C1904TS299_3 C1904TS299_4 C1904TS299_5 C1904TS309_1 C1904TS309_2 C1904TS309_3 C1904TS309_4 C1904TS309_5 C1904TS347_1 C1904TS359_1 C1904TS369_1 C1904TS369_2 C1904TS369_3 C1904TS369_4 C1904TS369_5 C1904TS389_1 C1904TS389_2 C1904TS389_3 C1904TS389_4 C1904TS389_5 C1904TS401_1 C1904TS404_1 C1904TS404_2 C1904TS404_3 C1904TS404_4 C1904TS404_5 C1904TS405_1 C1904TS405_2 C1904TS405_3 C1904TS405_4 C1904TS405_5 C1904TS413_1 C1904TS413_2 C1904TS413_3 C1904TS413_4 C1904TS413_5 C1904TS414_1 C1904TS414_2 C1904TS414_3 C1904TS414_4 C1904TS414_5 C1904TS438_1 C1904TS438_2 C1904TS438_3 C1904TS438_4 C1904TS438_5 C1904TS490_1
1 0.367456 0.356288 0.366825 0.326763 0.322316 0.341211 0.322316 0.338103 0.198139 0.38604 0.39503 0.160147 0.343211 0.363692 0.36006 0.36006 0.333781 0.348269 0.398691 0.393813 0.394219 0.398174 0.388012 0.384021 0.368528 0.383292 0.351779 0.361547 0.397292 0.399486 0.39344 0.390303 0.393207 0.332258 0.34171 0.254051 0.258302 0.256473 0.357048 0.31332 0.357159 0.316118 0.346655 0.36212 0.347575 0.375021 0.380928 0.370588 0.371941 0.362404 0.398428 0.368963 0.353072 0.356542 0.353325 0.368046 0.370984 0.36996 0.372743 0.368356 0.360312 0.369267 0.352098 0.366704 0.364021 0.365172 0.338377 0.345634 0.344264 0.342691 0.344293 0.377103 0.387562 0.374582 0.380942 0.375847 0.365427 0.369302 0.37199 0.366053 0.374407 0.350139 0.339085 0.344461 0.343793 0.330496 0.371862 0.373886 0.368451 0.266786 0.266892 0.372323 0.366681 0.370471 0.367094 0.367756 0.372323 0.366681 0.370471 0.367094 0.367756 0.365703 0.314238 0.339985 0.375453 0.361994 0.356891 0.36784 0.390306 0.385892 0.38789 0.38612 0.388261 0.364444 0.374937 0.372441 0.309812 0.309675 0.203591 0.360097 0.359831 0.359348 0.359795 0.360052 0.36241 0.366753 0.362823 0.362543 0.360191 0.384805 0.387175 0.375734 0.387867 0.386372 0.39295 0.394799 0.397032 0.403336 0.39761 0.38701 0.377011 0.386816 0.383504 0.386016 0.327173
0.351317 1 0.331984 0.356458 0.310065 0.319735 0.315927 0.319735 0.309467 0.176952 0.366584 0.374671 0.154474 0.330799 0.343789 0.3391 0.3391 0.330317 0.332596 0.373507 0.371837 0.370897 0.36611 0.369854 0.363103 0.359332 0.366514 0.343898 0.358359 0.355549 0.358311 0.357721 0.359092 0.361573 0.323766 0.312802 0.24391 0.245625 0.232123 0.331143 0.283606 0.333012 0.288464 0.325866 0.351958 0.321769 0.359938 0.360605 0.361269 0.35184 0.339453 0.379518 0.349279 0.3478 0.34027 0.341815 0.357132 0.35864 0.356767 0.358767 0.359347 0.341346 0.338913 0.342024 0.343499 0.347224 0.356489 0.328249 0.329915 0.327744 0.33001 0.326879 0.353302 0.369719 0.359369 0.371312 0.35985 0.340737 0.352691 0.348319 0.350197 0.34589 0.333491 0.326236 0.328505 0.32166 0.319116 0.35957 0.356681 0.346625 0.267078 0.261611 0.363128 0.350455 0.350804 0.3479 0.348618 0.363128 0.350455 0.350804 0.3479 0.348618 0.3556 0.291483 0.329222 0.344866 0.337822 0.336014 0.345692 0.371739 0.36674 0.368168 0.375326 0.37429 0.352118 0.35153 0.35201 0.299648 0.28064 0.18025 0.333718 0.333483 0.332458 0.333396 0.333014 0.339453 0.345266 0.344349 0.341045 0.343219 0.364925 0.3611 0.357855 0.363071 0.36945 0.366647 0.373098 0.366013 0.379149 0.368027 0.370841 0.364195 0.369631 0.367975 0.36902 0.303676
0.330345 0.323801 1 0.347455 0.301661 0.294639 0.31302 0.294639 0.30557 0.178399 0.349455 0.361758 0.148883 0.316536 0.325859 0.333118 0.333118 0.324203 0.317445 0.360695 0.357568 0.35689 0.357844 0.35448 0.350066 0.355189 0.357045 0.324843 0.330394 0.348835 0.350401 0.348078 0.349315 0.35276 0.309426 0.297857 0.240854 0.23482 0.234908 0.328841 0.287198 0.331245 0.290731 0.316025 0.339546 0.311715 0.342903 0.352672 0.349103 0.355343 0.338052 0.370014 0.33645 0.323729 0.330125 0.326882 0.350158 0.351901 0.35041 0.349548 0.35289 0.339061 0.338572 0.333147 0.343699 0.340583 0.343047 0.322434 0.324715 0.325658 0.325914 0.317178 0.337723 0.345477 0.340362 0.34128 0.338775 0.335882 0.33949 0.334656 0.335339 0.342034 0.315469 0.31058 0.311347 0.313584 0.299145 0.354706 0.353793 0.343033 0.25579 0.248591 0.346133 0.336146 0.344589 0.336529 0.340418 0.346133 0.336146 0.344589 0.336529 0.340418 0.332204 0.296671 0.313595 0.341373 0.323209 0.332054 0.335841 0.361347 0.352298 0.343478 0.350093 0.358749 0.327123 0.338187 0.329806 0.29877 0.272179 0.182047 0.326446 0.328457 0.327915 0.327374 0.328031 0.338058 0.336347 0.332944 0.337232 0.337168 0.354358 0.35228 0.351702 0.353036 0.355064 0.356381 0.362529 0.362235 0.370684 0.363545 0.355104 0.35575 0.356101 0.357169 0.355481 0.288541
0.256756 0.259875 0.263845 1 0.258902 0.255148 0.255201 0.255148 0.248645 0.150032 0.429091 0.437952 0.128236 0.270501 0.295139 0.296297 0.296297 0.284801 0.291664 0.445904 0.447 0.442053 0.443043 0.444911 0.439652 0.820853 0.427704 0.304529 0.341777 0.464888 0.458736 0.462375 0.465152 0.465954 0.27755 0.261242 0.162223 0.175458 0.154614 0.329908 0.246124 0.332568 0.251305 0.31474 0.377946 0.315075 0.408955 0.423442 0.41213 0.42083 0.343367 0.431949 0.30641 0.30825 0.307216 0.307729 0.818422 0.819873 0.820086 0.825095 0.816439 0.488291 0.502264 0.490779 0.490797 0.515903 0.78872 0.30123 0.304867 0.305521 0.305055 0.305359 0.39299 0.392101 0.38357 0.385935 0.376778 0.374286 0.363053 0.364481 0.370768 0.34827 0.339686 0.318377 0.330852 0.341939 0.297915 0.879038 0.431758 0.380442 0.196274 0.19297 0.418977 0.395839 0.382275 0.375556 0.38099 0.418977 0.395839 0.382275 0.375556 0.38099 0.392762 0.301163 0.292235 0.352252 0.326425 0.304553 0.383769 0.44476 0.431314 0.414441 0.444697 0.444412 0.339923 0.327603 0.32382 0.260283 0.238579 0.279923 0.30286 0.302918 0.301401 0.302569 0.302141 0.343361 0.345713 0.344925 0.351436 0.348245 0.443348 0.43949 0.429815 0.437545 0.424665 0.441957 0.437014 0.424139 0.425254 0.431467 0.436057 0.432262 0.434086 0.439256 0.43602 0.250412
0.230657 0.225812 0.230389 0.259524 1 0.217805 0.224204 0.217805 0.214419 0.123519 0.265237 0.26516 0.107795 0.227925 0.236545 0.231087 0.231087 0.227987 0.233804 0.269568 0.266174 0.271003 0.270214 0.27033 0.261976 0.259778 0.263158 0.232248 0.242362 0.264107 0.265757 0.264218 0.265972 0.266222 0.210515 0.212471 0.154198 0.16539 0.149188 0.236858 0.207647 0.236582 0.203188 0.229273 0.252312 0.236158 0.259595 0.258928 0.265201 0.263834 0.250111 0.270752 0.232729 0.234936 0.234418 0.236703 0.259162 0.260556 0.261348 0.261224 0.259409 0.248978 0.256888 0.246537 0.251802 0.248767 0.260317 0.240692 0.232827 0.227949 0.237217 0.236555 0.266464 0.265444 0.259812 0.262885 0.259135 0.244913 0.256982 0.247988 0.246488 0.246834 0.238185 0.239943 0.236024 0.236301 0.225783 0.259975 0.263655 0.248453 0.179215 0.174133 0.261611 0.252436 0.249228 0.243394 0.251914 0.261611 0.252436 0.249228 0.243394 0.251914 0.256479 0.222575 0.225625 0.247169 0.248043 0.248097 0.249251 0.269836 0.259944 0.260366 0.268481 0.270723 0.241282 0.250061 0.242927 0.214941 0.193278 0.13861 0.235572 0.23494 0.234686 0.234924 0.235017 0.250093 0.252479 0.252825 0.253102 0.258982 0.264256 0.25969 0.260692 0.260351 0.261403 0.261422 0.263236 0.270432 0.270828 0.267154 0.262372 0.266253 0.262575 0.261306 0.266081 0.202908
0.221488 0.232192 0.228091 0.257369 0.216878 1 0.249585 1 0.246686 0.147324 0.262319 0.265259 0.11493 0.23408 0.263344 0.270277 0.270277 0.249118 0.251642 0.265942 0.269 0.265879 0.266606 0.265789 0.262017 0.258886 0.262877 0.235819 0.251462 0.263091 0.263416 0.260749 0.257044 0.259196 0.230527 0.22362 0.146125 0.15528 0.13581 0.239604 0.209264 0.239387 0.212397 0.231972 0.242068 0.225354 0.257436 0.259 0.259742 0.26191 0.243402 0.262358 0.267642 0.239808 0.238 0.238013 0.258601 0.257665 0.255297 0.256456 0.255514 0.250461 0.255624 0.258177 0.254255 0.254475 0.252647 0.257696 0.250273 0.252055 0.253807 0.257504 0.258766 0.260136 0.258273 0.253765 0.252982 0.2397 0.244462 0.246893 0.246869 0.239674 0.239363 0.236864 0.236231 0.241776 0.230075 0.256631 0.265737 0.240612 0.179596 0.174951 0.252553 0.252114 0.246814 0.24272 0.241228 0.252553 0.252114 0.246814 0.24272 0.241228 0.244151 0.222198 0.215332 0.234808 0.246277 0.278481 0.251631 0.267884 0.268371 0.261973 0.270857 0.266593 0.251645 0.242763 0.235167 0.212888 0.191428 0.123499 0.230891 0.231102 0.231969 0.232214 0.231277 0.243397 0.245826 0.248267 0.246807 0.245961 0.266346 0.272233 0.264988 0.26774 0.262606 0.261718 0.260833 0.261106 0.260009 0.261417 0.261439 0.258436 0.260463 0.262295 0.260327 0.200324
0.234825 0.230005 0.238607 0.250151 0.224994 0.245956 1 0.245956 0.238585 0.145604 0.269412 0.270239 0.114526 0.244864 0.274267 0.273237 0.273237 0.246069 0.256499 0.266421 0.266738 0.272183 0.271524 0.266596 0.267505 0.251068 0.275622 0.250461 0.248473 0.266993 0.266889 0.265319 0.265292 0.266683 0.225608 0.228532 0.155867 0.171343 0.155527 0.24243 0.211553 0.243468 0.218408 0.237574 0.255563 0.238854 0.260679 0.26318 0.257879 0.264954 0.254118 0.268093 0.257441 0.250035 0.248624 0.250344 0.254028 0.250117 0.250856 0.2507 0.252084 0.247464 0.255981 0.251118 0.252389 0.25142 0.249581 0.251009 0.252431 0.257549 0.254651 0.254671 0.253348 0.258836 0.248701 0.251549 0.249282 0.257324 0.264803 0.259954 0.255786 0.255498 0.239233 0.242767 0.239748 0.243718 0.238447 0.251026 0.275912 0.257431 0.185634 0.186908 0.261252 0.25676 0.252391 0.250046 0.24606 0.261252 0.25676 0.252391 0.250046 0.24606 0.256405 0.223787 0.214316 0.241385 0.247427 0.287298 0.255931 0.269443 0.269465 0.256505 0.264892 0.262294 0.243127 0.251062 0.24176 0.230199 0.208618 0.137723 0.237974 0.236912 0.236793 0.237155 0.236564 0.254118 0.258157 0.254142 0.256257 0.264219 0.267518 0.279144 0.27755 0.272311 0.275462 0.265024 0.267798 0.266312 0.263507 0.261449 0.276584 0.270929 0.276306 0.276338 0.275332 0.20752
0.221488 0.232192 0.228091 0.257369 0.216878 1 0.249585 1 0.246686 0.147324 0.262319 0.265259 0.11493 0.23408 0.263344 0.270277 0.270277 0.249118 0.251642 0.265942 0.269 0.265879 0.266606 0.265789 0.262017 0.258886 0.262877 0.235819 0.251462 0.263091 0.263416 0.260749 0.257044 0.259196 0.230527 0.22362 0.146125 0.15528 0.13581 0.239604 0.209264 0.239387 0.212397 0.231972 0.242068 0.225354 0.257436 0.259 0.259742 0.26191 0.243402 0.262358 0.267642 0.239808 0.238 0.238013 0.258601 0.257665 0.255297 0.256456 0.255514 0.250461 0.255624 0.258177 0.254255 0.254475 0.252647 0.257696 0.250273 0.252055 0.253807 0.257504 0.258766 0.260136 0.258273 0.253765 0.252982 0.2397 0.244462 0.246893 0.246869 0.239674 0.239363 0.236864 0.236231 0.241776 0.230075 0.256631 0.265737 0.240612 0.179596 0.174951 0.252553 0.252114 0.246814 0.24272 0.241228 0.252553 0.252114 0.246814 0.24272 0.241228 0.244151 0.222198 0.215332 0.234808 0.246277 0.278481 0.251631 0.267884 0.268371 0.261973 0.270857 0.266593 0.251645 0.242763 0.235167 0.212888 0.191428 0.123499 0.230891 0.231102 0.231969 0.232214 0.231277 0.243397 0.245826 0.248267 0.246807 0.245961 0.266346 0.272233 0.264988 0.26774 0.262606 0.261718 0.260833 0.261106 0.260009 0.261417 0.261439 0.258436 0.260463 0.262295 0.260327 0.200324
0.290621 0.282433 0.295899 0.306244 0.269891 0.311533 0.300199 0.311533 1 0.472883 0.332975 0.325738 0.132317 0.282545 0.315806 0.317009 0.317009 0.288162 0.304891 0.32517 0.323782 0.329633 0.322498 0.321133 0.316442 0.311218 0.321486 0.293994 0.303195 0.327759 0.327659 0.320232 0.31669 0.321705 0.286226 0.290366 0.19568 0.19799 0.190771 0.293588 0.254632 0.296166 0.264593 0.293156 0.305688 0.284523 0.315829 0.318698 0.317919 0.316574 0.300202 0.327439 0.324252 0.297767 0.287708 0.299478 0.308446 0.306801 0.309454 0.306382 0.308249 0.297337 0.313313 0.303882 0.306116 0.306895 0.303042 0.295236 0.300808 0.2982 0.299213 0.29588 0.308281 0.317565 0.311118 0.317473 0.315147 0.302695 0.306267 0.309257 0.305321 0.303368 0.285121 0.278405 0.272999 0.283442 0.267266 0.308622 0.321128 0.305235 0.233141 0.22661 0.305928 0.299517 0.30735 0.301853 0.304105 0.305928 0.299517 0.30735 0.301853 0.304105 0.307271 0.269553 0.287773 0.311056 0.292514 0.324415 0.301697 0.323809 0.32672 0.312572 0.319896 0.324611 0.299698 0.307708 0.298552 0.266939 0.250509 0.152858 0.285739 0.287095 0.287488 0.286245 0.287135 0.300195 0.303356 0.296467 0.303723 0.304208 0.316678 0.330667 0.320331 0.321261 0.32303 0.318607 0.321364 0.318299 0.324043 0.323203 0.324996 0.323906 0.322748 0.32931 0.325435 0.257994
0.275708 0.255899 0.280935 0.298549 0.245421 0.295921 0.28097 0.295921 0.837678 1 0.335562 0.323351 0.23403 0.265317 0.301571 0.309435 0.309435 0.277071 0.293031 0.331692 0.324985 0.338486 0.330831 0.324498 0.325444 0.300704 0.328936 0.272138 0.288199 0.329694 0.33015 0.325857 0.314438 0.327978 0.269683 0.276267 0.124797 0.118742 0.124353 0.279021 0.239721 0.284938 0.253332 0.277982 0.305937 0.259154 0.307372 0.316055 0.310606 0.320538 0.28394 0.321029 0.320923 0.274708 0.269738 0.273511 0.29824 0.299328 0.297478 0.299703 0.30128 0.281937 0.305585 0.292189 0.296464 0.298996 0.296982 0.287181 0.30003 0.29084 0.28676 0.287156 0.299708 0.313614 0.303457 0.305283 0.30797 0.280781 0.296928 0.288938 0.29351 0.280853 0.262433 0.250962 0.247241 0.26198 0.245166 0.29829 0.329639 0.281937 0.176908 0.172033 0.300024 0.28947 0.298914 0.279646 0.298657 0.300024 0.28947 0.298914 0.279646 0.298657 0.300071 0.257678 0.280379 0.294022 0.279357 0.320196 0.300447 0.327271 0.324566 0.307209 0.323813 0.325381 0.285098 0.302383 0.293235 0.240241 0.20391 0.0442197 0.261028 0.263003 0.262851 0.262037 0.262816 0.283928 0.295684 0.285293 0.29095 0.292451 0.325347 0.340567 0.326059 0.336523 0.330641 0.320539 0.31691 0.316866 0.326337 0.325957 0.335007 0.329075 0.332905 0.342735 0.335986 0.241547
