C1906x2TS003_1 C1906x2TS044_1 C1906x2TS049_1 C1906x2TS049_2 C1906x2TS049_3 C1906x2TS049_4 C1906x2TS049_5 C1906x2TS067_1 C1906x2TS067_2 C1906x2TS067_3 C1906x2TS067_4 C1906x2TS067_5 C1906x2TS073_1 C1906x2TS073_2 C1906x2TS073_3 C1906x2TS073_4 C1906x2TS073_5 C1906x2TS121_1 C1906x2TS121_2 C1906x2TS123_1 C1906x2TS123_2 C1906x2TS123_3 C1906x2TS123_4 C1906x2TS123_5 C1906x2TS215_1 C1906x2TS215_2 C1906x2TS215_3 C1906x2TS215_4 C1906x2TS215_5 C1906x2TS228_1 C1906x2TS301_1 C1906x2TS301_2 C1906x2TS389_1 C1906x2TS389_2 C1906x2TS389_3 C1906x2TS389_4 C1906x2TS389_5
1 0.345861 0.217427 0.194066 0.203125 0.189314 0.18952 0.327218 0.313484 0.327218 0.310477 0.313551 0.317034 0.318259 0.31518 0.313962 0.310226 0.290253 0.263807 0.316043 0.319241 0.306865 0.285477 0.313955 0.310267 0.301058 0.308814 0.316194 0.318317 0.328898 0.345861 0.345861 0.342979 0.344027 0.339029 0.339865 0.33412
0.260485 1 0.143283 0.11369 0.103547 0.0951131 0.106013 0.250218 0.275979 0.250218 0.289095 0.275979 0.403828 0.402078 0.404087 0.402752 0.408972 0.32172 0.295815 0.329588 0.343275 0.32049 0.317494 0.29916 0.476846 0.425636 0.461807 0.434017 0.483441 0.5326 1 0.999838 0.506003 0.486762 0.510802 0.510117 0.506233
0.412674 0.352106 1 0.440642 0.458633 0.460365 0.444028 0.39879 0.396155 0.39879 0.387231 0.396081 0.362256 0.361004 0.374487 0.367453 0.365825 0.345705 0.311911 0.374491 0.353265 0.347877 0.335865 0.374178 0.361865 0.346523 0.339342 0.354133 0.344246 0.358158 0.352106 0.352106 0.374248 0.367126 0.351434 0.341303 0.348801
0.423589 0.357916 0.498726 1 0.538618 0.552322 0.51843 0.404102 0.400374 0.404102 0.399544 0.4003 0.35737 0.356871 0.363624 0.361265 0.357466 0.346372 0.298851 0.370834 0.37155 0.35578 0.34409 0.384008 0.342309 0.349219 0.334141 0.351018 0.333277 0.35188 0.357916 0.357914 0.368754 0.355758 0.3497 0.34262 0.348788
0.417503 0.340467 0.478679 0.508616 1 0.523965 0.502144 0.392572 0.392912 0.392572 0.374981 0.392841 0.351258 0.342922 0.353668 0.356426 0.356813 0.332228 0.286687 0.359949 0.359714 0.343379 0.336888 0.36076 0.335431 0.328238 0.328066 0.343672 0.318528 0.338602 0.340467 0.340467 0.349074 0.351419 0.334339 0.324707 0.331717
0.447412 0.373735 0.525926 0.587143 0.571677 1 0.576297 0.424521 0.431712 0.424521 0.412131 0.431634 0.378932 0.388493 0.378659 0.382489 0.385145 0.353931 0.325196 0.406164 0.387531 0.384761 0.355249 0.398632 0.365481 0.372954 0.35311 0.365784 0.350802 0.37167 0.373735 0.373737 0.391016 0.378481 0.367499 0.356367 0.374409
0.395944 0.326025 0.471397 0.493633 0.492992 0.520995 1 0.381778 0.384954 0.381778 0.367439 0.384884 0.333046 0.330927 0.342193 0.336828 0.34206 0.324139 0.284123 0.357073 0.348369 0.343409 0.329413 0.361522 0.321667 0.32056 0.317254 0.325709 0.308295 0.318394 0.326025 0.326022 0.345202 0.335118 0.321874 0.318419 0.320792
0.307603 0.312296 0.209953 0.172592 0.175363 0.160333 0.182216 1 0.279552 1 0.270575 0.279618 0.283514 0.286425 0.298111 0.279025 0.293614 0.279034 0.259653 0.314819 0.297037 0.278658 0.271675 0.286443 0.312105 0.293201 0.294784 0.287889 0.293151 0.284523 0.312296 0.312298 0.298389 0.297974 0.308785 0.30419 0.300382
0.289855 0.32982 0.209899 0.171004 0.177513 0.171471 0.171118 0.285968 1 0.285968 0.685632 0.999932 0.301655 0.303145 0.3158 0.310709 0.31573 0.307399 0.303436 0.29192 0.305873 0.281361 0.28411 0.301493 0.298448 0.30204 0.297453 0.310872 0.319183 0.308188 0.32982 0.329829 0.32456 0.329318 0.327376 0.319889 0.33458
0.307603 0.312296 0.209953 0.172592 0.175363 0.160333 0.182216 1 0.279552 1 0.270575 0.279618 0.283514 0.286425 0.298111 0.279025 0.293614 0.279034 0.259653 0.314819 0.297037 0.278658 0.271675 0.286443 0.312105 0.293201 0.294784 0.287889 0.293151 0.284523 0.312296 0.312298 0.298389 0.297974 0.308785 0.30419 0.300382
0.289759 0.350278 0.207524 0.168727 0.173074 0.162835 0.164748 0.27293 0.699824 0.27293 1 0.699754 0.328359 0.331435 0.330474 0.327805 0.32798 0.327871 0.30988 0.306728 0.327641 0.29243 0.29374 0.316062 0.306681 0.318174 0.314873 0.324651 0.335475 0.339414 0.350278 0.350286 0.349827 0.348274 0.349933 0.351124 0.355465
0.289875 0.329842 0.209914 0.171015 0.177389 0.171346 0.171129 0.285987 0.999932 0.285987 0.685542 1 0.301676 0.303166 0.315822 0.310731 0.315752 0.307283 0.303456 0.29194 0.305893 0.28138 0.284129 0.301377 0.298468 0.301924 0.297473 0.310757 0.319205 0.308209 0.329842 0.329852 0.324582 0.32934 0.327398 0.319911 0.334603
0.242983 0.40761 0.154939 0.117148 0.116689 0.108971 0.11752 0.227927 0.25435 0.227927 0.270418 0.25435 1 0.422259 0.401253 0.458695 0.428 0.292443 0.267809 0.302005 0.31331 0.300282 0.295079 0.278101 0.362812 0.338701 0.348032 0.322072 0.35692 0.404696 0.40761 0.407609 0.41851 0.393756 0.411415 0.414597 0.414402
0.23571 0.388052 0.151672 0.107107 0.118043 0.110376 0.107342 0.23609 0.247915 0.23609 0.264594 0.247915 0.413019 1 0.396318 0.413421 0.399204 0.300311 0.265599 0.29953 0.29812 0.292022 0.295684 0.261749 0.38249 0.329439 0.349899 0.337418 0.3653 0.420918 0.388052 0.38804 0.384324 0.373074 0.411649 0.403763 0.399246
0.242929 0.397352 0.160222 0.110399 0.109886 0.106522 0.110319 0.238703 0.264365 0.238703 0.262547 0.264427 0.408573 0.400908 1 0.416986 0.414657 0.289259 0.278598 0.295691 0.302467 0.304756 0.290751 0.27963 0.358064 0.351566 0.364424 0.356316 0.361704 0.382891 0.397352 0.397357 0.38175 0.383569 0.388108 0.382232 0.385329
0.237919 0.385763 0.152585 0.117791 0.116643 0.109942 0.11065 0.223072 0.256863 0.223072 0.261925 0.256863 0.450405 0.419016 0.4108 1 0.426677 0.286954 0.268801 0.278669 0.305596 0.289526 0.291726 0.25607 0.359926 0.331271 0.342685 0.318683 0.350915 0.383473 0.385763 0.385759 0.37332 0.357681 0.394305 0.381709 0.385255
0.236748 0.410242 0.149589 0.119978 0.133121 0.111437 0.128861 0.247247 0.272632 0.247247 0.272339 0.272695 0.444115 0.421909 0.425774 0.44697 1 0.293831 0.272519 0.304434 0.308263 0.30053 0.324647 0.281443 0.361767 0.35257 0.366604 0.326078 0.378171 0.417723 0.410242 0.410239 0.404915 0.393358 0.419593 0.422354 0.430325
