C1908x2TS003_1 C1908x2TS026_1 C1908x2TS026_2 C1908x2TS049_1 C1908x2TS049_2 C1908x2TS049_3 C1908x2TS049_4 C1908x2TS049_5 C1908x2TS067_1 C1908x2TS067_2 C1908x2TS067_3 C1908x2TS067_4 C1908x2TS067_5 C1908x2TS073_1 C1908x2TS073_2 C1908x2TS073_3 C1908x2TS073_4 C1908x2TS073_5 C1908x2TS103_1 C1908x2TS103_2 C1908x2TS103_3 C1908x2TS123_1 C1908x2TS123_2 C1908x2TS123_3 C1908x2TS123_4 C1908x2TS123_5 C1908x2TS131_1 C1908x2TS131_2 C1908x2TS131_3 C1908x2TS131_4 C1908x2TS131_5 C1908x2TS179_1 C1908x2TS210_1 C1908x2TS210_2 C1908x2TS210_3 C1908x2TS210_4 C1908x2TS210_5 C1908x2TS215_1 C1908x2TS215_2 C1908x2TS215_3 C1908x2TS215_4 C1908x2TS215_5 C1908x2TS228_1 C1908x2TS228_2 C1908x2TS228_3 C1908x2TS228_4 C1908x2TS228_5 C1908x2TS270_1 C1908x2TS345_1 C1908x2TS345_2 C1908x2TS345_3 C1908x2TS345_4 C1908x2TS345_5 C1908x2TS389_1 C1908x2TS389_2 C1908x2TS389_3 C1908x2TS389_4 C1908x2TS389_5 C1908x2TS404_1 C1908x2TS404_2 C1908x2TS404_3 C1908x2TS404_4 C1908x2TS404_5 C1908x2TS405_1 C1908x2TS405_2 C1908x2TS405_3 C1908x2TS405_4 C1908x2TS405_5 C1908x2TS432_1
1 0.252003 0.25312 0.286224 0.278636 0.275035 0.301518 0.288413 0.277192 0.280175 0.286313 0.282099 0.285661 0.302704 0.308146 0.294239 0.284521 0.304427 0.270243 0.309646 0.244383 0.290576 0.251463 0.292254 0.292254 0.292254 0.256161 0.234743 0.249455 0.252703 0.246402 0.26755 0.287001 0.289645 0.297301 0.285249 0.297393 0.280248 0.286473 0.290917 0.285509 0.287834 0.295183 0.28516 0.308134 0.283384 0.290767 0.298517 0.291435 0.286902 0.280228 0.30133 0.277206 0.285229 0.278945 0.285527 0.273347 0.285366 0.27282 0.276418 0.279605 0.272934 0.270614 0.287001 0.289645 0.297301 0.285249 0.297393 0.309842
0.252554 1 0.606991 0.271053 0.246301 0.253687 0.249514 0.256288 0.272212 0.27085 0.277533 0.277111 0.273817 0.281349 0.274594 0.301601 0.277182 0.281281 0.274409 0.235383 0.218642 0.303397 0.242388 0.288967 0.288967 0.288967 0.214752 0.222579 0.221917 0.219352 0.201526 0.261615 0.295581 0.286792 0.290458 0.301257 0.272892 0.276813 0.272565 0.285351 0.280074 0.278914 0.275794 0.28209 0.276944 0.260597 0.288027 0.307438 0.299273 0.268308 0.282096 0.300469 0.296662 0.312486 0.309019 0.307519 0.307614 0.32036 0.263087 0.264803 0.259737 0.261683 0.261294 0.295581 0.286792 0.290458 0.301257 0.272892 0.267108
0.306488 0.683253 1 0.322915 0.303911 0.310065 0.308197 0.318915 0.34411 0.345175 0.349106 0.338916 0.345749 0.354053 0.343603 0.378946 0.331351 0.353701 0.330175 0.297728 0.284463 0.35056 0.306278 0.355913 0.355913 0.355913 0.270877 0.277886 0.279594 0.261602 0.251751 0.319425 0.374175 0.364102 0.350826 0.371846 0.336255 0.347491 0.347915 0.35752 0.353393 0.354897 0.346121 0.354109 0.347799 0.326891 0.345453 0.37699 0.370737 0.331068 0.342259 0.363624 0.37062 0.381721 0.379079 0.371956 0.375156 0.381262 0.33532 0.332573 0.328956 0.333613 0.335897 0.374175 0.364102 0.350826 0.371846 0.336255 0.344209
0.285499 0.276999 0.283766 1 0.360642 0.394448 0.388352 0.34447 0.292714 0.299086 0.299524 0.294146 0.30299 0.348545 0.35831 0.339074 0.331325 0.313578 0.282318 0.337072 0.272308 0.337195 0.321073 0.325436 0.325436 0.325436 0.257669 0.263418 0.267959 0.267283 0.273925 0.299174 0.345417 0.34881 0.346881 0.340237 0.355702 0.347325 0.359113 0.327272 0.32291 0.308841 0.335988 0.349728 0.345859 0.331806 0.357029 0.34981 0.347976 0.349108 0.360789 0.381763 0.356479 0.35963 0.357842 0.361548 0.354029 0.357582 0.324967 0.329433 0.328428 0.319922 0.330353 0.345417 0.34881 0.346881 0.340237 0.355702 0.346806
0.344625 0.302899 0.325217 0.42147 1 0.432266 0.425518 0.428128 0.356622 0.330168 0.365107 0.361389 0.364881 0.381415 0.399692 0.394323 0.387842 0.38136 0.351038 0.413823 0.283186 0.374309 0.323602 0.369902 0.369902 0.369902 0.31443 0.321092 0.324842 0.321247 0.323887 0.340318 0.386542 0.382635 0.403396 0.385188 0.410466 0.388206 0.379601 0.367156 0.365216 0.355789 0.372398 0.380512 0.386235 0.373498 0.390298 0.390332 0.382691 0.404518 0.410141 0.402232 0.395363 0.386965 0.37771 0.391364 0.384552 0.392828 0.354489 0.352026 0.343805 0.353097 0.35581 0.386542 0.382635 0.403396 0.385188 0.410466 0.395483
0.318321 0.286949 0.304323 0.451853 0.401185 1 0.462894 0.407732 0.329271 0.298172 0.331344 0.323473 0.341461 0.38926 0.39753 0.373844 0.380063 0.330334 0.288966 0.374137 0.300878 0.379766 0.325296 0.358795 0.358795 0.358795 0.28858 0.309531 0.301135 0.294799 0.293569 0.31772 0.367153 0.376584 0.378498 0.378481 0.393335 0.385786 0.370948 0.37921 0.363092 0.340591 0.374653 0.367934 0.388201 0.344227 0.386663 0.399778 0.40202 0.378529 0.397125 0.405136 0.389748 0.396951 0.391225 0.394074 0.397683 0.413095 0.359321 0.358427 0.352967 0.35771 0.359828 0.367153 0.376584 0.378498 0.378481 0.393335 0.390716
0.328304 0.281459 0.297267 0.427639 0.389817 0.453924 1 0.380819 0.319778 0.320556 0.327346 0.316958 0.332806 0.371921 0.38774 0.3764 0.351846 0.360256 0.292911 0.356605 0.245344 0.375626 0.307466 0.358692 0.358692 0.358692 0.279579 0.285341 0.273087 0.294491 0.283926 0.315386 0.341923 0.352984 0.362957 0.353733 0.372117 0.35046 0.348681 0.358851 0.342422 0.334344 0.358678 0.348943 0.357662 0.343316 0.354571 0.373543 0.378419 0.37129 0.388846 0.407095 0.348226 0.378385 0.372692 0.385987 0.378826 0.382925 0.362369 0.362177 0.355132 0.360113 0.369498 0.341923 0.352984 0.362957 0.353733 0.372117 0.362899
0.341768 0.299135 0.317688 0.389542 0.389291 0.418769 0.399247 1 0.329157 0.344093 0.335137 0.322537 0.333679 0.365374 0.352947 0.345809 0.34472 0.356417 0.314003 0.365898 0.268739 0.348577 0.325318 0.364014 0.364014 0.364014 0.305041 0.297444 0.311194 0.302611 0.292655 0.349216 0.365998 0.376333 0.382739 0.366172 0.396067 0.363426 0.368342 0.356436 0.355528 0.335643 0.36253 0.375047 0.372522 0.343542 0.365369 0.381667 0.344439 0.352217 0.362874 0.34816 0.342778 0.363639 0.358116 0.365787 0.35123 0.365708 0.348399 0.351862 0.346192 0.34838 0.346748 0.365998 0.376333 0.382739 0.366172 0.396067 0.378212
0.288923 0.277607 0.288333 0.278654 0.271824 0.280729 0.275986 0.271049 1 0.270937 0.764954 0.769825 0.793131 0.301915 0.301695 0.286095 0.286472 0.294611 0.280251 0.275841 0.247526 0.289845 0.236229 0.282848 0.282848 0.282848 0.229094 0.234481 0.238228 0.210321 0.223328 0.263649 0.301174 0.29145 0.27919 0.288319 0.278168 0.280486 0.272325 0.264923 0.258333 0.269637 0.306979 0.307892 0.274035 0.294589 0.288603 0.290244 0.287443 0.279133 0.282 0.28579 0.291998 0.285769 0.292414 0.286269 0.291856 0.290935 0.27148 0.267144 0.263555 0.26875 0.263724 0.301174 0.29145 0.27919 0.288319 0.278168 0.286654
0.256202 0.262961 0.268133 0.2608 0.245038 0.243643 0.266864 0.280561 0.255915 1 0.267685 0.257188 0.266462 0.280064 0.277526 0.2767 0.297681 0.272508 0.226463 0.26706 0.212447 0.273211 0.261903 0.294094 0.294094 0.294094 0.232654 0.228083 0.229412 0.225285 0.23322 0.256316 0.287901 0.293188 0.286265 0.290623 0.281607 0.291187 0.278791 0.291745 0.287298 0.277187 0.282546 0.271551 0.27544 0.255178 0.269202 0.278749 0.288928 0.303743 0.290083 0.306274 0.307125 0.279672 0.276939 0.281363 0.274162 0.279139 0.274581 0.271609 0.270292 0.271553 0.278677 0.287901 0.293188 0.286265 0.290623 0.281607 0.265955
