model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1906d2TS044_1  [0]      [1]      [0.75]   [0.668]  [0.628]  [0.601]  0.585    0.544    0.519    0.517     0.496     0.505     0.503     0.502     0.505     0.496     0.484     0.482
C1906d2TS301_1  [0]      [1]      [0.75]   [0.668]  [0.628]  [0.601]  0.585    0.544    0.519    0.517     0.496     0.505     0.503     0.502     0.505     0.496     0.484     0.482
C1906d2TS273_1  [0]      0        0.50     0.599    0.554    0.595    0.628    0.578    0.543    0.572     0.538     0.528     0.518     0.511     0.507     0.498     0.484     0.480
C1906d2TS273_4  [0]      0        0.00     0.601    0.557    [0.601]  0.646    0.594    0.558    0.584     0.552     0.540     0.530     0.522     0.517     0.507     0.493     0.489
C1906d2TS215_5  [0]      0        0.00     0        0.465    0.456    0.452    0.428    0.413    0.414     0.414     0.425     0.424     0.424     0.428     0.423     0.413     0.412
C1906d2TS270_1  [0]      0        0.00     0        0        0.589    0.622    0.573    0.540    0.565     0.534     0.523     0.515     0.508     0.504     0.495     0.482     0.479
C1906d2TS273_3  [0]      0        0.00     0        0        0        [0.649]  [0.596]  [0.559]  [0.585]   [0.555]   [0.542]   [0.531]   0.523     0.518     0.507     0.493     0.489
C1906d2TS345_1  [0]      0        0.00     0        0        0        0        0.285    0.291    0.290     0.292     0.292     0.292     0.293     0.293     0.292     0.290     0.290
C1906d2TS345_5  [0]      0        0.00     0        0        0        0        0        0.319    0.317     0.315     0.318     0.319     0.323     0.324     0.323     0.321     0.322
C1906d2TS273_5  [0]      0        0.00     0        0        0        0        0        0        0.573     0.541     0.530     0.520     0.513     0.509     0.499     0.486     0.482
C1906d2TS010_2  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0.357     0.358
C1906d2TS010_4  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0.301     0.302
C1906d2TS010_5  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0.354     0.355     0.357     0.359     0.362     0.362
C1906d2TS131_1  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.410
C1906d2TS131_2  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0.392     0.395     0.408
C1906d2TS131_3  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0.390     0.392     0.406
C1906d2TS131_4  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0.400     0.414
C1906d2TS131_5  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.408
C1906d2TS210_1  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0.530     [0.538]   [0.544]   [0.532]   [0.517]   [0.511]
C1906d2TS210_2  [0]      0        0.00     0        0        0        0        0        0        0         0.439     0.500     0.512     0.516     0.521     0.509     0.496     0.492
C1906d2TS210_3  [0]      0        0.00     0        0        0        0        0        0        0         0         0.515     0.527     0.534     0.541     0.528     0.514     0.507
C1906d2TS210_4  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0.527     0.533     0.522     0.509     0.504
C1906d2TS210_5  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0.540     0.526     0.512     0.506
C1906d2TS215_1  [0]      0        0.00     0        0        0        0        0        0        0         0         0.413     0.413     0.412     0.416     0.412     0.404     0.402
C1906d2TS215_2  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0.392     0.388     0.381     0.379
C1906d2TS215_3  [0]      0        0.00     0        0        0        0        0        0        0         0.420     0.422     0.420     0.416     0.422     0.418     0.410     0.409
C1906d2TS215_4  [0]      0        0.00     0        0        0        0        0        0        0         0.418     0.419     0.415     0.413     0.418     0.415     0.408     0.407
C1906d2TS228_1  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.463
C1906d2TS228_2  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.463
C1906d2TS240_1  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0.418     0.413     0.418
C1906d2TS240_3  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0.440     0.433     0.438
C1906d2TS240_4  [0]      0        0.00     0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.438
C1906d2TS258_1  [0]      0        0.00     0        0        0        0        0        0        0         0         0.506     0.512     0.516     0.519     0.513     0.501     0.498
