model         cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1910TS210_4  [0]      [0.723]  [0.702]  [0.772]  [0.790]  [0.800]  [0.802]  0.805    0.800    0.804     0.774     0.751     0.713     0.698     0.693     0.682     0.675     0.673
C1910TS414_3  [0]      [0.723]  0.698    0.699    0.710    0.714    0.712    0.714    0.724    0.724     0.719     0.719     0.692     0.685     0.684     0.677     0.670     0.666
C1910TS309_1  [0]      0        0.676    0.675    0.664    0.654    0.649    0.646    0.644    0.642     0.651     0.652     0.642     0.634     0.633     0.625     0.623     0.618
C1910TS405_3  [0]      0        0        0.762    0.775    0.783    0.789    0.794    0.787    0.790     0.761     0.738     0.702     0.687     0.682     0.671     0.663     0.661
C1910TS210_5  [0]      0        0        0        0.756    0.783    0.792    [0.811]  [0.812]  0.820     0.779     0.754     0.712     0.700     0.698     0.689     0.682     0.681
C1910TS210_2  [0]      0        0        0        0        0.779    [0.802]  [0.811]  0.805    [0.824]   [0.784]   0.757     0.715     0.700     0.696     0.687     0.680     0.680
C1910TS405_2  [0]      0        0        0        0        0        0.784    0.794    0.789    0.804     0.770     0.744     0.708     0.694     0.689     0.681     0.673     0.673
C1910TS405_4  [0]      0        0        0        0        0        0        0.807    0.806    0.812     0.774     0.750     0.709     0.698     0.694     0.686     0.678     0.677
C1910TS414_4  [0]      0        0        0        0        0        0        0        0.758    0.760     0.730     0.718     0.686     0.678     0.680     0.679     0.676     0.674
C1910TS210_3  [0]      0        0        0        0        0        0        0        0        0.823     0.782     0.755     0.715     0.699     0.695     0.687     0.680     0.681
C1910TS044_1  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0.666     0.657     0.653     0.651
C1910TS066_1  [0]      0        0        0        0        0        0        0        0        0         0         0.709     0.685     0.676     0.676     0.668     0.662     0.658
C1910TS087_2  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0.485     0.483     0.480     0.477
C1910TS123_1  [0]      0        0        0        0        0        0        0        0        0         0         0         0.629     0.620     0.616     0.612     0.611     0.607
C1910TS123_2  [0]      0        0        0        0        0        0        0        0        0         0         0         0.629     0.620     0.616     0.612     0.611     0.607
C1910TS131_1  [0]      0        0        0        0        0        0        0        0        0         0.741     0.753     0.727     0.716     0.711     0.700     0.693     0.686
C1910TS131_2  [0]      0        0        0        0        0        0        0        0        0         0         0.751     0.720     0.709     0.704     0.693     0.687     0.682
C1910TS131_3  [0]      0        0        0        0        0        0        0        0        0         0.746     [0.761]   [0.731]   [0.720]   [0.714]   [0.703]   [0.695]   [0.689]
C1910TS131_4  [0]      0        0        0        0        0        0        0        0        0         0.746     [0.761]   [0.731]   [0.720]   [0.714]   [0.703]   [0.695]   [0.689]
C1910TS131_5  [0]      0        0        0        0        0        0        0        0        0         0         0.759     0.729     0.718     0.713     0.701     0.693     0.688
C1910TS152_5  [0]      0        0        0        0        0        0        0        0        0         0         0.559     0.556     0.553     0.556     0.548     0.550     0.545
C1910TS182_1  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0.626     0.620     0.615     0.613     0.610
C1910TS213_1  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0.600     0.592     0.590     0.583     0.574
C1910TS213_2  [0]      0        0        0        0        0        0        0        0        0         0         0         0.590     0.607     0.596     0.592     0.583     0.574
C1910TS213_3  [0]      0        0        0        0        0        0        0        0        0         0         0         0.589     0.606     0.596     0.591     0.582     0.573
C1910TS213_4  [0]      0        0        0        0        0        0        0        0        0         0         0         0.581     0.594     0.584     0.581     0.573     0.565
C1910TS213_5  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.580     0.572     0.564
C1910TS215_4  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.555     0.551     0.546
C1910TS230_4  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.544     0.539
C1910TS230_5  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0.604     0.595     0.590     0.581     0.572
C1910TS240_1  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.613     0.609
C1910TS240_2  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.604     0.613     0.609
C1910TS240_4  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.609     0.606
C1910TS240_5  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.602     0.610     0.608
C1910TS247_3  [0]      0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.627     0.623
C1910TS273_1  [0]      0        0        0        0        0        0        0        0        0         0.563     0.564     0.593     0.602     0.593     0.590     0.583     0.576
