model         cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1902TS156_1  [0.599]  [0.587]  0.596    0.598    0.596    0.589    0.582    0.575    0.575    0.576     0.565     0.549     0.541     0.537     0.528     0.521     0.516     0.510
C1902TS156_5  0.565    0.572    0.592    0.600    0.601    0.591    0.584    0.578    0.575    0.577     0.566     0.551     0.543     0.538     0.530     0.522     0.517     0.511
C1902TS438_2  0.514    0.517    0.524    0.529    0.532    0.532    0.533    0.533    0.533    0.544     0.549     0.552     [0.553]   [0.554]   [0.553]   [0.551]   [0.549]   [0.544]
C1902TS413_4  0.504    0.507    0.511    0.515    0.518    0.516    0.520    0.518    0.519    0.528     0.534     0.540     0.542     0.547     0.545     0.543     0.542     0.535
C1902TS213_1  0.499    0.502    0.507    0.510    0.513    0.511    0.513    0.511    0.511    0.519     0.529     0.538     0.538     0.543     0.539     0.536     0.534     0.528
C1902TS413_3  0.490    0.496    0.509    0.513    0.517    0.525    0.528    0.528    0.525    0.532     0.533     0.538     0.538     0.539     0.536     0.534     0.532     0.526
C1902TS369_1  0.458    0.466    0.471    0.466    0.465    0.461    0.460    0.459    0.459    0.460     0.458     0.456     0.458     0.457     0.458     0.458     0.458     0.458
C1902TS369_5  0.444    0.441    0.445    0.444    0.444    0.442    0.442    0.445    0.448    0.449     0.445     0.445     0.445     0.445     0.446     0.445     0.445     0.445
C1902TS369_4  0.432    0.443    0.442    0.438    0.438    0.439    0.442    0.441    0.440    0.440     0.438     0.435     0.436     0.436     0.436     0.437     0.436     0.434
C1902TS414_1  0.424    0.421    0.424    0.432    0.432    0.434    0.433    0.438    0.436    0.440     0.440     0.439     0.442     0.439     0.436     0.435     0.435     0.434
C1902TS044_1  0.410    0.423    0.419    0.415    0.415    0.412    0.411    0.411    0.411    0.412     0.415     0.415     0.417     0.416     0.421     0.423     0.424     0.424
C1902TS210_1  0.394    0.373    0.380    0.392    0.392    0.397    0.390    0.386    0.382    0.380     0.373     0.367     0.365     0.363     0.363     0.361     0.360     0.360
C1902TS210_3  0.373    0.404    0.393    0.388    0.385    0.381    0.389    0.391    0.392    0.390     0.384     0.379     0.376     0.374     0.374     0.372     0.371     0.370
C1902TS215_1  0.357    0.355    0.356    0.355    0.355    0.354    0.354    0.354    0.354    0.354     0.361     0.360     0.361     0.359     0.359     0.359     0.358     0.360
C1902TS156_3  0        0.584    [0.597]  [0.605]  [0.603]  [0.593]  [0.587]  [0.581]  [0.579]  [0.581]   [0.570]   0.554     0.546     0.542     0.533     0.526     0.521     0.514
C1902TS156_4  0        0.576    0.590    0.598    0.599    0.589    0.582    0.577    0.574    0.577     0.566     0.551     0.543     0.539     0.530     0.523     0.518     0.511
