model           cs_top1   cs_top2   cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8   cs_top9   cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1902d2TS270_1  [0.4603]  0.4279    0.417    0.400    0.404    0.429    0.440    0.4558    0.4683    0.4708    0.4804    0.4812    0.4780    0.4673    0.4595    0.4532    0.4462    0.4390
C1902d2TS438_5  0.4602    [0.4347]  [0.427]  [0.413]  [0.419]  [0.436]  [0.451]  0.4755    0.4897    0.4915    0.5097    [0.5097]  0.5057    0.4911    0.4811    0.4725    0.4639    0.4550
C1902d2TS345_2  0.3717    0.3130    0.340    0.331    0.315    0.317    0.317    0.3182    0.3190    0.3180    0.3162    0.3176    0.3141    0.3114    0.3078    0.3077    0.3066    0.3069
C1902d2TS210_1  0.3332    0.3253    0.322    0.318    0.319    0.325    0.341    0.3557    0.3652    0.3777    0.3973    0.4035    0.4050    0.4032    0.4035    0.4038    0.4012    0.3988
C1902d2TS345_1  0.2968    0.2897    0.315    0.339    0.335    0.330    0.333    0.3355    0.3379    0.3384    0.3429    0.3454    0.3421    0.3407    0.3380    0.3364    0.3347    0.3334
C1902d2TS345_3  0.2884    0.3725    0.339    0.344    0.338    0.331    0.331    0.3318    0.3328    0.3318    0.3326    0.3330    0.3294    0.3260    0.3221    0.3217    0.3206    0.3199
C1902d2TS345_4  0.2535    0.2467    0.243    0.254    0.269    0.275    0.278    0.2805    0.2823    0.2874    0.2905    0.2899    0.2892    0.2860    0.2850    0.2859    0.2849    0.2871
C1902d2TS267_1  0.0486    0.1059    0.125    0.134    0.135    0.128    0.110    0.0957    0.0850    0.0765    0.0509    0.0405    0.0395    0.0398    0.0382    0.0334    0.0307    0.0290
C1902d2TS267_3  0.0486    0.1040    0.114    0.119    0.126    0.124    0.106    0.0925    0.0822    0.0739    0.0491    0.0390    0.0375    0.0379    0.0363    0.0317    0.0297    0.0276
C1902d2TS438_3  00        0.4262    [0.427]  [0.413]  0.418    0.432    0.448    0.4727    0.4891    0.4909    [0.5104]  0.5092    [0.5060]  [0.4915]  [0.4815]  [0.4728]  [0.4641]  [0.4553]
C1902d2TS438_1  00        0.4215    0.419    0.410    0.418    0.434    0.450    0.4744    0.4893    0.4919    0.5078    0.5069    0.5032    0.4888    0.4790    0.4705    0.4619    0.4531
C1902d2TS438_2  00        0.4192    0.414    0.405    0.412    0.426    0.444    0.4693    0.4835    0.4878    0.5068    0.5061    0.5030    0.4887    0.4788    0.4702    0.4615    0.4527
C1902d2TS228_5  00        0.3396    0.339    0.335    0.338    0.344    0.364    0.3787    0.3885    0.3936    0.4149    0.4255    0.4276    0.4257    0.4220    0.4226    0.4183    0.4139
