model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1906d2TS273_1  [0.603]  [0.633]  [0.655]  0.619    [0.623]  0.622    0.621    0.608    0.594    0.593     0.569     0.553     0.545     0.534     0.524     0.516     0.507     0.500
C1906d2TS273_3  0.563    0.615    0.639    0.614    0.617    [0.626]  [0.631]  [0.618]  [0.604]  [0.600]   [0.579]   [0.564]   [0.557]   0.545     0.534     0.525     0.515     0.508
C1906d2TS270_1  0.551    0.601    0.618    0.595    0.595    0.604    0.608    0.599    0.585    0.583     0.561     0.546     0.540     0.531     0.522     0.513     0.505     0.498
C1906d2TS044_1  0.547    0.570    0.539    0.522    0.533    0.532    0.525    0.522    0.525    0.531     0.529     0.521     0.526     0.521     0.516     0.510     0.504     0.499
C1906d2TS301_1  0.547    0.570    0.539    0.522    0.533    0.532    0.525    0.522    0.525    0.531     0.529     0.521     0.526     0.521     0.516     0.510     0.504     0.499
C1906d2TS210_4  0.470    0.505    0.496    0.481    0.494    0.505    0.510    0.509    0.509    0.510     0.525     0.532     0.540     0.538     0.535     0.530     0.522     0.517
C1906d2TS131_1  0.428    0.411    0.439    0.422    0.416    0.413    0.413    0.408    0.411    0.415     0.419     0.418     0.419     0.417     0.420     0.423     0.423     0.422
C1906d2TS215_4  0.421    0.428    0.425    0.415    0.421    0.421    0.419    0.422    0.422    0.430     0.434     0.430     0.428     0.429     0.428     0.427     0.424     0.422
C1906d2TS432_2  0.408    0.415    0.409    0.400    0.404    0.404    0.404    0.403    0.404    0.405     0.408     0.406     0.407     0.407     0.407     0.407     0.406     0.408
C1906d2TS345_5  0.316    0.340    0.329    0.337    0.333    0.331    0.328    0.334    0.338    0.335     0.335     0.334     0.332     0.333     0.331     0.330     0.330     0.333
C1906d2TS273_5  0        0.621    0.630    0.601    0.608    0.611    0.615    0.604    0.591    0.591     0.567     0.554     0.546     0.535     0.526     0.517     0.508     0.501
C1906d2TS273_2  0        0.619    0.642    [0.620]  0.620    [0.626]  0.627    0.615    0.602    0.598     [0.579]   0.563     0.555     0.543     0.533     0.524     0.514     0.507
C1906d2TS273_4  0        0.615    0.633    0.613    0.616    0.625    0.626    0.614    0.601    0.597     [0.579]   0.563     0.556     0.544     0.534     0.525     0.515     0.508
