model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1901d1TS273_1  [0.880]  [0.838]  0.809    0.806    0.792    0.744    0.706    0.680    0.646    0.626     0.546     0.500     0.466     0.441     0.421     0.404     0.391     0.378
C1901d1TS273_5  0.767    0.812    [0.811]  0.819    0.809    0.760    0.722    0.696    0.662    0.641     0.559     0.513     0.478     0.453     0.432     0.415     0.401     0.388
C1901d1TS215_1  0.214    0.219    0.219    0.220    0.221    0.220    0.240    0.237    0.235    0.234     0.240     0.241     0.235     0.230     0.227     0.224     0.224     0.222
C1901d1TS123_1  0.190    0.193    0.193    0.194    0.194    0.201    0.198    0.196    0.195    0.195     0.190     0.189     0.190     0.189     0.189     0.188     0.188     0.188
C1901d1TS273_4  0        0.812    [0.811]  0.821    0.809    0.762    0.725    0.699    0.664    0.643     0.561     0.513     0.478     0.453     0.432     0.415     0.401     0.388
C1901d1TS273_3  0        0.810    0.806    0.814    0.809    0.760    0.722    0.696    0.661    0.640     0.558     0.510     0.476     0.450     0.429     0.413     0.398     0.386
C1901d1TS273_2  0        0.804    [0.811]  [0.822]  [0.812]  [0.764]  [0.727]  [0.700]  [0.665]  [0.645]   [0.562]   [0.514]   [0.479]   [0.454]   [0.433]   [0.416]   [0.402]   [0.389]
C1901d1TS131_3  0        0.350    0.352    0.361    0.365    0.361    0.354    0.351    0.358    0.360     0.358     0.372     0.376     0.367     0.361     0.356     0.350     0.343
C1901d1TS215_2  0        0.343    0.341    0.343    0.341    0.334    0.341    0.347    0.338    0.337     0.319     0.307     0.297     0.290     0.285     0.279     0.277     0.272
C1901d1TS228_4  0        0        0.322    0.324    0.331    0.334    0.327    0.324    0.322    0.330     0.341     0.379     0.379     0.377     0.367     0.361     0.351     0.341
C1901d1TS240_4  0        0        0.296    0.298    0.298    0.296    0.292    0.291    0.291    0.291     0.286     0.288     0.287     0.287     0.293     0.296     0.298     0.299
C1901d1TS215_5  0        0        0.253    0.254    0.253    0.251    0.252    0.253    0.254    0.252     0.268     0.261     0.260     0.255     0.250     0.249     0.250     0.249
C1901d1TS131_1  0        0        0        0.346    0.361    0.355    0.348    0.344    0.363    0.361     0.363     0.368     0.367     0.357     0.351     0.345     0.338     0.332
C1901d1TS131_2  0        0        0        0.345    0.349    0.345    0.339    0.335    0.347    0.348     0.352     0.361     0.364     0.354     0.350     0.344     0.337     0.331
C1901d1TS228_2  0        0        0        0        0.334    0.336    0.329    0.327    0.325    0.333     0.344     0.382     0.383     0.381     0.371     0.365     0.355     0.344
C1901d1TS210_5  0        0        0        0        0.267    0.273    0.269    0.267    0.267    0.266     0.261     0.260     0.263     0.268     0.265     0.273     0.275     0.279
C1901d1TS215_3  0        0        0        0        0        0.529    0.528    0.521    0.504    0.491     0.443     0.417     0.395     0.380     0.366     0.355     0.345     0.336
C1901d1TS258_2  0        0        0        0        0        0.505    0.509    0.519    0.508    0.508     0.476     0.449     0.427     0.410     0.394     0.381     0.369     0.359
C1901d1TS258_3  0        0        0        0        0        0.496    0.493    0.499    0.492    0.493     0.467     0.441     0.419     0.402     0.387     0.374     0.362     0.352
C1901d1TS131_4  0        0        0        0        0        0.359    0.352    0.349    0.355    0.354     0.351     0.357     0.368     0.359     0.353     0.347     0.340     0.334
C1901d1TS228_1  0        0        0        0        0        0.334    0.327    0.325    0.323    0.331     0.342     0.380     0.381     0.378     0.368     0.362     0.352     0.342
