model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1906x2TS215_5  [0.623]  [0.591]  [0.519]  0.481    0.458    0.461    0.449    0.445    0.434    0.427     0.396     0.370     0.345     0.323     0.313     0.313     0.313     0.313
C1906x2TS044_1  0.511    0.491    0.502    [0.499]  [0.497]  [0.510]  [0.506]  [0.500]  [0.497]  0.494     0.461     0.429     0.396     0.369     0.356     0.356     0.356     0.356
C1906x2TS215_3  0.420    0.466    0.464    0.457    0.439    0.444    0.433    0.423    0.419    0.416     0.390     0.364     0.338     0.317     0.307     0.307     0.307     0.307
C1906x2TS389_1  0.387    0.397    0.414    0.409    0.411    0.430    0.458    0.465    0.480    0.487     0.470     0.440     0.406     0.379     0.365     0.365     0.365     0.365
C1906x2TS215_1  0.381    0.428    0.446    0.445    0.428    0.421    0.422    0.432    0.424    0.422     0.395     0.369     0.343     0.322     0.312     0.312     0.312     0.312
C1906x2TS215_2  0.361    0.364    0.378    0.389    0.417    0.415    0.413    0.406    0.397    0.391     0.373     0.352     0.329     0.309     0.300     0.300     0.300     0.300
C1906x2TS215_4  0.343    0.341    0.381    0.430    0.440    0.424    0.411    0.400    0.391    0.384     0.358     0.337     0.315     0.297     0.288     0.288     0.288     0.288
C1906x2TS123_3  0.268    0.269    0.268    0.265    0.266    0.268    0.271    0.272    0.280    0.281     0.284     0.287     0.281     0.268     0.261     0.261     0.261     0.261
C1906x2TS228_1  0        0.452    0.461    0.451    0.460    0.470    0.492    0.493    0.491    0.492     0.465     0.437     0.402     0.374     0.360     0.360     0.360     0.360
C1906x2TS389_4  0        0        0.397    0.405    0.408    0.426    0.444    0.467    0.493    [0.511]   [0.493]   [0.460]   [0.422]   [0.391]   [0.376]   [0.376]   [0.376]   [0.376]
C1906x2TS389_5  0        0        0        0.409    0.411    0.428    0.446    0.467    0.492    0.509     0.492     [0.460]   [0.422]   [0.391]   [0.376]   [0.376]   [0.376]   [0.376]
C1906x2TS389_3  0        0        0        0        0.404    0.417    0.444    0.461    0.486    0.501     0.486     0.454     0.417     0.387     0.372     0.372     0.372     0.372
C1906x2TS389_2  0        0        0        0        0.399    0.411    0.434    0.441    0.458    0.469     0.465     0.438     0.404     0.376     0.362     0.362     0.362     0.362
C1906x2TS003_1  0        0        0        0        0.272    0.275    0.278    0.279    0.281    0.282     0.278     0.272     0.270     0.282     0.276     0.276     0.276     0.276
C1906x2TS123_4  0        0        0        0        0.257    0.259    0.262    0.263    0.266    0.267     0.274     0.272     0.275     0.262     0.255     0.255     0.255     0.255
C1906x2TS073_4  0        0        0        0        0        0.353    0.359    0.363    0.366    0.369     0.387     0.385     0.362     0.339     0.328     0.328     0.328     0.328
C1906x2TS073_5  0        0        0        0        0        0        0.353    0.357    0.363    0.366     0.377     0.384     0.359     0.336     0.326     0.326     0.326     0.326
C1906x2TS073_1  0        0        0        0        0        0        0        0.364    0.369    0.372     0.398     0.389     0.365     0.341     0.330     0.330     0.330     0.330
C1906x2TS073_2  0        0        0        0        0        0        0        0.361    0.364    0.367     0.384     0.384     0.358     0.336     0.325     0.325     0.325     0.325
C1906x2TS073_3  0        0        0        0        0        0        0        0        0        0.362     0.375     0.377     0.353     0.332     0.321     0.321     0.321     0.321
C1906x2TS121_1  0        0        0        0        0        0        0        0        0        0         0.247     0.247     0.262     0.255     0.252     0.252     0.252     0.252
C1906x2TS123_1  0        0        0        0        0        0        0        0        0        0         0.246     0.263     0.252     0.248     0.243     0.243     0.243     0.243
C1906x2TS123_2  0        0        0        0        0        0        0        0        0        0         0.243     0.261     0.261     0.253     0.248     0.248     0.248     0.248
C1906x2TS123_5  0        0        0        0        0        0        0        0        0        0         0.235     0.244     0.254     0.249     0.245     0.245     0.245     0.245
C1906x2TS067_2  0        0        0        0        0        0        0        0        0        0         0.229     0.233     0.246     0.262     0.259     0.259     0.259     0.259
C1906x2TS049_2  0        0        0        0        0        0        0        0        0        0         0.188     0.188     0.187     0.196     0.204     0.204     0.204     0.204
C1906x2TS067_4  0        0        0        0        0        0        0        0        0        0         0         0.254     0.267     0.278     0.273     0.273     0.273     0.273
C1906x2TS067_1  0        0        0        0        0        0        0        0        0        0         0         0.231     0.252     0.250     0.246     0.246     0.246     0.246
C1906x2TS049_4  0        0        0        0        0        0        0        0        0        0         0         0         0.218     0.225     0.235     0.235     0.235     0.235
C1906x2TS121_2  0        0        0        0        0        0        0        0        0        0         0         0         0.208     0.206     0.201     0.201     0.201     0.201
C1906x2TS049_5  0        0        0        0        0        0        0        0        0        0         0         0         0.176     0.183     0.195     0.195     0.195     0.195
C1906x2TS049_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0.209     0.219     0.219     0.219     0.219
C1906x2TS049_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0.204     0.208     0.208     0.208     0.208
