C1902d3TS003_1 C1902d3TS010_1 C1902d3TS010_2 C1902d3TS010_3 C1902d3TS010_4 C1902d3TS010_5 C1902d3TS044_1 C1902d3TS049_1 C1902d3TS049_2 C1902d3TS049_3 C1902d3TS049_4 C1902d3TS049_5 C1902d3TS067_1 C1902d3TS067_2 C1902d3TS067_3 C1902d3TS067_4 C1902d3TS067_5 C1902d3TS103_1 C1902d3TS123_1 C1902d3TS123_2 C1902d3TS123_3 C1902d3TS123_4 C1902d3TS123_5 C1902d3TS131_1 C1902d3TS131_2 C1902d3TS131_3 C1902d3TS131_4 C1902d3TS131_5 C1902d3TS210_1 C1902d3TS210_2 C1902d3TS210_3 C1902d3TS210_4 C1902d3TS210_5 C1902d3TS215_1 C1902d3TS215_2 C1902d3TS215_3 C1902d3TS215_4 C1902d3TS215_5 C1902d3TS228_1 C1902d3TS228_2 C1902d3TS228_3 C1902d3TS228_4 C1902d3TS228_5 C1902d3TS240_1 C1902d3TS240_2 C1902d3TS240_3 C1902d3TS240_4 C1902d3TS240_5 C1902d3TS258_1 C1902d3TS258_2 C1902d3TS258_3 C1902d3TS258_4 C1902d3TS258_5 C1902d3TS267_1 C1902d3TS267_2 C1902d3TS267_3 C1902d3TS267_4 C1902d3TS273_1 C1902d3TS273_2 C1902d3TS273_3 C1902d3TS273_4 C1902d3TS273_5 C1902d3TS301_1 C1902d3TS345_1 C1902d3TS345_2 C1902d3TS345_3 C1902d3TS345_4 C1902d3TS345_5 C1902d3TS347_1 C1902d3TS347_2 C1902d3TS347_3 C1902d3TS405_1 C1902d3TS405_2 C1902d3TS405_3 C1902d3TS405_4 C1902d3TS405_5 C1902d3TS432_1 C1902d3TS438_1 C1902d3TS438_2 C1902d3TS438_3 C1902d3TS438_4 C1902d3TS438_5
1 0.3210 0.3387 0.2821 0.3082 0.2886 0.3174 0.0709 0.0654 0.0995 0.0496 0.0603 0.3158 0.3158 0.3158 0.3158 0.3158 0.3229 0.3258 0.3258 0.3216 0.3216 0.3216 0.3218 0.3218 0.3218 0.3212 0.3222 0.3190 0.3143 0.2953 0.3144 0.3125 0.3105 0.3168 0.3105 0.3092 0.2938 0.2999 0.3012 0.2898 0.3010 0.2410 0.2926 0.2962 0.2992 0.3026 0.3007 0.3123 0.3128 0.3099 0.3157 0.3115 0.2984 0.2987 0.3015 0.2980 0.2934 0.2964 0.2927 0.2912 0.2926 0.3174 0.3169 0.3068 0.3005 0.3101 0.2914 0.3038 0.3038 0.3014 0.3190 0.3143 0.2953 0.3144 0.3125 0.3021 0.3201 0.1519 0.3223 0.3203 0.3211
0.2382 1 0.3862 0.3525 0.4057 0.3943 0.3202 0.0490 0.0450 0.0564 0.0310 0.0483 0.3140 0.3140 0.3140 0.3140 0.3140 0.3162 0.3233 0.3233 0.3197 0.3197 0.3197 0.3373 0.3374 0.3384 0.3372 0.3372 0.3451 0.3398 0.3441 0.3338 0.3316 0.3328 0.3349 0.3367 0.3026 0.2905 0.3415 0.3392 0.3307 0.3432 0.2959 0.3245 0.3301 0.3323 0.3333 0.3318 0.3191 0.3223 0.3125 0.3330 0.3171 0.3025 0.3045 0.3038 0.3073 0.3421 0.3467 0.2864 0.2874 0.2866 0.3202 0.3656 0.3913 0.3609 0.3638 0.3338 0.3429 0.3430 0.3416 0.3451 0.3398 0.3441 0.3338 0.3316 0.3145 0.3276 0.1723 0.3291 0.3276 0.3287
0.2726 0.4163 1 0.3772 0.4011 0.4012 0.3761 0.0547 0.0494 0.0664 0.0334 0.0487 0.3783 0.3783 0.3783 0.3783 0.3783 0.3700 0.3820 0.3820 0.3833 0.3833 0.3833 0.4036 0.4033 0.4042 0.4050 0.4029 0.3729 0.3697 0.3643 0.3838 0.3826 0.3694 0.3874 0.3773 0.3467 0.3321 0.3832 0.3791 0.3685 0.3875 0.3278 0.3451 0.3803 0.3693 0.3652 0.3696 0.3745 0.3858 0.3714 0.4011 0.3777 0.3511 0.3472 0.3496 0.3508 0.3605 0.3757 0.2934 0.2931 0.2928 0.3761 0.4221 0.4020 0.3856 0.3763 0.3359 0.3566 0.3576 0.3387 0.3729 0.3697 0.3643 0.3838 0.3826 0.3666 0.3861 0.1949 0.3899 0.3901 0.3896
0.2174 0.3665 0.3613 1 0.3904 0.3645 0.3610 0.0531 0.0465 0.0635 0.0339 0.0442 0.3517 0.3517 0.3517 0.3517 0.3517 0.3511 0.3577 0.3577 0.3582 0.3582 0.3582 0.3725 0.3723 0.3736 0.3739 0.3720 0.3487 0.3451 0.3713 0.3668 0.3669 0.3435 0.3665 0.3535 0.3306 0.3171 0.3834 0.3810 0.3761 0.3891 0.3481 0.3602 0.3847 0.3668 0.3707 0.3793 0.3457 0.3475 0.3411 0.3673 0.3456 0.3362 0.3336 0.3300 0.3361 0.3388 0.3417 0.2977 0.2994 0.2984 0.3610 0.3834 0.3569 0.3907 0.3743 0.3193 0.3259 0.3261 0.3159 0.3487 0.3451 0.3713 0.3668 0.3669 0.3453 0.3601 0.2233 0.3614 0.3604 0.3619
0.2344 0.4181 0.3801 0.3809 1 0.4585 0.3317 0.0498 0.0465 0.0601 0.0317 0.0443 0.3345 0.3345 0.3345 0.3345 0.3345 0.3211 0.3353 0.3353 0.3269 0.3269 0.3269 0.3352 0.3355 0.3365 0.3365 0.3359 0.3412 0.3409 0.3465 0.3351 0.3318 0.3226 0.3263 0.3193 0.3178 0.2946 0.3357 0.3333 0.3206 0.3368 0.2921 0.3355 0.3483 0.3527 0.3428 0.3492 0.3191 0.3308 0.3329 0.3271 0.3350 0.3085 0.3170 0.3099 0.3129 0.3132 0.3270 0.2805 0.2797 0.2792 0.3317 0.3562 0.3570 0.3525 0.3453 0.3645 0.3228 0.3255 0.3454 0.3412 0.3409 0.3465 0.3351 0.3318 0.3315 0.3336 0.1770 0.3361 0.3350 0.3353
0.2337 0.4312 0.4010 0.3800 0.4842 1 0.3231 0.0521 0.0479 0.0621 0.0339 0.0489 0.3233 0.3233 0.3233 0.3233 0.3233 0.3176 0.3316 0.3316 0.3241 0.3241 0.3241 0.3330 0.3330 0.3341 0.3335 0.3333 0.3626 0.3581 0.3592 0.3439 0.3376 0.3404 0.3355 0.3233 0.3114 0.2863 0.3575 0.3553 0.3467 0.3575 0.3193 0.3505 0.3802 0.3814 0.3717 0.3835 0.3159 0.3209 0.3135 0.3306 0.3175 0.3017 0.3083 0.3060 0.3042 0.3578 0.3542 0.2897 0.2864 0.2883 0.3231 0.3631 0.3910 0.3715 0.3747 0.3723 0.3262 0.3292 0.3662 0.3626 0.3581 0.3592 0.3439 0.3376 0.3247 0.3271 0.1954 0.3263 0.3259 0.3260
0.2635 0.3545 0.3873 0.3866 0.3621 0.3311 1 0.0599 0.0515 0.0689 0.0357 0.0520 0.6729 0.6729 0.6729 0.6729 0.6729 0.6742 0.7076 0.7076 0.6980 0.6980 0.6980 0.7214 0.7214 0.7206 0.7185 0.7232 0.4791 0.4789 0.5131 0.5641 0.5696 0.6101 0.6809 0.6536 0.6020 0.5237 0.3851 0.3869 0.3811 0.3831 0.3528 0.4387 0.4090 0.4159 0.4332 0.4275 0.6998 0.6885 0.6870 0.7110 0.6862 0.6332 0.6301 0.6224 0.6376 0.3633 0.3882 0.4175 0.4148 0.4154 1.0000 0.3762 0.3573 0.4485 0.3693 0.3533 0.3540 0.3555 0.3590 0.4791 0.4789 0.5131 0.5641 0.5696 0.6040 0.7345 0.2175 0.7418 0.7434 0.7381
0.3828 0.3572 0.3390 0.3591 0.3561 0.3443 0.3774 1 0.1165 0.1576 0.1063 0.1173 0.3843 0.3843 0.3843 0.3843 0.3843 0.3680 0.3821 0.3821 0.3793 0.3793 0.3793 0.3663 0.3666 0.3675 0.3650 0.3690 0.3750 0.3658 0.3634 0.3644 0.3628 0.3793 0.3668 0.3627 0.3596 0.3457 0.3614 0.3601 0.3468 0.3629 0.3011 0.3659 0.3589 0.3538 0.3583 0.3651 0.3737 0.3723 0.3782 0.3674 0.3723 0.3453 0.3495 0.3441 0.3451 0.3499 0.3504 0.3706 0.3693 0.3680 0.3774 0.3674 0.3461 0.3796 0.3669 0.3551 0.3698 0.3712 0.3694 0.3750 0.3658 0.3634 0.3644 0.3628 0.3550 0.3718 0.1909 0.3721 0.3734 0.3756
0.3069 0.2830 0.2895 0.2816 0.3004 0.2851 0.2894 0.1009 1 0.1356 0.0751 0.0901 0.3019 0.3019 0.3019 0.3019 0.3019 0.2844 0.2939 0.2939 0.2962 0.2962 0.2962 0.2863 0.2862 0.2868 0.2862 0.2872 0.2912 0.2859 0.2720 0.2822 0.2844 0.2891 0.2884 0.2799 0.2722 0.2605 0.2757 0.2727 0.2632 0.2769 0.2395 0.2847 0.2789 0.2756 0.2774 0.2797 0.2837 0.2828 0.2832 0.2837 0.2833 0.2728 0.2812 0.2721 0.2734 0.2698 0.2703 0.2911 0.2907 0.2893 0.2894 0.2894 0.2849 0.2956 0.2918 0.2890 0.3061 0.3068 0.3157 0.2912 0.2859 0.2720 0.2822 0.2844 0.2814 0.2896 0.1513 0.2910 0.2890 0.2899
0.3795 0.3148 0.3388 0.3335 0.3284 0.3184 0.3426 0.1246 0.1203 1 0.1045 0.1257 0.3353 0.3353 0.3353 0.3353 0.3353 0.3447 0.3365 0.3365 0.3394 0.3394 0.3394 0.3360 0.3362 0.3359 0.3363 0.3377 0.3432 0.3379 0.3280 0.3382 0.3385 0.3572 0.3433 0.3353 0.3446 0.3309 0.3509 0.3462 0.3341 0.3510 0.2738 0.3142 0.3242 0.3239 0.3258 0.3269 0.3324 0.3328 0.3390 0.3359 0.3360 0.3172 0.3159 0.3228 0.3185 0.3248 0.3192 0.3466 0.3443 0.3454 0.3426 0.3555 0.3213 0.3483 0.3507 0.3207 0.3350 0.3324 0.3408 0.3432 0.3379 0.3280 0.3382 0.3385 0.3231 0.3413 0.1536 0.3392 0.3366 0.3392
