C1903x2TS003_1 C1903x2TS044_1 C1903x2TS049_1 C1903x2TS049_2 C1903x2TS049_3 C1903x2TS049_4 C1903x2TS049_5 C1903x2TS067_1 C1903x2TS067_2 C1903x2TS067_3 C1903x2TS067_4 C1903x2TS067_5 C1903x2TS073_1 C1903x2TS073_2 C1903x2TS073_3 C1903x2TS073_4 C1903x2TS073_5 C1903x2TS103_1 C1903x2TS121_1 C1903x2TS121_2 C1903x2TS123_1 C1903x2TS123_2 C1903x2TS123_3 C1903x2TS123_4 C1903x2TS123_5 C1903x2TS131_1 C1903x2TS131_2 C1903x2TS131_3 C1903x2TS131_4 C1903x2TS131_5 C1903x2TS215_1 C1903x2TS215_2 C1903x2TS215_3 C1903x2TS215_4 C1903x2TS215_5 C1903x2TS228_1 C1903x2TS228_2 C1903x2TS228_3 C1903x2TS228_4 C1903x2TS228_5 C1903x2TS301_1 C1903x2TS389_1 C1903x2TS389_2 C1903x2TS389_3 C1903x2TS389_4 C1903x2TS389_5
1 0.2604 0.0515 0.0524 0.0566 0.0575 0.0734 0.2479 0.2479 0.2479 0.2224 0.2224 0.2696 0.2787 0.2754 0.2656 0.2668 0.2493 0.2423 0.1549 0.2294 0.2161 0.2291 0.2348 0.2348 0.2696 0.2697 0.2567 0.2556 0.2651 0.2702 0.2520 0.2683 0.2607 0.2451 0.2316 0.2296 0.2373 0.2074 0.2360 0.2604 0.2488 0.2629 0.2579 0.2476 0.2590
0.2347 1 0.0404 0.0440 0.0448 0.0458 0.0526 0.2742 0.2742 0.2742 0.2358 0.2358 0.3245 0.3359 0.3214 0.3044 0.3128 0.2762 0.2457 0.1667 0.2783 0.2796 0.2792 0.2780 0.2780 0.3944 0.3898 0.3851 0.3849 0.3832 0.3524 0.3073 0.3115 0.3662 0.3179 0.3179 0.3091 0.3445 0.2946 0.3381 1.0000 0.3676 0.3820 0.3824 0.3632 0.3859
0.3905 0.3678 1 0.1198 0.1228 0.1311 0.1506 0.3658 0.3658 0.3658 0.3582 0.3582 0.3776 0.3730 0.3730 0.3650 0.3817 0.3431 0.3568 0.2387 0.3541 0.3501 0.3391 0.3677 0.3677 0.3642 0.3640 0.3593 0.3604 0.3608 0.3699 0.3823 0.3691 0.3705 0.3639 0.3313 0.3243 0.3459 0.3104 0.3518 0.3678 0.3492 0.3649 0.3621 0.3467 0.3595
0.2613 0.2519 0.0758 1 0.0892 0.0936 0.1059 0.2577 0.2577 0.2577 0.2433 0.2433 0.2664 0.2667 0.2649 0.2590 0.2711 0.2243 0.2295 0.1519 0.2359 0.2312 0.2569 0.2462 0.2462 0.2466 0.2497 0.2480 0.2458 0.2507 0.2695 0.2649 0.2719 0.2605 0.2732 0.2247 0.2204 0.2444 0.2088 0.2504 0.2519 0.2486 0.2568 0.2492 0.2471 0.2499
0.2660 0.2437 0.0763 0.0904 1 0.1010 0.1183 0.2491 0.2491 0.2491 0.2400 0.2400 0.2695 0.2705 0.2787 0.2660 0.2735 0.2540 0.2550 0.1640 0.2524 0.2389 0.2358 0.2498 0.2498 0.2771 0.2804 0.2710 0.2699 0.2758 0.2632 0.2631 0.2534 0.2581 0.2524 0.2244 0.2260 0.2362 0.2020 0.2448 0.2437 0.2572 0.2576 0.2440 0.2551 0.2484
0.2672 0.2347 0.0731 0.0882 0.0945 1 0.1161 0.2691 0.2691 0.2691 0.2554 0.2554 0.2550 0.2497 0.2558 0.2519 0.2496 0.2305 0.2578 0.1730 0.2407 0.2424 0.2186 0.2621 0.2621 0.2586 0.2558 0.2554 0.2568 0.2570 0.2691 0.2362 0.2422 0.2626 0.2434 0.2227 0.2230 0.2237 0.2028 0.2197 0.2347 0.2308 0.2330 0.2334 0.2299 0.2301
0.3833 0.3263 0.1045 0.1214 0.1326 0.1409 1 0.3361 0.3361 0.3361 0.3305 0.3305 0.3459 0.3595 0.3586 0.3525 0.3453 0.3252 0.3251 0.2199 0.3044 0.3131 0.3060 0.3389 0.3389 0.3421 0.3403 0.3392 0.3425 0.3384 0.3374 0.3334 0.3405 0.3434 0.3240 0.3128 0.3085 0.3096 0.2895 0.3266 0.3263 0.3306 0.3341 0.3423 0.3292 0.3403
0.2139 0.2631 0.0401 0.0412 0.0432 0.0460 0.0511 1 0.9901 0.9901 0.2776 0.2776 0.2565 0.2507 0.2403 0.2461 0.2594 0.2438 0.2400 0.1636 0.2445 0.2369 0.2429 0.2648 0.2648 0.2780 0.2721 0.2664 0.2703 0.2651 0.2555 0.2527 0.2645 0.2692 0.2590 0.2334 0.2334 0.2400 0.2121 0.2380 0.2631 0.2436 0.2598 0.2569 0.2406 0.2623
0.2139 0.2631 0.0401 0.0412 0.0432 0.0460 0.0511 0.9901 1 0.9901 0.2776 0.2776 0.2565 0.2507 0.2403 0.2461 0.2594 0.2438 0.2400 0.1636 0.2445 0.2369 0.2429 0.2648 0.2648 0.2780 0.2721 0.2664 0.2703 0.2651 0.2555 0.2527 0.2645 0.2692 0.2590 0.2334 0.2334 0.2400 0.2121 0.2380 0.2631 0.2436 0.2598 0.2569 0.2406 0.2623
0.2139 0.2631 0.0401 0.0412 0.0432 0.0460 0.0511 0.9901 0.9901 1 0.2776 0.2776 0.2565 0.2507 0.2403 0.2461 0.2594 0.2438 0.2400 0.1636 0.2445 0.2369 0.2429 0.2648 0.2648 0.2780 0.2721 0.2664 0.2703 0.2651 0.2555 0.2527 0.2645 0.2692 0.2590 0.2334 0.2334 0.2400 0.2121 0.2380 0.2631 0.2436 0.2598 0.2569 0.2406 0.2623
