C1904x2TS003_1 C1904x2TS049_1 C1904x2TS049_2 C1904x2TS049_3 C1904x2TS049_4 C1904x2TS049_5 C1904x2TS067_1 C1904x2TS067_2 C1904x2TS067_3 C1904x2TS067_4 C1904x2TS067_5 C1904x2TS123_1 C1904x2TS123_2 C1904x2TS123_3 C1904x2TS123_4 C1904x2TS123_5 C1904x2TS215_1 C1904x2TS215_2 C1904x2TS215_3 C1904x2TS215_4 C1904x2TS215_5 C1904x2TS228_1 C1904x2TS228_2 C1904x2TS369_1 C1904x2TS389_1 C1904x2TS389_2 C1904x2TS389_3 C1904x2TS389_4 C1904x2TS389_5
1 0.0483 0.0805 0.0615 0.0578 0.0760 0.2130 0.2470 0.2437 0.2541 0.2482 0.2765 0.2765 0.2765 0.2765 0.2780 0.2743 0.2815 0.2837 0.2738 0.2767 0.2822 0.2677 0.2857 0.2995 0.2984 0.2724 0.2938 0.3047
0.3110 1 0.1411 0.1049 0.0997 0.1314 0.2498 0.2921 0.2954 0.2921 0.2951 0.3009 0.3009 0.3009 0.3009 0.3015 0.2871 0.2878 0.2908 0.2911 0.2896 0.2984 0.2734 0.2854 0.2941 0.2958 0.2729 0.2936 0.2968
0.3307 0.0876 1 0.1239 0.1190 0.1548 0.2519 0.3103 0.3122 0.3109 0.3094 0.3305 0.3305 0.3305 0.3305 0.3316 0.2989 0.3020 0.3065 0.3105 0.2962 0.3076 0.2831 0.2900 0.3031 0.3103 0.2855 0.3013 0.3095
0.2871 0.0744 0.1404 1 0.1019 0.1344 0.2315 0.2685 0.2720 0.2699 0.2718 0.2782 0.2782 0.2782 0.2782 0.2727 0.2616 0.2724 0.2640 0.2743 0.2647 0.2692 0.2395 0.2592 0.2629 0.2647 0.2438 0.2594 0.2690
0.2582 0.0614 0.1207 0.0888 1 0.1077 0.2086 0.2393 0.2412 0.2421 0.2405 0.2580 0.2580 0.2580 0.2580 0.2556 0.2300 0.2388 0.2407 0.2365 0.2368 0.2380 0.2223 0.2327 0.2433 0.2436 0.2194 0.2397 0.2477
0.3134 0.0805 0.1550 0.1194 0.1068 1 0.2489 0.2975 0.2973 0.2926 0.2928 0.3139 0.3139 0.3139 0.3139 0.3189 0.2803 0.2941 0.2846 0.2935 0.2856 0.2913 0.2724 0.2750 0.2950 0.2955 0.2605 0.2817 0.2913
0.1690 0.0304 0.0502 0.0388 0.0363 0.0480 1 0.7294 0.5140 0.5131 0.5907 0.2124 0.2124 0.2124 0.2124 0.2138 0.1760 0.1913 0.1888 0.1780 0.1866 0.1903 0.1775 0.1856 0.1995 0.1982 0.1725 0.1927 0.2029
0.2031 0.0365 0.0609 0.0454 0.0424 0.0568 0.7761 1 0.6706 0.6154 0.7054 0.2596 0.2596 0.2596 0.2596 0.2595 0.2103 0.2298 0.2294 0.2180 0.2221 0.2251 0.2134 0.2181 0.2428 0.2381 0.2097 0.2288 0.2427
0.2053 0.0380 0.0628 0.0470 0.0435 0.0581 0.5370 0.6853 1 0.7184 0.7777 0.2609 0.2609 0.2609 0.2609 0.2584 0.2189 0.2399 0.2379 0.2302 0.2275 0.2312 0.2270 0.2247 0.2527 0.2459 0.2177 0.2378 0.2548
0.2071 0.0362 0.0606 0.0458 0.0426 0.0554 0.5230 0.6086 0.6946 1 0.6820 0.2536 0.2536 0.2536 0.2536 0.2551 0.2085 0.2251 0.2223 0.2145 0.2237 0.2183 0.2136 0.2206 0.2337 0.2368 0.2069 0.2242 0.2395
