C1905x2TS003_1 C1905x2TS049_1 C1905x2TS049_2 C1905x2TS049_3 C1905x2TS049_4 C1905x2TS049_5 C1905x2TS067_1 C1905x2TS067_2 C1905x2TS067_3 C1905x2TS067_4 C1905x2TS067_5 C1905x2TS073_1 C1905x2TS073_2 C1905x2TS073_3 C1905x2TS073_4 C1905x2TS073_5 C1905x2TS103_1 C1905x2TS121_1 C1905x2TS121_2 C1905x2TS123_1 C1905x2TS123_2 C1905x2TS123_3 C1905x2TS123_4 C1905x2TS123_5 C1905x2TS215_1 C1905x2TS215_2 C1905x2TS215_3 C1905x2TS215_4 C1905x2TS215_5 C1905x2TS228_1 C1905x2TS389_1 C1905x2TS389_2 C1905x2TS389_3 C1905x2TS389_4 C1905x2TS389_5
1 0.0493 0.0578 0.0750 0.0648 0.0746 0.2101 0.2122 0.2094 0.2167 0.2167 0.2359 0.2513 0.2538 0.2471 0.2357 0.2035 0.2211 0.0998 0.2116 0.2117 0.2518 0.2400 0.2400 0.2216 0.2352 0.2198 0.2464 0.2398 0.2393 0.2470 0.2423 0.2478 0.2394 0.2108
0.3782 1 0.1389 0.1796 0.1612 0.1774 0.3467 0.3345 0.3474 0.3445 0.3445 0.3481 0.3610 0.3575 0.3530 0.3544 0.3071 0.3582 0.1715 0.3180 0.3500 0.3478 0.3509 0.3509 0.3402 0.3500 0.3412 0.3393 0.3457 0.3496 0.3261 0.3156 0.3196 0.3188 0.3284
0.3427 0.1104 1 0.1973 0.1569 0.1855 0.3444 0.3583 0.3444 0.3482 0.3482 0.3597 0.3537 0.3489 0.3550 0.3447 0.2974 0.3384 0.1628 0.3288 0.3589 0.3404 0.3321 0.3321 0.3413 0.3362 0.3238 0.3408 0.3468 0.3445 0.3183 0.3095 0.3181 0.3124 0.3057
0.3927 0.1271 0.1760 1 0.2026 0.2282 0.3689 0.3748 0.3749 0.3789 0.3789 0.3846 0.3826 0.3819 0.3893 0.3806 0.3230 0.3799 0.1940 0.3478 0.4026 0.3689 0.3790 0.3790 0.3818 0.3734 0.3745 0.3885 0.3766 0.3852 0.3587 0.3445 0.3534 0.3528 0.3432
0.3135 0.0971 0.1319 0.1795 1 0.1691 0.3025 0.2892 0.3060 0.2874 0.2874 0.3221 0.3171 0.3146 0.3213 0.3096 0.2515 0.2995 0.1396 0.2923 0.3252 0.3147 0.3282 0.3282 0.3081 0.3277 0.3049 0.2909 0.3139 0.3188 0.2969 0.2781 0.2874 0.2833 0.2842
0.3431 0.1069 0.1511 0.2009 0.1687 1 0.3188 0.3199 0.3199 0.3149 0.3149 0.3351 0.3405 0.3280 0.3417 0.3322 0.2886 0.3468 0.1597 0.2961 0.3350 0.3495 0.3607 0.3607 0.3310 0.3264 0.3326 0.3341 0.3192 0.3362 0.3180 0.3021 0.3119 0.3096 0.3054
0.2089 0.0460 0.0553 0.0675 0.0625 0.0696 1 0.7037 0.8506 0.2834 0.2834 0.2584 0.2678 0.2621 0.2766 0.2551 0.2134 0.2550 0.1133 0.2283 0.2262 0.2489 0.2444 0.2444 0.2226 0.2548 0.2431 0.2446 0.2434 0.2656 0.2623 0.2538 0.2645 0.2537 0.2491
0.2041 0.0432 0.0554 0.0673 0.0575 0.0679 0.6806 1 0.6770 0.5940 0.5940 0.2312 0.2406 0.2446 0.2499 0.2347 0.2002 0.2243 0.1046 0.2127 0.2082 0.2248 0.2253 0.2253 0.2140 0.2227 0.2319 0.2461 0.2146 0.2559 0.2501 0.2351 0.2499 0.2440 0.2216
0.2104 0.0465 0.0561 0.0689 0.0641 0.0704 0.8597 0.7078 1 0.2827 0.2827 0.2550 0.2646 0.2611 0.2733 0.2534 0.2123 0.2550 0.1141 0.2269 0.2284 0.2505 0.2433 0.2433 0.2214 0.2555 0.2425 0.2408 0.2417 0.2646 0.2602 0.2499 0.2627 0.2526 0.2527
0.2094 0.0448 0.0540 0.0672 0.0573 0.0673 0.2764 0.5969 0.2728 1 1.0000 0.2206 0.2375 0.2340 0.2419 0.2273 0.2036 0.2181 0.1033 0.2136 0.2172 0.2300 0.2371 0.2371 0.2048 0.2216 0.2290 0.2499 0.2193 0.2425 0.2401 0.2288 0.2411 0.2410 0.2100
0.2094 0.0448 0.0540 0.0672 0.0573 0.0673 0.2764 0.5969 0.2728 1.0000 1 0.2206 0.2375 0.2340 0.2419 0.2273 0.2036 0.2181 0.1033 0.2136 0.2172 0.2300 0.2371 0.2371 0.2048 0.2216 0.2290 0.2499 0.2193 0.2425 0.2401 0.2288 0.2411 0.2410 0.2100
0.2015 0.0391 0.0508 0.0611 0.0561 0.0618 0.2215 0.2052 0.2164 0.1956 0.1956 1 0.3887 0.3577 0.3817 0.3836 0.2010 0.2249 0.0920 0.2451 0.2356 0.2807 0.2294 0.2294 0.2535 0.2683 0.2623 0.2546 0.2643 0.2714 0.2849 0.2763 0.2806 0.2738 0.2567
0.2004 0.0371 0.0479 0.0571 0.0518 0.0585 0.2151 0.2000 0.2104 0.1963 0.1963 0.3626 1 0.3405 0.3565 0.3404 0.1919 0.2147 0.0926 0.2214 0.2127 0.2642 0.2221 0.2221 0.2413 0.2665 0.2497 0.2401 0.2452 0.2695 0.2682 0.2519 0.2523 0.2531 0.2512
0.2115 0.0387 0.0488 0.0592 0.0528 0.0579 0.2201 0.2123 0.2166 0.2029 0.2029 0.3478 0.3579 1 0.3700 0.3541 0.2098 0.2213 0.0974 0.2428 0.2328 0.2725 0.2440 0.2440 0.2598 0.2761 0.2571 0.2653 0.2481 0.2833 0.2895 0.2802 0.2752 0.2852 0.2635
0.1953 0.0365 0.0486 0.0560 0.0513 0.0571 0.2195 0.2057 0.2144 0.1989 0.1989 0.3538 0.3520 0.3494 1 0.3352 0.1998 0.2151 0.0913 0.2287 0.2231 0.2678 0.2327 0.2327 0.2308 0.2608 0.2441 0.2361 0.2485 0.2653 0.2778 0.2724 0.2630 0.2754 0.2399
0.1988 0.0392 0.0497 0.0607 0.0538 0.0594 0.2170 0.2062 0.2131 0.1995 0.1995 0.3755 0.3605 0.3589 0.3563 1 0.2129 0.2187 0.0916 0.2387 0.2303 0.2693 0.2398 0.2398 0.2515 0.2721 0.2614 0.2555 0.2654 0.2718 0.2909 0.2883 0.2821 0.2880 0.2587
0.1797 0.0358 0.0431 0.0526 0.0454 0.0553 0.1925 0.1849 0.1893 0.1858 0.1858 0.2074 0.2142 0.2225 0.2256 0.2236 1 0.1985 0.0834 0.1949 0.1869 0.2266 0.2267 0.2267 0.2126 0.2357 0.2194 0.2218 0.2169 0.2301 0.2170 0.2164 0.2164 0.2187 0.2028
0.1931 0.0402 0.0507 0.0629 0.0529 0.0646 0.2249 0.2057 0.2223 0.1983 0.1983 0.2282 0.2345 0.2317 0.2375 0.2253 0.1959 1 0.1632 0.2027 0.2028 0.2378 0.2230 0.2230 0.2076 0.2336 0.2179 0.2156 0.2260 0.2219 0.2240 0.2218 0.2216 0.2227 0.2200
0.2211 0.0460 0.0565 0.0680 0.0576 0.0670 0.2659 0.2408 0.2607 0.2375 0.2375 0.2574 0.2745 0.2553 0.2659 0.2462 0.2249 0.3973 1 0.2283 0.2401 0.2642 0.2631 0.2631 0.2356 0.2720 0.2572 0.2581 0.2572 0.2717 0.2520 0.2447 0.2472 0.2421 0.2604
0.1964 0.0393 0.0509 0.0617 0.0559 0.0597 0.2123 0.2063 0.2098 0.2064 0.2064 0.2622 0.2553 0.2646 0.2655 0.2594 0.2068 0.2143 0.0948 1 0.3786 0.2571 0.2314 0.2314 0.2490 0.2628 0.2395 0.2356 0.2369 0.2535 0.2553 0.2493 0.2443 0.2501 0.2299
0.2054 0.0443 0.0581 0.0721 0.0647 0.0684 0.2202 0.2108 0.2195 0.2189 0.2189 0.2661 0.2583 0.2695 0.2731 0.2637 0.2083 0.2251 0.1041 0.4015 1 0.2651 0.2437 0.2437 0.2569 0.2666 0.2552 0.2413 0.2632 0.2674 0.2617 0.2506 0.2524 0.2585 0.2419
0.1731 0.0318 0.0390 0.0475 0.0446 0.0485 0.1751 0.1643 0.1747 0.1667 0.1667 0.2262 0.2274 0.2251 0.2338 0.2192 0.1771 0.1893 0.0790 0.1912 0.1874 1 0.1930 0.1930 0.2085 0.2265 0.2238 0.2097 0.2126 0.2138 0.2221 0.2130 0.2155 0.2092 0.2332
