C1902x2TS003_1 C1902x2TS044_1 C1902x2TS049_1 C1902x2TS049_2 C1902x2TS049_3 C1902x2TS049_4 C1902x2TS049_5 C1902x2TS067_1 C1902x2TS067_2 C1902x2TS067_3 C1902x2TS067_4 C1902x2TS067_5 C1902x2TS123_1 C1902x2TS123_2 C1902x2TS123_3 C1902x2TS123_4 C1902x2TS123_5 C1902x2TS215_1 C1902x2TS215_2 C1902x2TS215_3 C1902x2TS215_4 C1902x2TS215_5 C1902x2TS228_1 C1902x2TS228_2 C1902x2TS228_3 C1902x2TS228_4 C1902x2TS228_5 C1902x2TS258_1 C1902x2TS258_2 C1902x2TS258_3 C1902x2TS258_4 C1902x2TS258_5 C1902x2TS301_1 C1902x2TS369_1 C1902x2TS389_1 C1902x2TS389_2 C1902x2TS389_3 C1902x2TS389_4 C1902x2TS389_5
1 0.2758 0.0479 0.0580 0.0625 0.0701 0.0641 0.2056 0.2056 0.2074 0.2139 0.2074 0.2077 0.2346 0.2031 0.1999 0.2120 0.2567 0.2593 0.2698 0.2722 0.2564 0.2443 0.2681 0.2601 0.2481 0.1109 0.2768 0.2744 0.2733 0.2746 0.2723 0.2758 0.2756 0.2887 0.2900 0.2897 0.2897 0.2925
0.2462 1 0.0383 0.0475 0.0520 0.0577 0.0552 0.2516 0.2516 0.2547 0.3032 0.2547 0.2608 0.3249 0.2625 0.2538 0.2554 0.3609 0.3928 0.4172 0.3724 0.3404 0.3660 0.4008 0.3847 0.3607 0.1448 0.4297 0.4198 0.4266 0.4307 0.4259 1.0000 0.4073 0.4722 0.4431 0.4348 0.4444 0.4500
0.3728 0.3485 1 0.1307 0.1442 0.1565 0.1572 0.3267 0.3267 0.3166 0.3440 0.3166 0.3213 0.3405 0.3166 0.3162 0.3504 0.3401 0.3509 0.3449 0.3456 0.3511 0.2991 0.3341 0.3302 0.3083 0.1406 0.3432 0.3428 0.3453 0.3440 0.3439 0.3485 0.3303 0.3538 0.3578 0.3539 0.3561 0.3555
0.3178 0.2938 0.0874 1 0.1228 0.1342 0.1277 0.2617 0.2617 0.2639 0.2812 0.2639 0.2762 0.2977 0.2702 0.2702 0.2976 0.2916 0.2950 0.2946 0.2890 0.2878 0.2598 0.2934 0.2747 0.2684 0.1186 0.3028 0.3000 0.2989 0.3024 0.3067 0.2938 0.2847 0.2972 0.3034 0.3084 0.3034 0.3051
0.3419 0.3196 0.0959 0.1282 1 0.1506 0.1460 0.2759 0.2759 0.2941 0.3183 0.2941 0.2894 0.3309 0.2815 0.2898 0.3173 0.3056 0.3120 0.3096 0.3165 0.3141 0.2751 0.3067 0.3011 0.2758 0.1336 0.3230 0.3182 0.3219 0.3214 0.3242 0.3196 0.3013 0.3234 0.3255 0.3242 0.3265 0.3280
0.2902 0.2826 0.0806 0.1070 0.1174 1 0.1198 0.2430 0.2430 0.2446 0.2594 0.2446 0.2482 0.2730 0.2442 0.2456 0.2656 0.2757 0.2801 0.2699 0.2721 0.2901 0.2420 0.2713 0.2622 0.2484 0.1170 0.2779 0.2747 0.2803 0.2768 0.2794 0.2826 0.2678 0.2807 0.2825 0.2740 0.2802 0.2810
0.2892 0.2750 0.0851 0.1088 0.1165 0.1275 1 0.2548 0.2548 0.2592 0.2709 0.2592 0.2442 0.2677 0.2467 0.2436 0.2680 0.2732 0.2681 0.2644 0.2735 0.2692 0.2415 0.2624 0.2564 0.2405 0.1186 0.2720 0.2717 0.2710 0.2733 0.2766 0.2750 0.2600 0.2734 0.2795 0.2739 0.2751 0.2783
0.2126 0.3103 0.0433 0.0492 0.0525 0.0589 0.0569 1 0.9011 0.3495 0.3583 0.3495 0.2160 0.2962 0.2218 0.2205 0.2198 0.2938 0.3073 0.2941 0.2779 0.2685 0.2345 0.2591 0.2505 0.2427 0.1041 0.2788 0.2692 0.2762 0.2797 0.2791 0.3103 0.2545 0.3324 0.3350 0.3382 0.3349 0.3433
0.2126 0.3103 0.0433 0.0492 0.0525 0.0589 0.0569 0.9011 1 0.3495 0.3583 0.3495 0.2160 0.2962 0.2218 0.2205 0.2198 0.2938 0.3073 0.2941 0.2779 0.2685 0.2345 0.2591 0.2505 0.2427 0.1041 0.2788 0.2692 0.2762 0.2797 0.2791 0.3103 0.2545 0.3324 0.3350 0.3382 0.3349 0.3433
0.2035 0.2981 0.0400 0.0469 0.0536 0.0558 0.0572 0.3335 0.3335 1 0.6387 0.9134 0.2036 0.2800 0.2085 0.2140 0.2135 0.2746 0.2881 0.2795 0.2779 0.2594 0.2206 0.2472 0.2410 0.2300 0.1007 0.2715 0.2577 0.2660 0.2696 0.2657 0.2981 0.2422 0.3190 0.3213 0.3174 0.3211 0.3212
