C1905d2TS003_1 C1905d2TS010_1 C1905d2TS010_2 C1905d2TS010_3 C1905d2TS010_4 C1905d2TS010_5 C1905d2TS049_1 C1905d2TS049_2 C1905d2TS049_3 C1905d2TS049_4 C1905d2TS049_5 C1905d2TS067_1 C1905d2TS067_2 C1905d2TS067_3 C1905d2TS067_4 C1905d2TS067_5 C1905d2TS103_1 C1905d2TS121_1 C1905d2TS121_2 C1905d2TS123_1 C1905d2TS123_2 C1905d2TS123_3 C1905d2TS123_4 C1905d2TS123_5 C1905d2TS131_1 C1905d2TS131_2 C1905d2TS131_3 C1905d2TS131_4 C1905d2TS131_5 C1905d2TS210_1 C1905d2TS210_2 C1905d2TS210_3 C1905d2TS210_4 C1905d2TS210_5 C1905d2TS215_1 C1905d2TS215_2 C1905d2TS215_3 C1905d2TS215_4 C1905d2TS215_5 C1905d2TS228_1 C1905d2TS228_2 C1905d2TS228_3 C1905d2TS228_4 C1905d2TS228_5 C1905d2TS240_1 C1905d2TS240_2 C1905d2TS240_3 C1905d2TS240_4 C1905d2TS240_5 C1905d2TS258_1 C1905d2TS258_2 C1905d2TS258_3 C1905d2TS258_4 C1905d2TS258_5 C1905d2TS273_1 C1905d2TS273_2 C1905d2TS273_3 C1905d2TS273_4 C1905d2TS273_5 C1905d2TS345_1 C1905d2TS345_2 C1905d2TS345_3 C1905d2TS345_4 C1905d2TS345_5 C1905d2TS346_1 C1905d2TS347_1 C1905d2TS347_2 C1905d2TS347_3 C1905d2TS405_1 C1905d2TS405_2 C1905d2TS405_3 C1905d2TS405_4 C1905d2TS405_5 C1905d2TS432_1 C1905d2TS438_1 C1905d2TS438_2 C1905d2TS438_3 C1905d2TS438_4 C1905d2TS438_5
1 0.288552 0.295579 0.317754 0.302762 0.296348 0.212469 0.201262 0.1929 0.19986 0.199741 0.288138 0.288138 0.288138 0.299545 0.299545 0.274996 0.289042 0.284655 0.271697 0.295598 0.295598 0.291009 0.291247 0.313895 0.305037 0.314983 0.306029 0.305477 0.307166 0.30899 0.308693 0.30121 0.298726 0.302207 0.29791 0.294381 0.315691 0.296075 0.299622 0.301014 0.305368 0.297468 0.299641 0.324142 0.323972 0.323119 0.302226 0.318983 0.324793 0.314729 0.319665 0.313261 0.321027 0.30838 0.301593 0.309921 0.309555 0.311524 0.312925 0.301381 0.304559 0.277797 0.29465 0.222582 0.313256 0.305847 0.294328 0.307166 0.30899 0.30121 0.298726 0.295759 0.293246 0.320192 0.330391 0.325991 0.322542 0.32483
0.269604 1 0.534951 0.405628 0.407488 0.404121 0.196186 0.175283 0.153526 0.179872 0.180301 0.289019 0.289019 0.289019 0.286935 0.286935 0.318574 0.278074 0.283328 0.297539 0.298017 0.298017 0.303675 0.289661 0.349978 0.354889 0.351442 0.354374 0.340315 0.382364 0.365965 0.36546 0.372475 0.368482 0.33947 0.38132 0.344711 0.341636 0.343755 0.337412 0.334781 0.335202 0.338379 0.332805 0.33081 0.348201 0.337693 0.347821 0.355978 0.360532 0.386017 0.361202 0.3727 0.35278 0.370746 0.380354 0.374451 0.379934 0.376885 0.344167 0.303214 0.328233 0.337342 0.32735 0.221598 0.294344 0.29247 0.298379 0.382364 0.365965 0.372475 0.368482 0.371258 0.298414 0.371355 0.370601 0.363671 0.372752 0.361457
0.273671 0.525965 1 0.436967 0.408169 0.379922 0.185842 0.166553 0.156161 0.166147 0.16992 0.275746 0.275746 0.275746 0.277095 0.277095 0.285675 0.266775 0.258788 0.282858 0.281016 0.281016 0.280154 0.263473 0.331534 0.326553 0.323739 0.329535 0.328578 0.357986 0.350251 0.357685 0.365105 0.344497 0.322836 0.348563 0.332129 0.315006 0.312866 0.313375 0.314218 0.319774 0.313898 0.313329 0.303076 0.307299 0.329715 0.334441 0.311428 0.354327 0.359734 0.363494 0.349527 0.330337 0.346924 0.353631 0.351343 0.352729 0.348939 0.325142 0.300738 0.29704 0.294142 0.307188 0.215563 0.257004 0.268817 0.274949 0.357986 0.350251 0.365105 0.344497 0.345893 0.293349 0.349163 0.357745 0.351684 0.345508 0.343141
0.283679 0.396746 0.424375 1 0.388434 0.375345 0.181388 0.162761 0.157143 0.168744 0.167645 0.263898 0.263898 0.263898 0.273501 0.273501 0.263839 0.261486 0.251513 0.265006 0.287042 0.287042 0.281423 0.267605 0.349187 0.343969 0.347033 0.338581 0.343757 0.366306 0.349495 0.343809 0.337201 0.342881 0.324089 0.342026 0.322009 0.335863 0.318004 0.304982 0.306063 0.306995 0.302711 0.316276 0.32994 0.318292 0.339667 0.32201 0.31608 0.341662 0.363064 0.355991 0.339036 0.325523 0.359786 0.359415 0.360398 0.358593 0.361098 0.326538 0.323666 0.300349 0.315174 0.301101 0.22642 0.260023 0.268094 0.254356 0.366306 0.349495 0.337201 0.342881 0.357786 0.297028 0.350507 0.357506 0.346966 0.346832 0.344218
0.282522 0.401447 0.413241 0.402476 1 0.356534 0.172794 0.156713 0.139703 0.163901 0.158026 0.275676 0.275676 0.275676 0.288444 0.288444 0.301382 0.266239 0.253496 0.293156 0.293804 0.293804 0.287492 0.275208 0.340816 0.337334 0.35117 0.336728 0.348358 0.365603 0.349479 0.411144 0.354394 0.358114 0.34915 0.33373 0.304638 0.326468 0.331998 0.351297 0.351634 0.353881 0.353307 0.352752 0.344032 0.35047 0.367002 0.359798 0.335772 0.392576 0.358572 0.400613 0.364558 0.339803 0.366097 0.372321 0.366898 0.364635 0.363668 0.337105 0.319487 0.31338 0.31433 0.313947 0.21688 0.284456 0.284465 0.280093 0.365603 0.349479 0.354394 0.358114 0.365037 0.324247 0.377775 0.378748 0.372857 0.369325 0.368737
0.28581 0.408 0.394029 0.398757 0.369512 1 0.188538 0.183892 0.159415 0.178689 0.15421 0.270051 0.270051 0.270051 0.279028 0.279028 0.296613 0.277938 0.278225 0.308427 0.298538 0.298538 0.302687 0.286381 0.333566 0.330908 0.340328 0.340772 0.33491 0.399949 0.370884 0.375986 0.351354 0.356647 0.319634 0.350104 0.355118 0.316831 0.319127 0.335806 0.335689 0.334492 0.334779 0.328848 0.344314 0.333533 0.344672 0.355394 0.34317 0.342036 0.367388 0.372859 0.376205 0.349066 0.360428 0.362557 0.360173 0.362719 0.363308 0.34027 0.313854 0.340898 0.322781 0.335486 0.218424 0.30179 0.310674 0.272109 0.399949 0.370884 0.351354 0.356647 0.350638 0.301984 0.370391 0.370614 0.376381 0.368992 0.369826
0.415149 0.416215 0.410009 0.393092 0.397436 0.409959 1 0.48365 0.478573 0.479635 0.49556 0.411022 0.411022 0.411022 0.409786 0.409786 0.429391 0.367427 0.403867 0.412432 0.405056 0.405056 0.387612 0.413552 0.387266 0.392082 0.391033 0.408379 0.40752 0.366236 0.381744 0.402924 0.364118 0.3719 0.405393 0.373837 0.414823 0.391342 0.391952 0.418432 0.41653 0.416776 0.417858 0.406783 0.414735 0.402631 0.430655 0.409632 0.435092 0.420604 0.40422 0.413006 0.410463 0.436223 0.40383 0.39736 0.404445 0.385977 0.403419 0.371665 0.36027 0.385052 0.387875 0.381226 0.339266 0.400004 0.393399 0.398417 0.366236 0.381744 0.364118 0.3719 0.381233 0.383603 0.390338 0.39767 0.393934 0.389617 0.396504
0.414536 0.408587 0.388523 0.370117 0.391515 0.413663 0.489291 1 0.518253 0.502383 0.510699 0.392599 0.392599 0.392599 0.401826 0.401826 0.431293 0.34188 0.408535 0.393398 0.416195 0.416195 0.404603 0.385279 0.363946 0.385892 0.388039 0.38543 0.389794 0.368737 0.376472 0.373381 0.382645 0.366888 0.3871 0.365807 0.394262 0.373013 0.38744 0.391997 0.393717 0.394795 0.38815 0.379332 0.405112 0.397207 0.41503 0.391768 0.415277 0.388899 0.380532 0.392168 0.383906 0.399823 0.387448 0.390399 0.390813 0.382197 0.387725 0.358659 0.354813 0.353666 0.370654 0.331739 0.329063 0.367758 0.37567 0.389428 0.368737 0.376472 0.382645 0.366888 0.359158 0.361714 0.348864 0.35229 0.351414 0.353934 0.357547
0.411095 0.399946 0.377899 0.378149 0.376293 0.395054 0.495731 0.537085 1 0.522906 0.530789 0.375385 0.375385 0.375385 0.371035 0.371035 0.420666 0.326136 0.394124 0.377246 0.396846 0.396846 0.392184 0.360031 0.361374 0.37187 0.377644 0.37744 0.379986 0.347759 0.381397 0.376868 0.373012 0.369212 0.397494 0.363685 0.398056 0.380442 0.376326 0.387323 0.389065 0.38849 0.387183 0.368538 0.395034 0.380938 0.405718 0.384458 0.404187 0.382133 0.387557 0.395292 0.372563 0.400724 0.38246 0.369052 0.384118 0.368059 0.379872 0.363674 0.350026 0.352756 0.369153 0.358107 0.327628 0.35864 0.379369 0.384369 0.347759 0.381397 0.373012 0.369212 0.366248 0.365252 0.361321 0.363937 0.363485 0.360826 0.370106
0.430457 0.426748 0.407729 0.392656 0.402149 0.411777 0.491137 0.511059 0.518975 1 0.518353 0.396431 0.396431 0.396431 0.400522 0.400522 0.423859 0.355005 0.411771 0.389448 0.412967 0.412967 0.395942 0.39289 0.379187 0.394669 0.39791 0.397405 0.387013 0.35943 0.38331 0.385634 0.379057 0.37302 0.401332 0.381948 0.416466 0.385147 0.387589 0.409597 0.410192 0.413494 0.407289 0.386103 0.403445 0.39806 0.410534 0.398007 0.418241 0.391375 0.389658 0.400203 0.395971 0.405214 0.389213 0.386451 0.388636 0.386032 0.389285 0.373979 0.353957 0.354883 0.372141 0.373848 0.341317 0.383615 0.390938 0.394335 0.35943 0.38331 0.379057 0.37302 0.384793 0.362154 0.369024 0.364477 0.365452 0.373852 0.372931
