model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1903d1TS273_1  [0.476]  [0.410]  0.387    0.380    0.365    0.353    0.353    0.352    0.348    0.342     0.281
C1903d1TS131_4  0.365    0.365    0.389    0.390    [0.405]  0.398    0.391    0.391    0.392    0.399     0.336
C1903d1TS247_2  0.359    0.345    0.342    0.343    0.344    0.357    0.352    0.356    0.354    0.352     0.318
C1903d1TS131_1  0.353    0.360    [0.394]  [0.391]  0.403    [0.401]  [0.394]  [0.397]  [0.398]  [0.405]   0.338
C1903d1TS131_3  0.348    0.358    0.383    0.385    0.397    0.391    0.385    0.385    0.388    0.396     0.335
C1903d1TS210_1  0.338    0.353    0.334    0.324    0.321    0.321    0.321    0.325    0.323    0.321     0.286
C1903d1TS044_1  0.317    0.330    0.336    0.348    0.356    0.355    0.350    0.356    0.361    0.361     0.324
C1903d1TS123_2  0.285    0.311    0.307    0.303    0.303    0.302    0.300    0.299    0.300    0.299     0.284
C1903d1TS273_2  0.284    0.285    0.300    0.297    0.296    0.308    0.304    0.303    0.302    0.306     0.280
C1903d1TS215_3  0.278    0.318    0.305    0.322    0.314    0.309    0.305    0.311    0.308    0.306     0.268
C1903d1TS067_4  0.257    0.258    0.259    0.259    0.260    0.261    0.260    0.260    0.261    0.261     0.258
C1903d1TS210_4  0        0.361    0.371    0.365    0.371    0.366    0.361    0.364    0.369    0.367     0.323
C1903d1TS131_5  0        0.361    0.384    0.384    0.394    0.389    0.383    0.384    0.386    0.396     0.336
C1903d1TS438_1  0        0.350    0.358    0.368    0.372    0.372    0.368    0.371    0.377    0.378     [0.351]
C1903d1TS228_5  0        0.340    0.352    0.359    0.357    0.353    0.348    0.348    0.358    0.358     0.314
C1903d1TS258_4  0        0.335    0.352    0.349    0.360    0.366    0.361    0.360    0.361    0.363     0.328
C1903d1TS247_4  0        0.331    0.335    0.341    0.354    0.356    0.352    0.352    0.351    0.350     0.326
C1903d1TS215_4  0        0.310    0.317    0.326    0.332    0.329    0.324    0.329    0.332    0.339     0.294
C1903d1TS215_2  0        0.300    0.294    0.298    0.304    0.302    0.318    0.315    0.312    0.309     0.270
C1903d1TS258_1  0        0        0.341    0.342    0.345    0.346    0.343    0.345    0.353    0.357     0.328
