C1903d1TS003_1 C1903d1TS044_1 C1903d1TS049_1 C1903d1TS049_2 C1903d1TS049_3 C1903d1TS049_4 C1903d1TS049_5 C1903d1TS067_1 C1903d1TS067_2 C1903d1TS067_3 C1903d1TS067_4 C1903d1TS067_5 C1903d1TS073_1 C1903d1TS073_2 C1903d1TS073_3 C1903d1TS073_4 C1903d1TS073_5 C1903d1TS103_1 C1903d1TS121_1 C1903d1TS121_2 C1903d1TS123_1 C1903d1TS123_2 C1903d1TS123_3 C1903d1TS123_4 C1903d1TS123_5 C1903d1TS131_1 C1903d1TS131_2 C1903d1TS131_3 C1903d1TS131_4 C1903d1TS131_5 C1903d1TS210_1 C1903d1TS210_2 C1903d1TS210_3 C1903d1TS210_4 C1903d1TS210_5 C1903d1TS215_1 C1903d1TS215_2 C1903d1TS215_3 C1903d1TS215_4 C1903d1TS215_5 C1903d1TS228_1 C1903d1TS228_2 C1903d1TS228_3 C1903d1TS228_4 C1903d1TS228_5 C1903d1TS240_1 C1903d1TS240_2 C1903d1TS240_3 C1903d1TS240_4 C1903d1TS240_5 C1903d1TS247_1 C1903d1TS247_2 C1903d1TS247_3 C1903d1TS247_4 C1903d1TS247_5 C1903d1TS258_1 C1903d1TS258_2 C1903d1TS258_3 C1903d1TS258_4 C1903d1TS258_5 C1903d1TS270_1 C1903d1TS273_1 C1903d1TS273_2 C1903d1TS273_3 C1903d1TS273_4 C1903d1TS273_5 C1903d1TS301_1 C1903d1TS347_1 C1903d1TS347_2 C1903d1TS347_3 C1903d1TS405_1 C1903d1TS405_2 C1903d1TS405_3 C1903d1TS405_4 C1903d1TS405_5 C1903d1TS438_1 C1903d1TS438_2 C1903d1TS438_3 C1903d1TS438_4 C1903d1TS438_5
1 0.288766 0.183297 0.180038 0.190517 0.18383 0.150302 0.281768 0.281768 0.281768 0.310307 0.310307 0.291005 0.306277 0.294418 0.295141 0.296856 0.296246 0.299424 0.290051 0.299947 0.300595 0.300595 0.300595 0.283664 0.293158 0.291257 0.298038 0.284357 0.288945 0.28696 0.292939 0.297002 0.285021 0.298917 0.299243 0.27946 0.278004 0.290156 0.291591 0.301405 0.300782 0.30219 0.299119 0.291125 0.292426 0.297609 0.312526 0.302741 0.3111 0.285434 0.293448 0.295892 0.296626 0.296714 0.290036 0.290595 0.290735 0.293409 0.283 0.292059 0.284131 0.289857 0.287373 0.287509 0.290555 0.288766 0.294507 0.296946 0.297471 0.28696 0.292939 0.297002 0.304726 0.298989 0.305153 0.279013 0.277983 0.301761 0.309354
0.214794 1 0.10247 0.100042 0.112101 0.110249 0.0792663 0.3407 0.3407 0.3407 0.286356 0.286356 0.376853 0.339709 0.325034 0.342696 0.364261 0.340593 0.340698 0.350753 0.373445 0.368217 0.368217 0.368217 0.374074 0.451734 0.447137 0.447084 0.430373 0.445338 0.386542 0.417742 0.429974 0.460492 0.435681 0.406719 0.375486 0.375369 0.409157 0.396947 0.396444 0.396644 0.396801 0.397621 0.417415 0.419784 0.421505 0.423057 0.427045 0.418257 0.415323 0.423372 0.425617 0.430844 0.408352 0.423501 0.466069 0.455456 0.450964 0.448653 0.403826 0.385841 0.35791 0.355509 0.358763 0.361628 1 0.366246 0.369408 0.32407 0.386542 0.417742 0.429974 0.427484 0.434326 0.468573 0.380589 0.401508 0.396189 0.477834
0.403317 0.32483 1 0.47499 0.476693 0.486735 0.462985 0.307252 0.307252 0.307252 0.375229 0.375229 0.336694 0.332922 0.35505 0.340176 0.326888 0.322075 0.324961 0.300448 0.313059 0.343927 0.343927 0.343927 0.339013 0.30337 0.311314 0.319348 0.310785 0.311046 0.324325 0.307677 0.302053 0.307595 0.319231 0.305578 0.334857 0.309205 0.310673 0.323799 0.321932 0.326436 0.331952 0.31943 0.324513 0.320296 0.325614 0.326922 0.31069 0.33549 0.302677 0.318209 0.301815 0.308134 0.310763 0.313836 0.297039 0.312951 0.296801 0.304259 0.313252 0.307952 0.317791 0.322827 0.320438 0.326573 0.32483 0.316916 0.31312 0.349787 0.324325 0.307677 0.302053 0.308304 0.304392 0.316215 0.292625 0.303614 0.303405 0.31978
0.402133 0.308351 0.498811 1 0.498654 0.522842 0.532048 0.308981 0.308981 0.308981 0.367856 0.367856 0.335014 0.336811 0.341304 0.34449 0.33419 0.323532 0.319378 0.29816 0.313666 0.344519 0.344519 0.344519 0.322593 0.297491 0.310875 0.311104 0.311065 0.306954 0.313365 0.310252 0.302429 0.300421 0.3198 0.318037 0.31981 0.302976 0.313122 0.325131 0.30701 0.310115 0.312077 0.306949 0.306821 0.319407 0.319522 0.317132 0.320578 0.33549 0.303229 0.316993 0.303826 0.303049 0.312348 0.303211 0.287486 0.30688 0.296901 0.297325 0.313521 0.301157 0.300719 0.308342 0.309327 0.30907 0.308351 0.321586 0.308821 0.342137 0.313365 0.310252 0.302429 0.308204 0.302719 0.304397 0.286295 0.279455 0.292191 0.307459
0.386684 0.302763 0.43356 0.457566 1 0.450698 0.467406 0.289671 0.289671 0.289671 0.348314 0.348314 0.319793 0.328048 0.316822 0.326012 0.309653 0.305204 0.307017 0.274427 0.294809 0.317602 0.317602 0.317602 0.313454 0.288529 0.299552 0.293231 0.29363 0.297645 0.283136 0.29471 0.289235 0.296902 0.299764 0.303631 0.305671 0.271105 0.296628 0.297692 0.307224 0.310424 0.310989 0.304734 0.293221 0.315404 0.308705 0.30615 0.305604 0.320354 0.292093 0.302636 0.295434 0.298881 0.289971 0.290042 0.280238 0.296978 0.281546 0.282444 0.296443 0.289689 0.290885 0.296462 0.297159 0.297007 0.302763 0.299231 0.290672 0.323768 0.283136 0.29471 0.289235 0.297162 0.290866 0.300369 0.265792 0.27554 0.282336 0.303718
0.417857 0.326451 0.500151 0.516391 0.483109 1 0.504538 0.314565 0.314565 0.314565 0.370303 0.370303 0.334121 0.351517 0.350078 0.351264 0.340218 0.327676 0.319273 0.305299 0.313866 0.358013 0.358013 0.358013 0.326385 0.314086 0.320901 0.322022 0.320849 0.330458 0.318959 0.308893 0.312709 0.31891 0.325129 0.322629 0.330092 0.319664 0.321221 0.326163 0.323878 0.325678 0.326464 0.325326 0.318553 0.324907 0.329487 0.323862 0.331912 0.331085 0.315346 0.332104 0.314406 0.318827 0.320758 0.317259 0.30239 0.314479 0.29996 0.304943 0.327923 0.318621 0.305931 0.31514 0.316343 0.312442 0.326451 0.32702 0.321236 0.349556 0.318959 0.308893 0.312709 0.312668 0.31516 0.313303 0.302683 0.297845 0.305299 0.319427
0.397799 0.314313 0.498691 0.540693 0.542281 0.534317 1 0.309039 0.309039 0.309039 0.370027 0.370027 0.339285 0.333069 0.338289 0.329944 0.318318 0.317899 0.317277 0.29273 0.308799 0.362761 0.362761 0.362761 0.32762 0.301009 0.305485 0.315535 0.307496 0.312076 0.311778 0.303247 0.300287 0.305343 0.312833 0.313629 0.306553 0.308568 0.316326 0.31144 0.319131 0.32206 0.325632 0.316454 0.310485 0.321213 0.324919 0.319028 0.326413 0.322213 0.303226 0.311989 0.302272 0.310906 0.307711 0.303977 0.294393 0.309497 0.292067 0.296034 0.312978 0.311043 0.29357 0.300651 0.30413 0.303044 0.314313 0.308918 0.301977 0.340798 0.311778 0.303247 0.300287 0.309109 0.301723 0.302102 0.277295 0.283825 0.298465 0.307041
0.195629 0.316041 0.0998129 0.0934427 0.097552 0.103235 0.0754752 1 1 1 0.260367 0.260367 0.277119 0.264736 0.27407 0.27008 0.29345 0.287854 0.288926 0.296719 0.319724 0.278307 0.278307 0.278307 0.30244 0.3332 0.325257 0.321322 0.325961 0.32188 0.298771 0.334639 0.330955 0.329101 0.307336 0.291305 0.291488 0.305803 0.314128 0.293261 0.302726 0.303616 0.308301 0.30298 0.320063 0.320365 0.319297 0.331053 0.316353 0.318305 0.306485 0.306594 0.324907 0.32045 0.299875 0.336367 0.341694 0.341323 0.333234 0.325026 0.317619 0.313952 0.296512 0.29634 0.297306 0.298738 0.316041 0.318471 0.327957 0.267809 0.298771 0.334639 0.330955 0.3478 0.333893 0.352819 0.310773 0.317689 0.303886 0.352831
0.195629 0.316041 0.0998129 0.0934427 0.097552 0.103235 0.0754752 1 1 1 0.260367 0.260367 0.277119 0.264736 0.27407 0.27008 0.29345 0.287854 0.288926 0.296719 0.319724 0.278307 0.278307 0.278307 0.30244 0.3332 0.325257 0.321322 0.325961 0.32188 0.298771 0.334639 0.330955 0.329101 0.307336 0.291305 0.291488 0.305803 0.314128 0.293261 0.302726 0.303616 0.308301 0.30298 0.320063 0.320365 0.319297 0.331053 0.316353 0.318305 0.306485 0.306594 0.324907 0.32045 0.299875 0.336367 0.341694 0.341323 0.333234 0.325026 0.317619 0.313952 0.296512 0.29634 0.297306 0.298738 0.316041 0.318471 0.327957 0.267809 0.298771 0.334639 0.330955 0.3478 0.333893 0.352819 0.310773 0.317689 0.303886 0.352831
0.195629 0.316041 0.0998129 0.0934427 0.097552 0.103235 0.0754752 1 1 1 0.260367 0.260367 0.277119 0.264736 0.27407 0.27008 0.29345 0.287854 0.288926 0.296719 0.319724 0.278307 0.278307 0.278307 0.30244 0.3332 0.325257 0.321322 0.325961 0.32188 0.298771 0.334639 0.330955 0.329101 0.307336 0.291305 0.291488 0.305803 0.314128 0.293261 0.302726 0.303616 0.308301 0.30298 0.320063 0.320365 0.319297 0.331053 0.316353 0.318305 0.306485 0.306594 0.324907 0.32045 0.299875 0.336367 0.341694 0.341323 0.333234 0.325026 0.317619 0.313952 0.296512 0.29634 0.297306 0.298738 0.316041 0.318471 0.327957 0.267809 0.298771 0.334639 0.330955 0.3478 0.333893 0.352819 0.310773 0.317689 0.303886 0.352831
