C1901x2TS003_1 C1901x2TS049_1 C1901x2TS049_2 C1901x2TS049_3 C1901x2TS049_4 C1901x2TS049_5 C1901x2TS067_1 C1901x2TS067_2 C1901x2TS067_3 C1901x2TS067_4 C1901x2TS067_5 C1901x2TS123_1 C1901x2TS123_2 C1901x2TS123_3 C1901x2TS123_4 C1901x2TS123_5 C1901x2TS215_1 C1901x2TS215_2 C1901x2TS215_3 C1901x2TS215_4 C1901x2TS215_5 C1901x2TS228_1 C1901x2TS369_1 C1901x2TS389_1 C1901x2TS389_2 C1901x2TS389_3 C1901x2TS389_4 C1901x2TS389_5
1 0.0581 0.0618 0.0698 0.0736 0.0647 0.2198 0.1823 0.1940 0.2154 0.2220 0.2032 0.1738 0.1631 0.2192 0.2192 0.2259 0.2399 0.2423 0.2420 0.2403 0.2367 0.2172 0.2431 0.2396 0.2426 0.2500 0.2472
0.3879 1 0.1367 0.1633 0.1646 0.1402 0.3522 0.2997 0.3213 0.3407 0.3588 0.3270 0.3307 0.3255 0.3580 0.3580 0.3477 0.3503 0.3564 0.3537 0.3490 0.3629 0.3347 0.3598 0.3549 0.3593 0.3568 0.3622
0.3046 0.0970 1 0.1358 0.1296 0.1135 0.2697 0.2310 0.2427 0.2648 0.2690 0.2593 0.2552 0.2436 0.2781 0.2781 0.2714 0.2764 0.2844 0.2943 0.2857 0.2812 0.2532 0.2731 0.2702 0.2732 0.2816 0.2836
0.3348 0.1160 0.1365 1 0.1625 0.1399 0.3073 0.2656 0.2758 0.2970 0.3042 0.2937 0.2927 0.2895 0.3100 0.3100 0.3281 0.3226 0.3274 0.3245 0.3204 0.3187 0.2954 0.3167 0.3167 0.3178 0.3224 0.3237
0.3177 0.1033 0.1227 0.1483 1 0.1292 0.2949 0.2603 0.2574 0.2874 0.2895 0.2714 0.2725 0.2692 0.2997 0.2997 0.2988 0.2905 0.2993 0.3054 0.2994 0.2950 0.2719 0.2942 0.3045 0.2975 0.2946 0.3005
0.3415 0.1110 0.1296 0.1516 0.1548 1 0.3104 0.2722 0.2706 0.3019 0.3114 0.2933 0.2945 0.2905 0.3159 0.3159 0.3098 0.3086 0.3202 0.3159 0.3116 0.3200 0.2962 0.3231 0.3187 0.3219 0.3186 0.3254
0.1757 0.0414 0.0455 0.0504 0.0533 0.0454 1 0.6916 0.1762 0.8418 0.7517 0.1544 0.1400 0.1260 0.1695 0.1695 0.1771 0.1822 0.1882 0.1926 0.1886 0.1833 0.1726 0.1899 0.1880 0.1888 0.1826 0.1869
0.1552 0.0375 0.0412 0.0459 0.0486 0.0418 0.7101 1 0.1634 0.7040 0.6251 0.1372 0.1260 0.1128 0.1483 0.1483 0.1578 0.1636 0.1703 0.1739 0.1699 0.1617 0.1568 0.1705 0.1679 0.1714 0.1704 0.1685
0.1743 0.0420 0.0460 0.0513 0.0529 0.0445 0.1991 0.1778 1 0.2962 0.2678 0.1652 0.1442 0.1407 0.1916 0.1916 0.1787 0.1769 0.1850 0.1862 0.1843 0.1851 0.1688 0.1850 0.1880 0.1866 0.1887 0.1928
0.1657 0.0385 0.0428 0.0475 0.0501 0.0427 0.7999 0.6532 0.2489 1 0.5858 0.1440 0.1303 0.1182 0.1557 0.1557 0.1671 0.1708 0.1784 0.1806 0.1774 0.1682 0.1605 0.1761 0.1738 0.1753 0.1726 0.1771
