model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1901x2TS215_3  [0.791]  [0.594]  [0.491]  [0.438]  [0.406]  0.387    [0.381]  0.369    0.361    0.354     0.228
C1901x2TS389_5  0.311    0.301    0.302    0.302    0.307    0.312    0.335    0.345    0.374    0.390     0.266
C1901x2TS215_1  0.296    0.374    0.407    0.385    0.355    0.351    0.335    0.329    0.319    0.310     0.202
C1901x2TS369_1  0.287    0.304    0.336    0.346    0.336    0.332    0.366    0.370    0.369    0.365     0.247
C1901x2TS215_5  0.267    0.282    0.281    0.326    0.394    0.386    0.379    0.368    0.364    0.360     0.229
C1901x2TS215_2  0        0.403    0.438    0.420    0.394    0.371    0.358    0.346    0.338    0.339     0.220
C1901x2TS215_4  0        0.283    0.283    0.358    0.398    [0.393]  0.379    0.366    0.362    0.358     0.230
C1901x2TS389_2  0        0.257    0.267    0.272    0.286    0.292    0.305    0.316    0.326    0.333     0.250
C1901x2TS389_1  0        0        0.296    0.309    0.326    0.336    0.363    [0.375]  [0.391]  [0.397]   [0.273]
C1901x2TS389_3  0        0        0.269    0.283    0.288    0.306    0.319    0.324    0.342    0.344     0.253
C1901x2TS228_1  0        0        0        0.257    0.262    0.304    0.305    0.316    0.318    0.320     0.234
C1901x2TS389_4  0        0        0        0        0        0.308    0.331    0.360    0.379    0.389     0.261
C1901x2TS123_4  0        0        0        0        0        0        0        0.186    0.187    0.194     0.191
C1901x2TS067_5  0        0        0        0        0        0        0        0        0        0         0.233
C1901x2TS123_3  0        0        0        0        0        0        0        0        0        0         0.230
C1901x2TS123_2  0        0        0        0        0        0        0        0        0        0         0.226
C1901x2TS067_1  0        0        0        0        0        0        0        0        0        0         0.223
C1901x2TS003_1  0        0        0        0        0        0        0        0        0        0         0.202
C1901x2TS067_2  0        0        0        0        0        0        0        0        0        0         0.197
C1901x2TS123_1  0        0        0        0        0        0        0        0        0        0         0.189
C1901x2TS049_1  0        0        0        0        0        0        0        0        0        0         0.185
C1901x2TS049_3  0        0        0        0        0        0        0        0        0        0         0.176
C1901x2TS067_3  0        0        0        0        0        0        0        0        0        0         0.173
C1901x2TS049_5  0        0        0        0        0        0        0        0        0        0         0.172
C1901x2TS049_4  0        0        0        0        0        0        0        0        0        0         0.168
C1901x2TS049_2  0        0        0        0        0        0        0        0        0        0         0.154
