C1906d1TS003_1 C1906d1TS010_1 C1906d1TS010_2 C1906d1TS010_3 C1906d1TS010_4 C1906d1TS010_5 C1906d1TS026_1 C1906d1TS026_2 C1906d1TS026_3 C1906d1TS026_4 C1906d1TS044_1 C1906d1TS049_1 C1906d1TS049_2 C1906d1TS049_3 C1906d1TS049_4 C1906d1TS049_5 C1906d1TS067_1 C1906d1TS067_2 C1906d1TS067_3 C1906d1TS067_4 C1906d1TS067_5 C1906d1TS073_1 C1906d1TS073_2 C1906d1TS073_3 C1906d1TS073_4 C1906d1TS073_5 C1906d1TS103_1 C1906d1TS121_1 C1906d1TS121_2 C1906d1TS123_1 C1906d1TS123_2 C1906d1TS123_3 C1906d1TS123_4 C1906d1TS123_5 C1906d1TS131_1 C1906d1TS131_2 C1906d1TS131_3 C1906d1TS131_4 C1906d1TS131_5 C1906d1TS210_1 C1906d1TS210_2 C1906d1TS210_3 C1906d1TS210_4 C1906d1TS210_5 C1906d1TS215_1 C1906d1TS215_2 C1906d1TS215_3 C1906d1TS215_4 C1906d1TS215_5 C1906d1TS228_1 C1906d1TS228_2 C1906d1TS228_3 C1906d1TS228_4 C1906d1TS228_5 C1906d1TS240_1 C1906d1TS240_2 C1906d1TS240_3 C1906d1TS240_4 C1906d1TS240_5 C1906d1TS247_1 C1906d1TS247_2 C1906d1TS247_3 C1906d1TS247_4 C1906d1TS247_5 C1906d1TS258_1 C1906d1TS258_2 C1906d1TS258_3 C1906d1TS258_4 C1906d1TS258_5 C1906d1TS270_1 C1906d1TS273_1 C1906d1TS273_2 C1906d1TS273_3 C1906d1TS273_4 C1906d1TS273_5 C1906d1TS301_1 C1906d1TS345_1 C1906d1TS345_2 C1906d1TS345_3 C1906d1TS345_4 C1906d1TS345_5 C1906d1TS347_1 C1906d1TS347_2 C1906d1TS347_3 C1906d1TS405_1 C1906d1TS405_2 C1906d1TS405_3 C1906d1TS405_4 C1906d1TS405_5 C1906d1TS438_1 C1906d1TS438_2 C1906d1TS438_3 C1906d1TS438_4 C1906d1TS438_5
1 0.3104 0.317414 0.312749 0.327903 0.319901 0.349899 0.302744 0.326158 0.32672 0.329968 0.213677 0.201271 0.188851 0.174148 0.167727 0.30452 0.308974 0.324249 0.30452 0.308974 0.305879 0.317376 0.315375 0.306711 0.309507 0.316182 0.291639 0.257621 0.316799 0.319941 0.323403 0.319257 0.29523 0.312842 0.312113 0.308457 0.311519 0.310146 0.31347 0.320504 0.317129 0.321943 0.323548 0.291848 0.295456 0.305554 0.299624 0.30754 0.328892 0.330351 0.334004 0.330725 0.323609 0.292685 0.307277 0.319048 0.324474 0.327772 0.321301 0.328187 0.309654 0.319834 0.315596 0.325665 0.327868 0.326073 0.337464 0.323863 0.30815 0.316523 0.314251 0.313956 0.317815 0.317634 0.329968 0.300533 0.312461 0.296392 0.303539 0.297387 0.315681 0.32672 0.320427 0.31347 0.320504 0.317129 0.321943 0.323548 0.294112 0.320888 0.331625 0.323183 0.333808
0.204418 1 0.699527 0.469869 0.480527 0.691496 0.397593 0.438646 0.396316 0.455332 0.479956 0.139866 0.101165 0.10079 0.0774246 0.0872612 0.325487 0.289373 0.216155 0.325487 0.289373 0.455389 0.435526 0.448071 0.462439 0.451188 0.357541 0.400949 0.365762 0.453794 0.418495 0.383318 0.344459 0.397445 0.456842 0.457855 0.45651 0.464105 0.471353 0.459936 0.470017 0.469925 0.472472 0.479222 0.408316 0.370289 0.395079 0.370802 0.433881 0.48141 0.480616 0.489214 0.481346 0.467284 0.424698 0.427863 0.435034 0.440206 0.423507 0.471882 0.475745 0.489623 0.486299 0.479685 0.488461 0.486901 0.48927 0.506503 0.491913 0.442872 0.410841 0.419391 0.409837 0.419134 0.417882 0.479956 0.417195 0.382459 0.402269 0.41875 0.398161 0.409615 0.422575 0.43183 0.459936 0.470017 0.469925 0.472472 0.479222 0.42863 0.469568 0.459731 0.45893 0.466511
0.214592 0.705778 1 0.451929 0.465458 0.714885 0.395407 0.428347 0.397183 0.465588 0.467232 0.148577 0.107718 0.0976205 0.0889249 0.089686 0.316362 0.304559 0.226517 0.316362 0.304559 0.468411 0.450081 0.455792 0.465356 0.474334 0.376671 0.391029 0.361279 0.465409 0.42825 0.376789 0.345677 0.400875 0.460722 0.459942 0.458286 0.46939 0.465756 0.455924 0.464113 0.461675 0.459374 0.473022 0.38766 0.375517 0.395022 0.375339 0.426985 0.472644 0.468749 0.469002 0.47423 0.470154 0.433315 0.442259 0.443313 0.450277 0.4432 0.476041 0.481767 0.494214 0.492344 0.478058 0.476501 0.479747 0.477172 0.49666 0.471814 0.457006 0.41068 0.416645 0.415598 0.41297 0.411487 0.467232 0.414724 0.380632 0.379221 0.420931 0.40034 0.40327 0.422114 0.431282 0.455924 0.464113 0.461675 0.459374 0.473022 0.427163 0.46278 0.471447 0.466225 0.466782
0.203386 0.480202 0.462866 1 0.541987 0.469528 0.373954 0.426174 0.406391 0.434077 0.451045 0.127363 0.104451 0.107524 0.0748034 0.100771 0.329696 0.304047 0.238509 0.329696 0.304047 0.413263 0.440619 0.443751 0.445266 0.426138 0.379258 0.417906 0.363311 0.417642 0.418095 0.355482 0.362912 0.379365 0.450049 0.456627 0.451928 0.45168 0.444185 0.464057 0.463986 0.461426 0.467302 0.469301 0.384881 0.369098 0.369114 0.358762 0.388489 0.445731 0.449789 0.454512 0.440144 0.465114 0.40541 0.409882 0.426915 0.428891 0.40875 0.443153 0.445789 0.431262 0.458104 0.444643 0.466427 0.452941 0.464727 0.458784 0.449206 0.425262 0.389493 0.402456 0.404445 0.403648 0.407909 0.451045 0.420008 0.388379 0.394283 0.399948 0.405832 0.455752 0.469335 0.432326 0.464057 0.463986 0.461426 0.467302 0.469301 0.421781 0.436175 0.446848 0.443273 0.438493
0.237365 0.487867 0.465091 0.544801 1 0.481707 0.394735 0.419031 0.385182 0.448737 0.488163 0.135112 0.113124 0.11415 0.0835284 0.112529 0.34244 0.321675 0.225387 0.34244 0.321675 0.430736 0.449563 0.419716 0.447042 0.426027 0.358842 0.397271 0.363244 0.447143 0.450462 0.372291 0.353109 0.400281 0.454975 0.457253 0.452011 0.456593 0.466096 0.478275 0.485132 0.47783 0.483189 0.489666 0.387449 0.371307 0.357727 0.379918 0.412715 0.456943 0.456494 0.453224 0.453664 0.466735 0.435755 0.449786 0.42674 0.443892 0.429402 0.458226 0.456665 0.458463 0.46674 0.460931 0.436033 0.443214 0.447268 0.45894 0.458621 0.420414 0.419574 0.410273 0.430698 0.420419 0.437549 0.488163 0.398848 0.384609 0.395019 0.400348 0.414413 0.42954 0.434628 0.425701 0.478275 0.485132 0.47783 0.483189 0.489666 0.427698 0.460357 0.470276 0.451604 0.467819
0.21398 0.686495 0.714561 0.456669 0.475195 1 0.417082 0.443417 0.397707 0.481905 0.47587 0.138963 0.0987237 0.101814 0.0776955 0.0808652 0.320705 0.299041 0.217864 0.320705 0.299041 0.46271 0.431372 0.458762 0.450448 0.439024 0.382947 0.40547 0.360659 0.468754 0.436855 0.402108 0.354909 0.406139 0.475538 0.481797 0.480861 0.478695 0.491552 0.46218 0.47924 0.48343 0.482453 0.481449 0.395405 0.375984 0.383133 0.366313 0.45415 0.486518 0.48711 0.487739 0.480416 0.481576 0.428178 0.442418 0.447226 0.439095 0.429998 0.489246 0.507675 0.485225 0.50026 0.497907 0.48359 0.48917 0.496107 0.492872 0.495334 0.459242 0.419168 0.42641 0.425837 0.41804 0.421686 0.47587 0.415721 0.39855 0.390811 0.43025 0.397519 0.42374 0.430979 0.442768 0.46218 0.47924 0.48343 0.482453 0.481449 0.431297 0.476775 0.478481 0.483425 0.486935
0.295157 0.465886 0.462737 0.444779 0.44042 0.486627 1 0.508205 0.531979 0.560167 0.535576 0.187898 0.188715 0.170005 0.149395 0.14012 0.359803 0.341959 0.255204 0.359803 0.341959 0.498538 0.486798 0.50866 0.494382 0.488191 0.409397 0.41119 0.354837 0.497196 0.462371 0.442949 0.39086 0.437846 0.52887 0.534047 0.524302 0.525248 0.531164 0.529026 0.521644 0.518501 0.519162 0.519039 0.453491 0.452422 0.472698 0.423702 0.483592 0.529059 0.529917 0.525359 0.527773 0.524199 0.448414 0.444344 0.44236 0.454052 0.461787 0.513064 0.514753 0.500643 0.52293 0.518785 0.543374 0.547215 0.532557 0.550212 0.54707 0.482559 0.4233 0.419951 0.437308 0.431095 0.424651 0.535576 0.447001 0.460019 0.427886 0.455528 0.416623 0.457967 0.45591 0.448956 0.529026 0.521644 0.518501 0.519162 0.519039 0.431191 0.541258 0.549158 0.54738 0.540075
0.246049 0.518136 0.505781 0.494928 0.477612 0.536312 0.487832 1 0.689941 0.638174 0.571183 0.132284 0.103025 0.107822 0.0969213 0.10097 0.386121 0.364276 0.243628 0.386121 0.364276 0.545433 0.54945 0.531161 0.570155 0.559413 0.448577 0.448634 0.447577 0.542142 0.523379 0.441673 0.399617 0.518207 0.590535 0.60233 0.599047 0.594986 0.602198 0.546046 0.591071 0.581636 0.581895 0.582126 0.516495 0.48067 0.507001 0.480633 0.522996 0.580719 0.586975 0.586488 0.569932 0.586632 0.481267 0.497287 0.492841 0.48425 0.464163 0.555339 0.557734 0.571163 0.557384 0.586356 0.575543 0.57118 0.563164 0.587778 0.583398 0.521361 0.497334 0.505435 0.511216 0.510593 0.49782 0.571183 0.492789 0.46796 0.48278 0.524637 0.459218 0.494454 0.509235 0.457903 0.546046 0.591071 0.581636 0.581895 0.582126 0.512327 0.570968 0.571215 0.575292 0.573185
0.300102 0.493301 0.497651 0.512044 0.469295 0.505294 0.535073 0.673399 1 0.579095 0.544711 0.156186 0.140276 0.126597 0.113122 0.10921 0.412715 0.372064 0.290234 0.412715 0.372064 0.508095 0.51289 0.522135 0.543336 0.528046 0.432524 0.439764 0.433309 0.490527 0.491206 0.428337 0.392545 0.48719 0.569687 0.58649 0.571651 0.575702 0.574987 0.537362 0.554182 0.543375 0.544018 0.548205 0.484611 0.480767 0.483142 0.450281 0.500286 0.544756 0.54811 0.550562 0.544821 0.55965 0.439526 0.442404 0.448271 0.450751 0.452107 0.526471 0.522947 0.522565 0.533077 0.533333 0.558464 0.557815 0.553374 0.563874 0.551328 0.501839 0.465462 0.462016 0.473353 0.46818 0.47022 0.544711 0.45516 0.450477 0.443846 0.48895 0.458265 0.462457 0.478176 0.444382 0.537362 0.554182 0.543375 0.544018 0.548205 0.463648 0.557901 0.560166 0.562384 0.543994
0.228062 0.463512 0.46296 0.426494 0.440458 0.478461 0.521562 0.561822 0.502481 1 0.589211 0.119827 0.0862651 0.0910275 0.0817416 0.0781426 0.322892 0.291001 0.199648 0.322892 0.291001 0.563335 0.549921 0.592836 0.595625 0.559482 0.371725 0.386618 0.35807 0.505962 0.482066 0.387117 0.363124 0.449906 0.688685 0.694219 0.694083 0.696122 0.701197 0.584355 0.604756 0.595905 0.592133 0.594179 0.565297 0.453148 0.487903 0.426492 0.499138 0.659663 0.656192 0.648918 0.657748 0.64728 0.466438 0.463189 0.441649 0.450202 0.457498 0.608146 0.610372 0.589623 0.619831 0.622005 0.65181 0.637376 0.659343 0.651329 0.678691 0.534733 0.421423 0.419274 0.42413 0.431188 0.422259 0.589211 0.470152 0.476982 0.440825 0.518293 0.440521 0.430448 0.431844 0.429622 0.584355 0.604756 0.595905 0.592133 0.594179 0.465471 0.639822 0.637071 0.627335 0.630179
