target   number_of_models  max_max_top_1_to_1  model_max_max_top_1_to_1  max_max_top_1_to_10  model_max_max_top_1_to_10  max_mean_top_1_to_5  model_max_mean_top_1_to_5  max_complete  model_max_complete  same_sel
C1901    110               0.715               C1901TS156_1              0.715                C1901TS156_1               0.677                C1901TS156_1               0.38          C1901TS131_3        1
C1901d1  63                0.813               C1901d1TS273_1            0.813                C1901d1TS273_1             0.6952               C1901d1TS273_1             0.357         C1901d1TS273_2      1
C1901d2  61                0.56                C1901d2TS210_2            0.56                 C1901d2TS210_2             0.5448               C1901d2TS438_3             0.51          C1901d2TS438_1      1
C1901d3  75                0.726               C1901d3TS273_1            0.726                C1901d3TS273_1             0.6942               C1901d3TS273_3             0.362         C1901d3TS273_5      1
C1901x2  26                0.811               C1901x2TS215_3            0.811                C1901x2TS215_3             0.5856               C1901x2TS215_3             0.349         C1901x2TS123_3      1
C1902    123               0.619               C1902TS156_1              0.619                C1902TS156_1               0.5468               C1902TS156_1               0.416         C1902TS438_2        1
C1902d1  57                0.637               C1902d1TS273_1            0.637                C1902d1TS273_1             0.553                C1902d1TS273_1             0.453         C1902d1TS438_4      1
C1902d2  63                0.4616              C1902d2TS270_1            0.4634               C1902d2TS270_1             0.43332              C1902d2TS270_1             0.3668        C1902d2TS131_1      1
C1902d3  57                0.721               C1902d3TS131_1            0.731                C1902d3TS131_1             0.6892               C1902d3TS131_1             0.508         C1902d3TS258_5      1
C1902x2  36                0.48                C1902x2TS215_3            0.48                 C1902x2TS215_3             0.4432               C1902x2TS215_3             0.383         C1902x2TS389_4      1
C1903    124               0.451               C1903TS156_2              0.472                C1903TS156_2               0.4626               C1903TS156_2               0.431         C1903TS414_5        1
C1903d1  63                0.52                C1903d1TS273_1            0.52                 C1903d1TS273_1             0.454                C1903d1TS273_1             0.425         C1903d1TS405_4      1
C1903d2  62                0.506               C1903d2TS345_4            0.546                C1903d2TS240_1             0.505                C1903d2TS228_5             0.463         C1903d2TS240_5      0
C1903x2  39                0.448               C1903x2TS228_3            0.499                C1903x2TS131_3             0.4522               C1903x2TS131_4             0.371         C1903x2TS131_1      0
C1904    117               0.603               C1904TS401_1              0.603                C1904TS401_1               0.5494               C1904TS156_1               0.401         C1904TS414_4        1
C1904d1  74                0.444               C1904d1TS210_1            0.482                C1904d1TS131_2             0.46                 C1904d1TS131_2             0.406         C1904d1TS247_5      0
C1904d2  55                0.526               C1904d2TS210_5            0.526                C1904d2TS210_5             0.5092               C1904d2TS210_5             0.425         C1904d2TS438_1      1
C1904d3  48                0.886               C1904d3TS273_1            0.886                C1904d3TS273_1             0.6754               C1904d3TS273_1             0.408         C1904d3TS131_1      1
C1904x2  26                0.468               C1904x2TS215_1            0.468                C1904x2TS215_1             0.432                C1904x2TS215_1             0.343         C1904x2TS369_1      1
C1905    124               0.434               C1905TS369_4              0.484                C1905TS131_3               0.4368               C1905TS369_1               0.375         C1905TS369_2        0
C1905d1  72                0.491               C1905d1TS210_2            0.5                  C1905d1TS405_5             0.4848               C1905d1TS405_5             0.404         C1905d1TS228_5      0
C1905d2  61                0.45                C1905d2TS210_1            0.45                 C1905d2TS210_1             0.406                C1905d2TS210_1             0.347         C1905d2TS240_3      1
C1905x2  33                0.435               C1905x2TS215_1            0.456                C1905x2TS215_1             0.4168               C1905x2TS215_1             0.316         C1905x2TS067_3      1
C1906    128               0.615               C1906TS156_1              0.615                C1906TS156_1               0.5916               C1906TS156_1               0.449         C1906TS438_1        1
C1906d1  66                0.62                C1906d1TS131_1            0.62                 C1906d1TS131_1             0.5876               C1906d1TS131_1             0.488         C1906d1TS228_5      1
C1906d2  62                0.598               C1906d2TS273_1            0.625                C1906d2TS273_1             0.6074               C1906d2TS273_1             0.42          C1906d2TS258_1      1
C1906x2  33                0.637               C1906x2TS215_5            0.637                C1906x2TS215_5             0.552                C1906x2TS215_5             0.379         C1906x2TS389_1      1
C1907    133               0.585               C1907TS414_1              0.606                C1907TS131_1               0.5952               C1907TS131_1               0.533         C1907TS102_2        0
C1908    152               0.43                C1908TS152_1              0.451                C1908TS131_5               0.4338               C1908TS131_2               0.387         C1908TS389_1        0
C1908x2  58                0.465               C1908x2TS389_1            0.465                C1908x2TS389_1             0.4588               C1908x2TS389_1             0.383         C1908x2TS389_1      1
C1909    143               0.448               C1909TS210_3              0.514                C1909TS087_2               0.4888               C1909TS087_2               0.457         C1909TS347_1        0
C1910    98                0.687               C1910TS131_1              0.687                C1910TS131_1               0.6578               C1910TS131_1               0.599         C1910TS349_1        1
