target   total_number_of_models  max_consensus_cadscore  max_consensus_lddt  number_of_selected_models  selected_models                               max_total_consensus_cadscore  max_total_consensus_lddt  reliability
C1901    110                     0.715                   0.706               1                          C1901TS156_1                                  0.38                          0.311                     high
C1901d1  63                      0.813                   0.796               1                          C1901d1TS273_1                                0.357                         0.297                     high
C1901d2  61                      0.56                    0.531               1                          C1901d2TS438_3                                0.51                          0.488                     borderline
C1901d3  75                      0.726                   0.747               2                          C1901d3TS273_1,C1901d3TS273_3                 0.362                         0.323                     high
C1901x2  26                      0.811                   0.791               1                          C1901x2TS215_3                                0.349                         0.273                     high
C1902    123                     0.619                   0.572               1                          C1902TS156_1                                  0.416                         0.355                     borderline
C1902d1  57                      0.637                   0.614               1                          C1902d1TS273_1                                0.453                         0.407                     high
C1902d2  63                      0.4634                  0.4404              1                          C1902d2TS270_1                                0.3668                        0.3106                    low
C1902d3  57                      0.731                   0.739               1                          C1902d3TS131_1                                0.508                         0.497                     high
C1902x2  36                      0.48                    0.426               1                          C1902x2TS215_3                                0.383                         0.321                     low
C1903    124                     0.472                   0.427               1                          C1903TS156_2                                  0.431                         0.358                     low
C1903d1  63                      0.52                    0.476               1                          C1903d1TS273_1                                0.425                         0.351                     low
C1903d2  62                      0.546                   0.534               3                          C1903d2TS228_5,C1903d2TS240_1,C1903d2TS345_4  0.463                         0.449                     low
C1903x2  39                      0.499                   0.452               2                          C1903x2TS131_4,C1903x2TS228_3                 0.371                         0.317                     low
C1904    117                     0.603                   0.594               2                          C1904TS156_1,C1904TS401_1                     0.401                         0.3274                    borderline
C1904d1  74                      0.482                   0.452               2                          C1904d1TS131_2,C1904d1TS210_1                 0.406                         0.346                     low
C1904d2  55                      0.526                   0.487               1                          C1904d2TS210_5                                0.425                         0.371                     low
C1904d3  48                      0.886                   0.874               1                          C1904d3TS273_1                                0.408                         0.346                     high
C1904x2  26                      0.468                   0.406               1                          C1904x2TS215_1                                0.343                         0.28                      low
C1905    124                     0.484                   0.457               2                          C1905TS131_3,C1905TS369_1                     0.375                         0.321                     low
C1905d1  72                      0.5                     0.494               1                          C1905d1TS405_5                                0.404                         0.378                     low
C1905d2  61                      0.45                    0.425               1                          C1905d2TS210_1                                0.347                         0.306                     low
C1905x2  33                      0.456                   0.414               1                          C1905x2TS215_1                                0.316                         0.266                     low
C1906    128                     0.615                   0.6                 1                          C1906TS156_1                                  0.449                         0.421                     high
C1906d1  66                      0.62                    0.609               1                          C1906d1TS131_1                                0.488                         0.482                     high
C1906d2  62                      0.625                   0.645               1                          C1906d2TS273_1                                0.42                          0.391                     high
C1906x2  33                      0.637                   0.623               1                          C1906x2TS215_5                                0.379                         0.356                     high
C1907    133                     0.606                   0.632               1                          C1907TS131_1                                  0.533                         0.559                     high
C1908    152                     0.451                   0.442               2                          C1908TS131_5,C1908TS152_1                     0.387                         0.336                     low
C1908x2  58                      0.465                   0.436               1                          C1908x2TS389_1                                0.383                         0.35                      low
C1909    143                     0.514                   0.534               2                          C1909TS087_2,C1909TS210_3                     0.457                         0.448                     low
C1910    98                      0.687                   0.762               1                          C1910TS131_1                                  0.599                         0.687                     high
