C1902d1TS003_1 C1902d1TS044_1 C1902d1TS049_1 C1902d1TS049_2 C1902d1TS049_3 C1902d1TS049_4 C1902d1TS049_5 C1902d1TS067_1 C1902d1TS067_2 C1902d1TS067_3 C1902d1TS067_4 C1902d1TS067_5 C1902d1TS103_1 C1902d1TS123_1 C1902d1TS123_2 C1902d1TS123_3 C1902d1TS123_4 C1902d1TS123_5 C1902d1TS131_1 C1902d1TS131_2 C1902d1TS131_3 C1902d1TS131_4 C1902d1TS131_5 C1902d1TS210_1 C1902d1TS210_2 C1902d1TS210_3 C1902d1TS210_4 C1902d1TS210_5 C1902d1TS215_1 C1902d1TS215_2 C1902d1TS215_3 C1902d1TS215_4 C1902d1TS215_5 C1902d1TS228_1 C1902d1TS228_2 C1902d1TS228_3 C1902d1TS228_4 C1902d1TS228_5 C1902d1TS240_1 C1902d1TS240_2 C1902d1TS240_3 C1902d1TS240_4 C1902d1TS240_5 C1902d1TS258_1 C1902d1TS258_2 C1902d1TS258_3 C1902d1TS258_4 C1902d1TS258_5 C1902d1TS273_1 C1902d1TS273_2 C1902d1TS273_3 C1902d1TS273_4 C1902d1TS273_5 C1902d1TS301_1 C1902d1TS347_1 C1902d1TS347_2 C1902d1TS347_3 C1902d1TS405_1 C1902d1TS405_2 C1902d1TS405_3 C1902d1TS405_4 C1902d1TS405_5 C1902d1TS438_1 C1902d1TS438_2 C1902d1TS438_3 C1902d1TS438_4 C1902d1TS438_5
1 0.2857 0.0690 0.0664 0.0796 0.0769 0.0635 0.2574 0.2605 0.2640 0.2358 0.2574 0.2228 0.2836 0.2837 0.2668 0.2641 0.2710 0.3017 0.2993 0.2963 0.2978 0.2986 0.2405 0.2332 0.2396 0.2514 0.2622 0.2736 0.2715 0.2853 0.2817 0.2633 0.2737 0.2780 0.2770 0.2763 0.2592 0.2751 0.2769 0.2777 0.2786 0.2811 0.2700 0.2660 0.2627 0.2713 0.2722 0.2806 0.2998 0.2725 0.2965 0.2727 0.2857 0.2922 0.2934 0.2856 0.2405 0.2332 0.2396 0.2380 0.2354 0.2955 0.1607 0.2969 0.2972 0.2968
0.2399 1 0.0521 0.0479 0.0615 0.0646 0.0462 0.2672 0.2792 0.2555 0.3038 0.2672 0.2740 0.3396 0.3749 0.3319 0.3372 0.3574 0.4777 0.4838 0.4753 0.4748 0.4808 0.3671 0.3545 0.3533 0.4196 0.4419 0.3316 0.3611 0.4129 0.3713 0.3333 0.4259 0.4303 0.4283 0.4245 0.4200 0.4357 0.4556 0.4418 0.4424 0.4701 0.4379 0.4248 0.4294 0.4491 0.4478 0.4267 0.4513 0.3945 0.4789 0.3637 1.0000 0.3839 0.3723 0.3859 0.3671 0.3545 0.3533 0.3494 0.3731 0.5193 0.2395 0.5153 0.5192 0.5173
0.3912 0.3705 1 0.1470 0.1651 0.1542 0.1449 0.3522 0.3490 0.3545 0.3624 0.3522 0.2706 0.3383 0.3381 0.3487 0.3460 0.3510 0.3521 0.3541 0.3565 0.3508 0.3506 0.3482 0.3414 0.3424 0.3281 0.3465 0.3682 0.3715 0.3490 0.3574 0.3681 0.3608 0.3646 0.3631 0.3681 0.3367 0.3550 0.3541 0.3547 0.3557 0.3532 0.3554 0.3619 0.3615 0.3667 0.3692 0.3632 0.3601 0.3557 0.3529 0.3631 0.3705 0.3603 0.3642 0.3537 0.3482 0.3414 0.3424 0.3461 0.3437 0.3480 0.1826 0.3463 0.3512 0.3498
0.3582 0.3173 0.1254 1 0.1610 0.1586 0.1503 0.3369 0.3275 0.3208 0.3461 0.3369 0.2642 0.3133 0.3011 0.3146 0.3141 0.3143 0.3125 0.3099 0.3131 0.3176 0.3125 0.3139 0.3091 0.3116 0.2920 0.3038 0.3270 0.3119 0.3127 0.3199 0.3301 0.3141 0.3159 0.3150 0.3176 0.2910 0.3151 0.3133 0.3147 0.3149 0.3154 0.3100 0.3195 0.3138 0.3157 0.3142 0.3148 0.3140 0.3066 0.3074 0.3182 0.3173 0.3263 0.3121 0.3131 0.3139 0.3091 0.3116 0.3123 0.3125 0.3099 0.1638 0.3077 0.3119 0.3117
0.3814 0.3613 0.1318 0.1526 1 0.1663 0.1546 0.3295 0.3339 0.3450 0.3403 0.3295 0.2731 0.3537 0.3397 0.3577 0.3547 0.3541 0.3631 0.3567 0.3535 0.3584 0.3578 0.3400 0.3365 0.3372 0.3168 0.3335 0.3590 0.3675 0.3577 0.3605 0.3399 0.3354 0.3410 0.3397 0.3393 0.3203 0.3298 0.3361 0.3352 0.3322 0.3372 0.3300 0.3366 0.3350 0.3379 0.3399 0.3402 0.3603 0.3411 0.3587 0.3556 0.3613 0.3394 0.3550 0.3633 0.3400 0.3365 0.3372 0.3355 0.3393 0.3540 0.1919 0.3551 0.3565 0.3541
0.2868 0.2888 0.0898 0.1082 0.1282 1 0.1033 0.2707 0.2934 0.2683 0.2726 0.2707 0.2208 0.2801 0.2715 0.3006 0.2953 0.2792 0.2874 0.2858 0.2836 0.2857 0.2835 0.2809 0.2785 0.2808 0.2751 0.2843 0.2783 0.2899 0.2741 0.2940 0.2730 0.2779 0.2809 0.2790 0.2805 0.2589 0.2660 0.2749 0.2743 0.2721 0.2721 0.2870 0.2876 0.2994 0.2972 0.2938 0.2959 0.2811 0.2653 0.2751 0.2657 0.2888 0.2835 0.2680 0.2708 0.2809 0.2785 0.2808 0.2794 0.2808 0.2796 0.1470 0.2790 0.2807 0.2795
0.4111 0.3807 0.1516 0.1825 0.1949 0.1846 1 0.3868 0.3804 0.3914 0.3891 0.3868 0.3149 0.3669 0.3592 0.3808 0.3821 0.3786 0.3765 0.3785 0.3744 0.3824 0.3802 0.3768 0.3676 0.3715 0.3532 0.3720 0.3892 0.3838 0.3761 0.3710 0.3904 0.3806 0.3857 0.3833 0.3837 0.3564 0.3773 0.3765 0.3781 0.3766 0.3751 0.3789 0.3823 0.3784 0.3792 0.3911 0.3710 0.3892 0.3801 0.3781 0.3858 0.3807 0.3807 0.3721 0.3687 0.3768 0.3676 0.3715 0.3767 0.3707 0.3718 0.1912 0.3660 0.3752 0.3708
0.2728 0.3388 0.0657 0.0639 0.0739 0.0781 0.0616 1 0.3161 0.2924 0.3833 1.0000 0.2868 0.3424 0.3392 0.3303 0.3325 0.3184 0.3599 0.3622 0.3601 0.3513 0.3605 0.3419 0.3388 0.3399 0.3261 0.3514 0.3131 0.3271 0.3151 0.3309 0.3298 0.4021 0.4052 0.4024 0.4000 0.3592 0.3337 0.3380 0.3421 0.3287 0.3522 0.3488 0.3353 0.3439 0.3456 0.3406 0.3548 0.3611 0.3536 0.3486 0.3161 0.3388 0.3885 0.3163 0.3199 0.3419 0.3388 0.3399 0.3412 0.3404 0.3511 0.1927 0.3454 0.3442 0.3499
0.2548 0.3251 0.0581 0.0580 0.0679 0.0744 0.0537 0.2899 1 0.3040 0.2696 0.2899 0.2580 0.3045 0.2916 0.2958 0.2982 0.2981 0.3267 0.3254 0.3258 0.3274 0.3264 0.3234 0.3151 0.3248 0.3245 0.3272 0.3183 0.3169 0.2987 0.2880 0.2901 0.3190 0.3209 0.3192 0.3204 0.3100 0.3140 0.3120 0.3144 0.3133 0.3129 0.3340 0.3348 0.3316 0.3330 0.3356 0.3442 0.3486 0.3064 0.3304 0.3029 0.3251 0.3121 0.3067 0.3001 0.3234 0.3151 0.3248 0.3170 0.3175 0.3387 0.1815 0.3370 0.3386 0.3387
0.3700 0.4297 0.0879 0.0813 0.1013 0.1077 0.0826 0.3918 0.4412 1 0.3612 0.3918 0.3297 0.4045 0.3851 0.3944 0.3956 0.3920 0.4366 0.4288 0.4283 0.4344 0.4286 0.4104 0.4063 0.4064 0.4028 0.4111 0.3562 0.3853 0.4069 0.4000 0.4040 0.4172 0.4214 0.4187 0.4200 0.4031 0.4146 0.4245 0.4243 0.4213 0.4227 0.4127 0.3987 0.4011 0.4060 0.4082 0.4315 0.4250 0.4121 0.4374 0.3969 0.4297 0.4338 0.4134 0.4187 0.4104 0.4063 0.4064 0.3989 0.4035 0.4233 0.2225 0.4194 0.4187 0.4221
0.2012 0.3082 0.0564 0.0574 0.0619 0.0636 0.0500 0.3127 0.2366 0.2177 1 0.3127 0.1968 0.2844 0.2925 0.2862 0.2867 0.2734 0.3136 0.3154 0.3130 0.3088 0.3161 0.2885 0.2860 0.2834 0.2908 0.3099 0.2615 0.3049 0.2923 0.2778 0.2595 0.3059 0.3101 0.3084 0.3088 0.2874 0.2891 0.2925 0.2937 0.2931 0.2845 0.3333 0.3228 0.3510 0.3315 0.3385 0.3380 0.3381 0.3227 0.3032 0.2828 0.3082 0.2956 0.2989 0.3091 0.2885 0.2860 0.2834 0.2909 0.2919 0.3083 0.1589 0.3031 0.3042 0.3081
