C1904d3TS003_1 C1904d3TS049_1 C1904d3TS049_2 C1904d3TS049_3 C1904d3TS049_4 C1904d3TS049_5 C1904d3TS067_1 C1904d3TS067_2 C1904d3TS067_3 C1904d3TS067_4 C1904d3TS067_5 C1904d3TS103_1 C1904d3TS121_1 C1904d3TS121_2 C1904d3TS123_1 C1904d3TS123_2 C1904d3TS123_3 C1904d3TS123_4 C1904d3TS123_5 C1904d3TS131_1 C1904d3TS131_2 C1904d3TS131_3 C1904d3TS131_4 C1904d3TS131_5 C1904d3TS210_1 C1904d3TS210_2 C1904d3TS210_3 C1904d3TS210_4 C1904d3TS210_5 C1904d3TS215_1 C1904d3TS215_2 C1904d3TS215_3 C1904d3TS215_4 C1904d3TS215_5 C1904d3TS228_1 C1904d3TS228_2 C1904d3TS228_3 C1904d3TS228_4 C1904d3TS228_5 C1904d3TS240_1 C1904d3TS240_2 C1904d3TS240_3 C1904d3TS240_4 C1904d3TS240_5 C1904d3TS258_1 C1904d3TS258_2 C1904d3TS258_3 C1904d3TS258_4 C1904d3TS258_5 C1904d3TS273_1 C1904d3TS273_2 C1904d3TS273_3 C1904d3TS273_4 C1904d3TS273_5 C1904d3TS347_1 C1904d3TS347_2 C1904d3TS347_3 C1904d3TS405_1 C1904d3TS405_2 C1904d3TS405_3 C1904d3TS405_4 C1904d3TS405_5 C1904d3TS438_1 C1904d3TS438_2 C1904d3TS438_3 C1904d3TS438_4 C1904d3TS438_5
1 0.203591 0.211763 0.203239 0.194294 0.196491 0.303769 0.303769 0.300992 0.300992 0.303769 0.273322 0.298196 0.293544 0.334131 0.327669 0.31093 0.31093 0.313302 0.35342 0.352349 0.355738 0.356821 0.359436 0.340116 0.336737 0.337042 0.33859 0.337458 0.343751 0.326621 0.339283 0.326624 0.346583 0.352679 0.353422 0.354567 0.345547 0.349609 0.346704 0.351582 0.357687 0.360209 0.35754 0.331283 0.331399 0.323354 0.323393 0.331159 0.362929 0.353858 0.364973 0.368562 0.370794 0.329254 0.326803 0.325356 0.337042 0.33859 0.337458 0.31227 0.322334 0.349121 0.347775 0.349094 0.348472 0.349133
0.439528 1 0.503281 0.504071 0.531788 0.528115 0.340542 0.340542 0.339646 0.339646 0.340542 0.326147 0.333973 0.32856 0.386473 0.382981 0.368049 0.368049 0.355924 0.35698 0.35929 0.357599 0.359597 0.35993 0.336805 0.335256 0.348903 0.351106 0.335804 0.368713 0.34021 0.359599 0.345539 0.35916 0.354519 0.355343 0.35712 0.353508 0.336906 0.36415 0.373265 0.369301 0.368166 0.375481 0.32979 0.326664 0.333371 0.335118 0.327176 0.35608 0.351366 0.363091 0.360722 0.362658 0.367226 0.370868 0.373732 0.348903 0.351106 0.335804 0.312187 0.329196 0.337295 0.340148 0.334128 0.337558 0.340321
0.414168 0.455853 1 0.499178 0.507883 0.49743 0.312642 0.312642 0.314969 0.314969 0.312642 0.308795 0.314698 0.31185 0.366239 0.352098 0.348523 0.348523 0.339773 0.329475 0.334322 0.334832 0.335772 0.340385 0.324976 0.322469 0.323243 0.330543 0.313468 0.343249 0.325009 0.335844 0.329078 0.338238 0.341405 0.340686 0.340714 0.342141 0.318449 0.344585 0.346924 0.342062 0.335136 0.341435 0.310981 0.308413 0.311488 0.309162 0.307138 0.33297 0.327924 0.343985 0.339286 0.33675 0.34458 0.344598 0.343921 0.323243 0.330543 0.313468 0.291509 0.311704 0.317179 0.317472 0.316081 0.318096 0.322842
0.414156 0.468838 0.515427 1 0.50071 0.520564 0.321046 0.321046 0.323243 0.323243 0.321046 0.311513 0.312639 0.309305 0.36408 0.354658 0.338934 0.338934 0.342625 0.349092 0.34442 0.337006 0.350262 0.34671 0.328514 0.324271 0.334013 0.339858 0.321045 0.350179 0.334108 0.341382 0.340216 0.350243 0.347904 0.347356 0.347306 0.345408 0.322225 0.348022 0.357061 0.350627 0.35121 0.353324 0.322559 0.32486 0.321221 0.325471 0.31688 0.342077 0.339276 0.348571 0.343061 0.34157 0.355296 0.361499 0.336902 0.334013 0.339858 0.321045 0.304557 0.311146 0.328612 0.334082 0.331188 0.332411 0.336462
0.449509 0.546666 0.582104 0.5546 1 0.588609 0.341062 0.341062 0.335566 0.335566 0.341062 0.328406 0.33923 0.334982 0.39137 0.379745 0.368632 0.368632 0.361637 0.358582 0.364863 0.35958 0.366626 0.370271 0.348393 0.336582 0.34996 0.355594 0.335196 0.365192 0.345162 0.355649 0.357426 0.367604 0.357997 0.358008 0.358751 0.355956 0.331182 0.362555 0.373191 0.368965 0.367272 0.374692 0.338297 0.333303 0.333129 0.34047 0.328528 0.357207 0.353775 0.36479 0.363502 0.362447 0.379774 0.377977 0.374571 0.34996 0.355594 0.335196 0.319303 0.334409 0.343075 0.343354 0.340726 0.34336 0.346151
0.427248 0.521295 0.529676 0.52589 0.546436 1 0.323756 0.323756 0.3251 0.3251 0.323756 0.323721 0.332499 0.327333 0.379465 0.362031 0.366726 0.366726 0.354192 0.344293 0.346885 0.339655 0.345715 0.34995 0.329316 0.326071 0.334301 0.345031 0.325219 0.352423 0.332167 0.337361 0.340923 0.352195 0.344644 0.344472 0.343692 0.341692 0.323192 0.34282 0.353035 0.349371 0.350723 0.352139 0.327111 0.322196 0.318194 0.327608 0.318202 0.334312 0.330661 0.34525 0.340448 0.339609 0.365006 0.353586 0.356612 0.334301 0.345031 0.325219 0.296925 0.317077 0.326817 0.331366 0.32776 0.330274 0.334985
0.214538 0.108093 0.116678 0.10698 0.104681 0.102286 1 1 0.774146 0.774146 1 0.22033 0.234622 0.233607 0.253832 0.263 0.247392 0.247392 0.245851 0.275124 0.273596 0.273204 0.272044 0.264454 0.266274 0.264692 0.258641 0.258753 0.255865 0.263484 0.269091 0.262903 0.255736 0.269272 0.267542 0.267547 0.268974 0.265804 0.276197 0.282133 0.281794 0.284279 0.28425 0.286319 0.257029 0.260738 0.267037 0.257526 0.259631 0.274 0.272417 0.279127 0.278134 0.279902 0.245583 0.263043 0.277312 0.258641 0.258753 0.255865 0.252541 0.247174 0.272642 0.270045 0.270044 0.270531 0.264957
0.214538 0.108093 0.116678 0.10698 0.104681 0.102286 1 1 0.774146 0.774146 1 0.22033 0.234622 0.233607 0.253832 0.263 0.247392 0.247392 0.245851 0.275124 0.273596 0.273204 0.272044 0.264454 0.266274 0.264692 0.258641 0.258753 0.255865 0.263484 0.269091 0.262903 0.255736 0.269272 0.267542 0.267547 0.268974 0.265804 0.276197 0.282133 0.281794 0.284279 0.28425 0.286319 0.257029 0.260738 0.267037 0.257526 0.259631 0.274 0.272417 0.279127 0.278134 0.279902 0.245583 0.263043 0.277312 0.258641 0.258753 0.255865 0.252541 0.247174 0.272642 0.270045 0.270044 0.270531 0.264957
0.213736 0.10533 0.118789 0.111304 0.100031 0.106163 0.776728 0.776728 1 1 0.776728 0.219486 0.238757 0.237279 0.25303 0.267453 0.243636 0.243636 0.25124 0.274245 0.276176 0.271856 0.272929 0.269875 0.265873 0.267737 0.266459 0.265817 0.261718 0.261215 0.269617 0.266293 0.254792 0.267924 0.267214 0.267621 0.268491 0.267561 0.274945 0.286086 0.283451 0.282946 0.284935 0.287878 0.262308 0.261835 0.273686 0.262441 0.265927 0.278572 0.278867 0.27961 0.279273 0.283719 0.248779 0.264925 0.281214 0.266459 0.265817 0.261718 0.249113 0.250209 0.272846 0.269503 0.270348 0.270785 0.264874
0.213736 0.10533 0.118789 0.111304 0.100031 0.106163 0.776728 0.776728 1 1 0.776728 0.219486 0.238757 0.237279 0.25303 0.267453 0.243636 0.243636 0.25124 0.274245 0.276176 0.271856 0.272929 0.269875 0.265873 0.267737 0.266459 0.265817 0.261718 0.261215 0.269617 0.266293 0.254792 0.267924 0.267214 0.267621 0.268491 0.267561 0.274945 0.286086 0.283451 0.282946 0.284935 0.287878 0.262308 0.261835 0.273686 0.262441 0.265927 0.278572 0.278867 0.27961 0.279273 0.283719 0.248779 0.264925 0.281214 0.266459 0.265817 0.261718 0.249113 0.250209 0.272846 0.269503 0.270348 0.270785 0.264874
