C1904x2TS003_1 C1904x2TS049_1 C1904x2TS049_2 C1904x2TS049_3 C1904x2TS049_4 C1904x2TS049_5 C1904x2TS067_1 C1904x2TS067_2 C1904x2TS067_3 C1904x2TS067_4 C1904x2TS067_5 C1904x2TS123_1 C1904x2TS123_2 C1904x2TS123_3 C1904x2TS123_4 C1904x2TS123_5 C1904x2TS215_1 C1904x2TS215_2 C1904x2TS215_3 C1904x2TS215_4 C1904x2TS215_5 C1904x2TS228_1 C1904x2TS228_2 C1904x2TS369_1 C1904x2TS389_1 C1904x2TS389_2 C1904x2TS389_3 C1904x2TS389_4 C1904x2TS389_5
1 0.219206 0.192087 0.18755 0.210068 0.195883 0.272212 0.293881 0.293523 0.297601 0.298296 0.312508 0.312508 0.312508 0.312508 0.306657 0.31185 0.306873 0.305896 0.308063 0.309591 0.320658 0.322379 0.336998 0.319186 0.324908 0.258225 0.303622 0.324509
0.391143 1 0.434938 0.435127 0.415048 0.421367 0.308343 0.329416 0.330216 0.331008 0.337271 0.330106 0.330106 0.330106 0.330106 0.336314 0.307053 0.310455 0.315944 0.316875 0.315791 0.325336 0.311587 0.337269 0.329302 0.332331 0.265575 0.311925 0.322443
0.411351 0.46743 1 0.493315 0.49646 0.499895 0.314054 0.342062 0.350602 0.345139 0.347741 0.347039 0.347039 0.347039 0.347039 0.341507 0.31372 0.316816 0.318268 0.315033 0.325264 0.336465 0.312974 0.336345 0.330847 0.335648 0.266783 0.308672 0.320755
0.381374 0.447731 0.476803 1 0.458422 0.467956 0.293951 0.318224 0.319852 0.320127 0.323588 0.322148 0.322148 0.322148 0.322148 0.321199 0.300581 0.300821 0.304049 0.302231 0.308582 0.312755 0.297392 0.319193 0.316819 0.31836 0.247844 0.291226 0.305886
0.377806 0.40457 0.447594 0.42702 1 0.428086 0.291974 0.317023 0.321032 0.318991 0.321239 0.322909 0.322909 0.322909 0.322909 0.321724 0.30109 0.296397 0.304449 0.295819 0.303303 0.311618 0.300397 0.318574 0.314157 0.320448 0.251706 0.294769 0.306604
0.399991 0.453867 0.497387 0.483497 0.476948 1 0.309739 0.331024 0.329025 0.32861 0.333166 0.336504 0.336504 0.336504 0.336504 0.346577 0.310446 0.314516 0.312122 0.315241 0.319974 0.326431 0.315356 0.330519 0.331933 0.336433 0.259065 0.304942 0.319317
0.207265 0.130124 0.109948 0.113808 0.119772 0.116878 1 0.758692 0.487872 0.501958 0.608836 0.269585 0.269585 0.269585 0.269585 0.274441 0.248679 0.257993 0.246191 0.250773 0.253738 0.263575 0.266327 0.273129 0.26917 0.266825 0.217264 0.251397 0.269315
0.242396 0.148813 0.134721 0.128801 0.140533 0.135202 0.794321 1 0.613714 0.578227 0.693439 0.306688 0.306688 0.306688 0.306688 0.311158 0.278429 0.288927 0.288364 0.281046 0.284807 0.296089 0.297339 0.299039 0.304689 0.299593 0.245413 0.281093 0.298505
0.245157 0.148373 0.1364 0.126102 0.140571 0.130307 0.51932 0.614796 1 0.694494 0.732395 0.310631 0.310631 0.310631 0.310631 0.312666 0.289374 0.302644 0.304737 0.292448 0.292514 0.305417 0.312265 0.313881 0.313208 0.307081 0.251372 0.293149 0.312007
0.243107 0.152634 0.134071 0.125426 0.142815 0.125369 0.526997 0.570379 0.688517 1 0.627484 0.303031 0.303031 0.303031 0.303031 0.304702 0.277522 0.291265 0.291567 0.279881 0.287964 0.293429 0.308013 0.312128 0.303755 0.298363 0.248505 0.288193 0.30163
0.251642 0.15607 0.132305 0.129407 0.14091 0.131693 0.647043 0.697799 0.737477 0.640525 1 0.306467 0.306467 0.306467 0.306467 0.319142 0.297059 0.302304 0.301531 0.294799 0.295387 0.309624 0.318491 0.324794 0.318015 0.315974 0.257729 0.303503 0.311877
0.234847 0.136751 0.122127 0.116114 0.138995 0.124358 0.26105 0.279215 0.283608 0.283109 0.276089 1 1 1 1 0.499095 0.290889 0.30179 0.294956 0.295882 0.292821 0.301502 0.304854 0.318704 0.309369 0.303119 0.2466 0.291446 0.314446
0.234847 0.136751 0.122127 0.116114 0.138995 0.124358 0.26105 0.279215 0.283608 0.283109 0.276089 1 1 1 1 0.499095 0.290889 0.30179 0.294956 0.295882 0.292821 0.301502 0.304854 0.318704 0.309369 0.303119 0.2466 0.291446 0.314446
0.234847 0.136751 0.122127 0.116114 0.138995 0.124358 0.26105 0.279215 0.283608 0.283109 0.276089 1 1 1 1 0.499095 0.290889 0.30179 0.294956 0.295882 0.292821 0.301502 0.304854 0.318704 0.309369 0.303119 0.2466 0.291446 0.314446
0.234847 0.136751 0.122127 0.116114 0.138995 0.124358 0.26105 0.279215 0.283608 0.283109 0.276089 1 1 1 1 0.499095 0.290889 0.30179 0.294956 0.295882 0.292821 0.301502 0.304854 0.318704 0.309369 0.303119 0.2466 0.291446 0.314446
0.229589 0.145076 0.116187 0.115291 0.136921 0.124109 0.266426 0.283287 0.283607 0.284733 0.285946 0.499192 0.499192 0.499192 0.499192 1 0.294287 0.294097 0.286527 0.295855 0.295411 0.303932 0.306473 0.320113 0.301814 0.307089 0.254551 0.29516 0.31667
0.198365 0.102084 0.0828291 0.0817088 0.0966071 0.0828162 0.20753 0.218499 0.226938 0.222331 0.228037 0.251088 0.251088 0.251088 0.251088 0.256285 1 0.331657 0.318914 0.313868 0.318795 0.317712 0.314761 0.323162 0.312631 0.318907 0.248696 0.303613 0.321373
0.189704 0.10553 0.0836054 0.0823436 0.0962601 0.0867306 0.219206 0.225584 0.236336 0.228495 0.232077 0.257613 0.257613 0.257613 0.257613 0.256001 0.327484 1 0.331999 0.336204 0.324489 0.320198 0.314115 0.326626 0.318903 0.313094 0.24529 0.299003 0.331396
0.202186 0.113449 0.0919287 0.0861292 0.105009 0.0877638 0.212825 0.230206 0.242683 0.234932 0.236349 0.254865 0.254865 0.254865 0.254865 0.251207 0.324213 0.340578 1 0.339132 0.332692 0.346488 0.32448 0.34909 0.334061 0.326303 0.271378 0.324751 0.345046
0.192388 0.10315 0.0829512 0.0760201 0.0918207 0.0807019 0.210435 0.22116 0.227926 0.222296 0.224827 0.248367 0.248367 0.248367 0.248367 0.251979 0.313208 0.333251 0.325848 1 0.322284 0.311816 0.312106 0.322296 0.310291 0.317221 0.248792 0.299702 0.31156
0.201585 0.112679 0.0894212 0.0905869 0.105432 0.0876128 0.215274 0.224122 0.231342 0.231406 0.228724 0.259598 0.259598 0.259598 0.259598 0.257269 0.327419 0.33835 0.334858 0.333602 1 0.332739 0.320037 0.33537 0.323846 0.328183 0.259372 0.31072 0.334263
0.229495 0.132873 0.107933 0.0990987 0.117198 0.102887 0.255514 0.266954 0.268846 0.267505 0.27124 0.29736 0.29736 0.29736 0.29736 0.302 0.363826 0.368281 0.382138 0.360246 0.370646 1 0.407161 0.440694 0.40984 0.41578 0.31634 0.393795 0.421118
0.230202 0.122041 0.0948522 0.0940217 0.10883 0.102491 0.254167 0.265942 0.276155 0.271988 0.276335 0.296293 0.296293 0.296293 0.296293 0.303337 0.352498 0.359406 0.360019 0.353847 0.357638 0.408764 1 0.457823 0.426352 0.42344 0.312687 0.386915 0.42822
0.261762 0.146921 0.114964 0.109947 0.129193 0.11724 0.282433 0.291382 0.302727 0.307574 0.306558 0.344533 0.344533 0.344533 0.344533 0.347842 0.394082 0.408425 0.423132 0.397639 0.404026 0.471192 0.493162 1 0.488008 0.482471 0.368604 0.464368 0.5037
0.239035 0.134892 0.110744 0.113151 0.129447 0.114332 0.268768 0.283238 0.287472 0.285701 0.288662 0.314951 0.314951 0.314951 0.314951 0.313258 0.3632 0.370851 0.375632 0.361076 0.368997 0.412063 0.437967 0.457142 1 0.468197 0.333612 0.412965 0.457608
