C1901d2TS003_1 C1901d2TS010_1 C1901d2TS010_2 C1901d2TS010_3 C1901d2TS010_4 C1901d2TS010_5 C1901d2TS049_1 C1901d2TS049_2 C1901d2TS049_3 C1901d2TS049_4 C1901d2TS049_5 C1901d2TS067_1 C1901d2TS067_2 C1901d2TS067_3 C1901d2TS067_4 C1901d2TS067_5 C1901d2TS103_1 C1901d2TS103_2 C1901d2TS103_3 C1901d2TS121_1 C1901d2TS121_2 C1901d2TS123_1 C1901d2TS123_2 C1901d2TS123_3 C1901d2TS123_4 C1901d2TS123_5 C1901d2TS131_1 C1901d2TS131_2 C1901d2TS131_3 C1901d2TS131_4 C1901d2TS131_5 C1901d2TS210_1 C1901d2TS210_2 C1901d2TS210_3 C1901d2TS210_4 C1901d2TS210_5 C1901d2TS215_1 C1901d2TS215_2 C1901d2TS215_3 C1901d2TS215_4 C1901d2TS215_5 C1901d2TS228_1 C1901d2TS228_2 C1901d2TS228_3 C1901d2TS228_4 C1901d2TS228_5 C1901d2TS240_1 C1901d2TS240_2 C1901d2TS240_3 C1901d2TS240_4 C1901d2TS240_5 C1901d2TS258_1 C1901d2TS258_2 C1901d2TS258_3 C1901d2TS258_4 C1901d2TS258_5 C1901d2TS267_1 C1901d2TS267_2 C1901d2TS267_3 C1901d2TS267_4 C1901d2TS267_5 C1901d2TS273_1 C1901d2TS273_2 C1901d2TS273_3 C1901d2TS273_4 C1901d2TS273_5 C1901d2TS347_1 C1901d2TS347_2 C1901d2TS347_3 C1901d2TS405_1 C1901d2TS405_2 C1901d2TS405_3 C1901d2TS405_4 C1901d2TS405_5 C1901d2TS438_1 C1901d2TS438_2 C1901d2TS438_3 C1901d2TS438_4 C1901d2TS438_5
1 0.2412 0.2653 0.2356 0.2627 0.2633 0.0405 0.0603 0.0978 0.0709 0.0726 0.2504 0.2504 0.2475 0.2504 0.2527 0.2471 0.2509 0.2474 0.2549 0.1647 0.2912 0.2751 0.2808 0.2818 0.2818 0.2556 0.2513 0.2513 0.2536 0.2527 0.2727 0.2654 0.2356 0.2605 0.2316 0.2723 0.2712 0.2616 0.2910 0.2880 0.2606 0.2630 0.2620 0.2671 0.2534 0.2450 0.2502 0.2484 0.2477 0.2444 0.2370 0.2436 0.2390 0.2396 0.2397 0.2708 0.2764 0.2158 0.2950 0.2828 0.2711 0.2688 0.2700 0.2700 0.2700 0.2415 0.2383 0.2452 0.2727 0.2648 0.2732 0.2750 0.2714 0.2343 0.2356 0.2359 0.2368 0.2363
0.2205 1 0.4377 0.5046 0.4127 0.4310 0.0344 0.0516 0.0777 0.0579 0.0601 0.2631 0.2631 0.2890 0.2631 0.2939 0.2982 0.3334 0.3289 0.2983 0.1837 0.3295 0.3357 0.3187 0.3494 0.3494 0.3716 0.3716 0.3706 0.3709 0.3710 0.3512 0.3863 0.3500 0.3652 0.3526 0.3247 0.3934 0.3541 0.3506 0.3364 0.3628 0.3620 0.3581 0.3640 0.3245 0.3805 0.3798 0.3686 0.3706 0.3710 0.3673 0.3756 0.3681 0.3708 0.3757 0.3483 0.3231 0.3451 0.3292 0.3266 0.3264 0.3443 0.3414 0.3414 0.3414 0.3556 0.3123 0.3332 0.3512 0.3509 0.3490 0.3568 0.3512 0.3574 0.3602 0.3667 0.3649 0.3644
0.2161 0.3928 1 0.3392 0.3673 0.3249 0.0308 0.0454 0.0725 0.0537 0.0562 0.2286 0.2286 0.2472 0.2286 0.2601 0.2634 0.3055 0.3005 0.2684 0.1732 0.3151 0.3019 0.3043 0.3036 0.3036 0.3338 0.3373 0.3400 0.3358 0.3382 0.3058 0.2933 0.2866 0.2881 0.2827 0.3037 0.3370 0.3478 0.3179 0.3092 0.2720 0.2726 0.2700 0.2750 0.2615 0.3043 0.3004 0.3124 0.3202 0.3239 0.3243 0.3267 0.3178 0.3199 0.3222 0.3017 0.3095 0.3090 0.3123 0.3071 0.2812 0.3068 0.3050 0.3050 0.3050 0.2909 0.2717 0.2931 0.3058 0.3017 0.3085 0.3065 0.3042 0.2961 0.3010 0.3002 0.2936 0.3005
0.2222 0.5189 0.3934 1 0.3902 0.4353 0.0363 0.0517 0.0795 0.0599 0.0614 0.2670 0.2670 0.2873 0.2670 0.2921 0.3060 0.3526 0.3371 0.2906 0.1728 0.3358 0.3328 0.3271 0.3809 0.3809 0.3722 0.3692 0.3715 0.3709 0.3705 0.3526 0.3986 0.3728 0.3809 0.3753 0.3377 0.3821 0.3501 0.3383 0.3278 0.3479 0.3477 0.3504 0.3509 0.3428 0.3732 0.3717 0.3697 0.3606 0.3720 0.3645 0.3650 0.3573 0.3617 0.3625 0.3708 0.3269 0.3416 0.3509 0.3408 0.3318 0.3328 0.3407 0.3407 0.3407 0.3771 0.3379 0.3539 0.3526 0.3474 0.3510 0.3496 0.3493 0.3583 0.3559 0.3647 0.3608 0.3665
0.2084 0.3588 0.3552 0.3299 1 0.3633 0.0313 0.0441 0.0744 0.0507 0.0538 0.2314 0.2314 0.2538 0.2314 0.2635 0.2554 0.3006 0.2836 0.2519 0.1566 0.2888 0.2857 0.2729 0.2921 0.2921 0.2824 0.2775 0.2785 0.2803 0.2786 0.2907 0.3711 0.3021 0.3526 0.2793 0.2776 0.3115 0.2729 0.2701 0.2638 0.3091 0.3095 0.3101 0.3138 0.3073 0.3131 0.3173 0.2814 0.2750 0.2798 0.3000 0.2912 0.3057 0.2934 0.2887 0.2906 0.2721 0.2769 0.2972 0.2841 0.3191 0.3178 0.3123 0.3123 0.3123 0.2728 0.2601 0.2633 0.2907 0.2859 0.2949 0.2935 0.2879 0.2761 0.2754 0.2806 0.2762 0.2772
0.2265 0.4050 0.3396 0.3991 0.3912 1 0.0318 0.0452 0.0766 0.0509 0.0583 0.2403 0.2403 0.2731 0.2403 0.2798 0.3211 0.3288 0.3195 0.2498 0.1550 0.3025 0.2997 0.2872 0.3424 0.3424 0.3403 0.3396 0.3400 0.3420 0.3404 0.3216 0.3730 0.3737 0.3684 0.3394 0.3150 0.3226 0.2816 0.2943 0.2862 0.3605 0.3608 0.3593 0.3631 0.3249 0.3642 0.3711 0.3334 0.3229 0.3300 0.3278 0.3272 0.3254 0.3201 0.3229 0.3396 0.2857 0.2763 0.3003 0.2945 0.3292 0.3205 0.3131 0.3131 0.3131 0.3249 0.3014 0.3066 0.3216 0.3151 0.3263 0.3233 0.3206 0.3351 0.3346 0.3359 0.3289 0.3365
0.3907 0.3636 0.3731 0.3627 0.3744 0.3668 1 0.1175 0.2120 0.1521 0.1607 0.3484 0.3484 0.3628 0.3484 0.3738 0.3594 0.3545 0.3754 0.3635 0.2231 0.3552 0.3462 0.3514 0.3622 0.3622 0.3713 0.3657 0.3665 0.3656 0.3670 0.3649 0.3490 0.3603 0.3670 0.3591 0.3785 0.3704 0.3765 0.3590 0.3529 0.3554 0.3560 0.3532 0.3632 0.3343 0.3607 0.3649 0.3763 0.3731 0.3682 0.3772 0.3768 0.3779 0.3718 0.3741 0.3389 0.3478 0.3348 0.3446 0.3513 0.3595 0.3724 0.3775 0.3775 0.3775 0.3731 0.3751 0.3731 0.3649 0.3598 0.3645 0.3731 0.3643 0.3547 0.3555 0.3567 0.3552 0.3570
0.3503 0.3519 0.3459 0.3378 0.3457 0.3311 0.0772 1 0.2110 0.1863 0.1574 0.3569 0.3569 0.3299 0.3569 0.3278 0.3266 0.3474 0.3433 0.3401 0.1937 0.3311 0.3245 0.3271 0.3215 0.3215 0.3160 0.3181 0.3173 0.3168 0.3167 0.3375 0.3164 0.3126 0.3322 0.3210 0.3210 0.3437 0.3624 0.3477 0.3466 0.3132 0.3158 0.3144 0.3198 0.3063 0.3279 0.3231 0.3299 0.3279 0.3283 0.3346 0.3400 0.3373 0.3409 0.3440 0.3052 0.3186 0.3305 0.3211 0.3299 0.3275 0.3264 0.3248 0.3248 0.3248 0.3173 0.3200 0.3252 0.3375 0.3301 0.3352 0.3378 0.3359 0.3172 0.3178 0.3159 0.3165 0.3174
0.3625 0.3250 0.3381 0.3245 0.3537 0.3381 0.0790 0.1268 1 0.1684 0.1501 0.3328 0.3328 0.3437 0.3328 0.3429 0.3466 0.3315 0.3271 0.3253 0.1995 0.3331 0.3269 0.3292 0.3356 0.3356 0.3218 0.3203 0.3219 0.3207 0.3192 0.3463 0.3354 0.3265 0.3541 0.3198 0.3216 0.3302 0.3304 0.3447 0.3392 0.3295 0.3312 0.3308 0.3376 0.3162 0.3393 0.3460 0.3231 0.3231 0.3262 0.3256 0.3262 0.3282 0.3330 0.3275 0.3126 0.3180 0.3066 0.3166 0.3292 0.3438 0.3326 0.3279 0.3279 0.3279 0.3176 0.3271 0.3281 0.3463 0.3365 0.3449 0.3493 0.3436 0.3176 0.3171 0.3146 0.3145 0.3135
0.3260 0.3308 0.3390 0.3151 0.3295 0.2961 0.0744 0.1343 0.2089 1 0.1469 0.3394 0.3394 0.3168 0.3394 0.3202 0.3099 0.2986 0.3021 0.3192 0.1911 0.2978 0.2890 0.2983 0.2941 0.2941 0.2843 0.2807 0.2811 0.2822 0.2815 0.3064 0.2950 0.2787 0.2915 0.2787 0.2980 0.3269 0.3401 0.3213 0.3176 0.2849 0.2858 0.2853 0.2911 0.2752 0.2940 0.2912 0.2909 0.2952 0.2970 0.3125 0.3182 0.3174 0.3258 0.3203 0.2764 0.2850 0.3134 0.2882 0.2963 0.3000 0.3007 0.2933 0.2933 0.2933 0.2797 0.2884 0.2945 0.3064 0.2972 0.3029 0.3066 0.3040 0.2805 0.2790 0.2833 0.2871 0.2814
