target   total_number_of_models  max_consensus_score  number_of_selected_models  selected_models                               max_total_consensus_score  reliability
C1901    110                     0.715                1                          C1901TS156_1                                  0.38                       high
C1901d1  63                      0.813                1                          C1901d1TS273_1                                0.357                      high
C1901d2  61                      0.56                 2                          C1901d2TS210_2,C1901d2TS438_3                 0.51                       borderline
C1901d3  75                      0.726                2                          C1901d3TS273_1,C1901d3TS273_3                 0.362                      high
C1901x2  26                      0.811                1                          C1901x2TS215_3                                0.349                      high
C1902    123                     0.619                1                          C1902TS156_1                                  0.416                      high
C1902d1  57                      0.637                1                          C1902d1TS273_1                                0.453                      high
C1902d2  63                      0.4634               1                          C1902d2TS270_1                                0.3668                     low
C1902d3  57                      0.731                1                          C1902d3TS131_1                                0.508                      high
C1902x2  36                      0.48                 1                          C1902x2TS215_3                                0.383                      low
C1903    124                     0.472                1                          C1903TS156_2                                  0.431                      low
C1903d1  63                      0.52                 1                          C1903d1TS273_1                                0.425                      low
C1903d2  62                      0.546                3                          C1903d2TS345_4,C1903d2TS240_1,C1903d2TS228_5  0.463                      low
C1903x2  39                      0.499                3                          C1903x2TS228_3,C1903x2TS131_3,C1903x2TS131_4  0.371                      low
C1904    117                     0.603                2                          C1904TS401_1,C1904TS156_1                     0.401                      high
C1904d1  74                      0.482                2                          C1904d1TS210_1,C1904d1TS131_2                 0.406                      low
C1904d2  55                      0.526                1                          C1904d2TS210_5                                0.425                      low
C1904d3  48                      0.886                1                          C1904d3TS273_1                                0.408                      high
C1904x2  26                      0.468                1                          C1904x2TS215_1                                0.343                      low
C1905    124                     0.484                3                          C1905TS369_4,C1905TS131_3,C1905TS369_1        0.375                      low
C1905d1  72                      0.5                  2                          C1905d1TS210_2,C1905d1TS405_5                 0.404                      low
C1905d2  61                      0.45                 1                          C1905d2TS210_1                                0.347                      low
C1905x2  33                      0.456                1                          C1905x2TS215_1                                0.316                      low
C1906    128                     0.615                1                          C1906TS156_1                                  0.449                      high
C1906d1  66                      0.62                 1                          C1906d1TS131_1                                0.488                      high
C1906d2  62                      0.625                1                          C1906d2TS273_1                                0.42                       high
C1906x2  33                      0.637                1                          C1906x2TS215_5                                0.379                      high
C1907    133                     0.606                2                          C1907TS414_1,C1907TS131_1                     0.533                      high
C1908    152                     0.451                3                          C1908TS152_1,C1908TS131_5,C1908TS131_2        0.387                      low
C1908x2  58                      0.465                1                          C1908x2TS389_1                                0.383                      low
C1909    143                     0.514                2                          C1909TS210_3,C1909TS087_2                     0.457                      low
C1910    98                      0.687                1                          C1910TS131_1                                  0.599                      high
