C1905TS003_1 C1905TS003_2 C1905TS003_3 C1905TS044_1 C1905TS066_1 C1905TS067_1 C1905TS067_2 C1905TS067_3 C1905TS067_4 C1905TS067_5 C1905TS073_1 C1905TS073_2 C1905TS073_3 C1905TS073_4 C1905TS073_5 C1905TS087_1 C1905TS087_2 C1905TS102_1 C1905TS102_2 C1905TS103_1 C1905TS103_2 C1905TS123_1 C1905TS123_2 C1905TS123_3 C1905TS123_4 C1905TS123_5 C1905TS131_1 C1905TS131_2 C1905TS131_3 C1905TS131_4 C1905TS131_5 C1905TS152_1 C1905TS152_2 C1905TS152_3 C1905TS152_4 C1905TS152_5 C1905TS156_1 C1905TS156_2 C1905TS156_3 C1905TS156_4 C1905TS156_5 C1905TS158_1 C1905TS158_2 C1905TS158_3 C1905TS158_4 C1905TS158_5 C1905TS182_1 C1905TS182_2 C1905TS182_3 C1905TS182_4 C1905TS182_5 C1905TS196_1 C1905TS200_1 C1905TS210_1 C1905TS210_2 C1905TS210_3 C1905TS210_4 C1905TS210_5 C1905TS211_1 C1905TS211_2 C1905TS211_3 C1905TS211_4 C1905TS211_5 C1905TS213_1 C1905TS213_2 C1905TS213_3 C1905TS213_4 C1905TS213_5 C1905TS215_1 C1905TS215_2 C1905TS215_3 C1905TS215_4 C1905TS215_5 C1905TS228_1 C1905TS230_1 C1905TS230_2 C1905TS230_3 C1905TS230_4 C1905TS230_5 C1905TS240_1 C1905TS240_2 C1905TS240_3 C1905TS240_4 C1905TS240_5 C1905TS247_1 C1905TS247_2 C1905TS247_3 C1905TS247_4 C1905TS247_5 C1905TS258_1 C1905TS258_2 C1905TS258_3 C1905TS258_4 C1905TS258_5 C1905TS273_1 C1905TS273_2 C1905TS273_3 C1905TS273_4 C1905TS273_5 C1905TS278_1 C1905TS278_2 C1905TS278_3 C1905TS278_4 C1905TS278_5 C1905TS299_1 C1905TS299_2 C1905TS299_3 C1905TS299_4 C1905TS299_5 C1905TS301_1 C1905TS309_1 C1905TS309_2 C1905TS309_3 C1905TS309_4 C1905TS309_5 C1905TS346_1 C1905TS347_1 C1905TS359_1 C1905TS369_1 C1905TS369_2 C1905TS369_3 C1905TS369_4 C1905TS369_5 C1905TS389_1 C1905TS389_2 C1905TS389_3 C1905TS389_4 C1905TS389_5 C1905TS401_1 C1905TS404_1 C1905TS404_2 C1905TS404_3 C1905TS404_4 C1905TS404_5 C1905TS405_1 C1905TS405_2 C1905TS405_3 C1905TS405_4 C1905TS405_5 C1905TS413_1 C1905TS413_2 C1905TS413_3 C1905TS413_4 C1905TS413_5 C1905TS414_1 C1905TS414_3 C1905TS414_4 C1905TS414_5 C1905TS438_1 C1905TS438_2 C1905TS438_3 C1905TS438_4 C1905TS438_5
1 0.395844 0.409184 0.404156 0.362232 0.36068 0.362206 0.374809 0.368326 0.368376 0.364635 0.378096 0.366899 0.385607 0.36958 0.431087 0.414796 0.34306 0.392442 0.383721 0.34306 0.393214 0.38823 0.406824 0.376895 0.376895 0.437503 0.424998 0.433052 0.430911 0.432536 0.410906 0.407037 0.400248 0.377705 0.384082 0.419143 0.423797 0.419948 0.408003 0.41593 0.351768 0.279997 0.278401 0.26349 0.263757 0.398436 0.300537 0.402041 0.308635 0.402582 0.392442 0.338991 0.409045 0.391622 0.424491 0.406682 0.387681 0.394261 0.37782 0.387517 0.386769 0.38541 0.41054 0.412533 0.41654 0.411555 0.416844 0.388844 0.39689 0.400579 0.398282 0.412962 0.40453 0.390214 0.394916 0.384157 0.369661 0.392911 0.397284 0.381309 0.375883 0.391832 0.383819 0.397604 0.390513 0.400287 0.388111 0.397155 0.375226 0.382671 0.367619 0.392545 0.381072 0.396764 0.383842 0.389954 0.352591 0.331136 0.351768 0.279997 0.278401 0.26349 0.263757 0.403284 0.407142 0.397112 0.405826 0.407186 0.404156 0.382444 0.344557 0.398902 0.38036 0.393952 0.154394 0.356797 0.407239 0.41876 0.423635 0.428635 0.425398 0.437347 0.41276 0.38088 0.421994 0.383753 0.374195 0.292431 0.39622 0.396066 0.393382 0.39768 0.398601 0.40673 0.410901 0.397896 0.387681 0.40129 0.401654 0.397733 0.418705 0.407206 0.419244 0.422002 0.42694 0.426451 0.425092 0.413785 0.405028 0.414302 0.41505 0.414716
0.366818 1 0.344813 0.371602 0.337012 0.342265 0.347074 0.349299 0.339076 0.341714 0.354088 0.339157 0.349879 0.360123 0.351478 0.384666 0.38046 0.317873 0.378233 0.353679 0.317873 0.353165 0.338058 0.362398 0.329643 0.329643 0.389976 0.38584 0.379985 0.385448 0.390387 0.36927 0.357845 0.363031 0.351076 0.347751 0.380146 0.386096 0.381613 0.379389 0.3835 0.299354 0.257881 0.26007 0.253107 0.252095 0.360635 0.274135 0.361028 0.271463 0.351185 0.378233 0.313033 0.36206 0.359786 0.386779 0.349958 0.354936 0.360259 0.363332 0.355589 0.34758 0.354064 0.376973 0.378148 0.367745 0.381233 0.37703 0.354095 0.367373 0.363995 0.36103 0.347807 0.362425 0.351725 0.358204 0.335125 0.346164 0.351051 0.336362 0.329405 0.327493 0.340961 0.332578 0.372206 0.356546 0.352198 0.353981 0.358357 0.349943 0.361944 0.353074 0.359442 0.357034 0.359058 0.350986 0.352672 0.326013 0.310319 0.299354 0.257881 0.26007 0.253107 0.252095 0.379898 0.391533 0.372871 0.38537 0.385587 0.371602 0.347388 0.316757 0.356361 0.352964 0.353016 0.148836 0.319446 0.356915 0.378082 0.379685 0.375102 0.363677 0.392003 0.378098 0.34733 0.370521 0.330278 0.351158 0.275332 0.352847 0.349009 0.350209 0.349177 0.349282 0.350056 0.358146 0.358102 0.354936 0.346086 0.363923 0.363068 0.370237 0.363273 0.367052 0.373154 0.374438 0.374622 0.374388 0.368891 0.359567 0.36928 0.365423 0.369344
0.352445 0.326874 1 0.356051 0.307071 0.307979 0.306053 0.321843 0.31735 0.319078 0.335354 0.328785 0.341632 0.339637 0.336487 0.368417 0.369018 0.300764 0.35061 0.328234 0.300764 0.326966 0.329278 0.332824 0.331988 0.331988 0.379831 0.381776 0.381076 0.377415 0.376256 0.361207 0.360129 0.358999 0.331238 0.328087 0.383459 0.375888 0.376339 0.371235 0.365567 0.294309 0.228578 0.228831 0.229811 0.230394 0.339302 0.262556 0.342615 0.253372 0.332067 0.35061 0.313205 0.341969 0.348903 0.38104 0.359908 0.351022 0.346741 0.32797 0.333509 0.330183 0.320263 0.364047 0.36586 0.372056 0.367407 0.373944 0.331212 0.343311 0.348615 0.345444 0.335997 0.346289 0.335706 0.344669 0.345496 0.336678 0.346007 0.328111 0.315394 0.333096 0.32783 0.324205 0.365172 0.33336 0.344345 0.3523 0.359601 0.327003 0.331347 0.323716 0.336546 0.334185 0.349216 0.325234 0.332029 0.305594 0.274694 0.294309 0.228578 0.228831 0.229811 0.230394 0.350398 0.352367 0.343293 0.349367 0.350097 0.356051 0.335811 0.299965 0.330645 0.340518 0.346834 0.123487 0.31787 0.335847 0.37173 0.367454 0.371277 0.368026 0.365383 0.360454 0.316148 0.331368 0.339331 0.32688 0.256645 0.341901 0.337665 0.341574 0.342585 0.344916 0.359887 0.367968 0.353204 0.351015 0.351869 0.356435 0.366974 0.36052 0.363191 0.358719 0.374168 0.364205 0.362206 0.370392 0.373483 0.366697 0.366053 0.36707 0.370884
0.274216 0.277372 0.277244 1 0.321076 0.276655 0.278484 0.270763 0.27521 0.273641 0.314923 0.325771 0.325918 0.313718 0.31008 0.406485 0.39297 0.255856 0.451006 0.315138 0.255856 0.309978 0.290681 0.324145 0.286963 0.286963 0.387797 0.388814 0.398511 0.398463 0.387686 0.371343 0.373873 0.398531 0.344467 0.31018 0.39422 0.393673 0.383476 0.390443 0.383157 0.239506 0.154065 0.154163 0.14688 0.149465 0.319055 0.204891 0.321578 0.209237 0.308261 0.451006 0.279305 0.380396 0.381308 0.421629 0.353181 0.388517 0.34873 0.288565 0.314244 0.308177 0.317737 0.409012 0.412103 0.412055 0.41724 0.414307 0.478502 0.514058 0.486957 0.489276 0.493735 0.772134 0.31127 0.318938 0.303648 0.280139 0.310832 0.334714 0.306906 0.321569 0.323597 0.332175 0.374119 0.366945 0.368504 0.385639 0.362156 0.305264 0.319824 0.316082 0.336154 0.304462 0.347085 0.31336 0.309716 0.270741 0.229673 0.239506 0.154065 0.154163 0.14688 0.149465 0.387278 0.389706 0.386846 0.38608 0.392417 1 0.336238 0.322593 0.325663 0.357568 0.334921 0.110487 0.280831 0.399348 0.430786 0.428538 0.417127 0.411307 0.390295 0.321513 0.290937 0.315395 0.313575 0.336584 0.291241 0.313766 0.312861 0.313617 0.312268 0.314284 0.353289 0.367038 0.35685 0.38851 0.353209 0.410372 0.385833 0.396409 0.375994 0.36912 0.380633 0.383368 0.367215 0.365777 0.39698 0.402708 0.411811 0.4045 0.409384
0.238595 0.232846 0.228523 0.294517 1 0.246348 0.244689 0.235424 0.24009 0.241894 0.264138 0.280436 0.267459 0.26871 0.271066 0.305633 0.299003 0.227001 0.310191 0.254108 0.227001 0.247157 0.239135 0.265022 0.225123 0.225123 0.288833 0.287425 0.290413 0.283397 0.285317 0.273587 0.280302 0.30651 0.277973 0.256121 0.270583 0.270479 0.270304 0.278461 0.275117 0.199065 0.135632 0.13719 0.133565 0.134376 0.250475 0.178201 0.250535 0.171707 0.249938 0.310191 0.246094 0.278077 0.278168 0.295684 0.290857 0.278566 0.274567 0.259543 0.263439 0.257093 0.255837 0.280807 0.287266 0.284668 0.28289 0.284453 0.272889 0.302294 0.294867 0.282136 0.295434 0.286972 0.248269 0.243195 0.256874 0.248622 0.250319 0.286186 0.265593 0.270104 0.275312 0.26459 0.297773 0.288876 0.301306 0.302921 0.286089 0.26009 0.262352 0.280933 0.263046 0.259661 0.27375 0.257084 0.25848 0.217688 0.207414 0.199065 0.135632 0.13719 0.133565 0.134376 0.296527 0.291128 0.300133 0.293444 0.29386 0.294517 0.279109 0.271256 0.288734 0.275017 0.276109 0.0850218 0.244233 0.292791 0.286829 0.28928 0.282657 0.300561 0.28109 0.269176 0.238635 0.249534 0.249818 0.273735 0.190378 0.25598 0.252521 0.249219 0.250365 0.255453 0.290963 0.276115 0.281187 0.278566 0.291563 0.286917 0.266385 0.288941 0.278642 0.276644 0.292737 0.306733 0.300011 0.281309 0.298317 0.304595 0.302612 0.296658 0.301272
0.215938 0.221285 0.207878 0.22684 0.213498 1 0.809011 0.384122 0.376679 0.370361 0.216086 0.224629 0.220747 0.20067 0.215173 0.243858 0.247387 0.184531 0.248557 0.225845 0.184531 0.2396 0.209137 0.251275 0.217644 0.217644 0.245637 0.259539 0.25198 0.251149 0.255518 0.220186 0.217544 0.249743 0.20344 0.231658 0.234652 0.234159 0.231526 0.228859 0.225598 0.155142 0.0968873 0.0969011 0.0985584 0.100748 0.203388 0.142329 0.198762 0.136423 0.19991 0.248557 0.193001 0.223155 0.241048 0.235683 0.210376 0.215803 0.215761 0.266624 0.235575 0.229111 0.23563 0.231043 0.23526 0.233861 0.231276 0.233067 0.238296 0.232836 0.239946 0.244121 0.245972 0.225259 0.215929 0.211045 0.208949 0.211167 0.210879 0.206643 0.200763 0.212182 0.212456 0.208566 0.241986 0.240449 0.236869 0.244985 0.24588 0.226029 0.253775 0.235592 0.237148 0.243337 0.214941 0.238167 0.233964 0.229343 0.165047 0.155142 0.0968873 0.0969011 0.0985584 0.100748 0.24045 0.233991 0.236993 0.236039 0.249112 0.22684 0.21095 0.197499 0.20634 0.205633 0.208379 0.0746973 0.24666 0.235039 0.238827 0.235794 0.22877 0.238349 0.235461 0.200835 0.187746 0.197274 0.203482 0.200925 0.166227 0.206977 0.205248 0.20613 0.205613 0.207903 0.210368 0.213349 0.218751 0.21581 0.210018 0.230589 0.220373 0.226392 0.217059 0.21864 0.226501 0.232147 0.228041 0.214487 0.24224 0.239351 0.235406 0.242318 0.239521
0.20938 0.223377 0.201884 0.229207 0.211378 0.802826 1 0.378032 0.373471 0.363666 0.219135 0.221027 0.219563 0.204796 0.219154 0.241017 0.244538 0.190568 0.252596 0.229772 0.190568 0.236922 0.20645 0.248688 0.214544 0.214544 0.245707 0.263375 0.257549 0.252851 0.254579 0.219521 0.208987 0.24707 0.2023 0.232707 0.230412 0.235735 0.232877 0.233103 0.225648 0.157369 0.0936242 0.0940203 0.0993416 0.10187 0.207647 0.13895 0.201569 0.130933 0.206219 0.252596 0.197177 0.220849 0.240112 0.2387 0.211391 0.213716 0.215268 0.263238 0.238186 0.227143 0.235141 0.231115 0.237413 0.233488 0.233764 0.234883 0.238375 0.237069 0.238799 0.244668 0.245185 0.228466 0.215854 0.214985 0.208583 0.213468 0.212948 0.211848 0.197631 0.220779 0.214997 0.215225 0.245984 0.239732 0.238811 0.243483 0.245627 0.231992 0.252598 0.234112 0.244101 0.249865 0.213652 0.237077 0.237132 0.226796 0.160013 0.157369 0.0936242 0.0940203 0.0993416 0.10187 0.241068 0.231862 0.233376 0.23472 0.24849 0.229207 0.204737 0.20085 0.208309 0.209881 0.208456 0.0701521 0.242597 0.234688 0.239852 0.237598 0.228755 0.244327 0.2439 0.206945 0.188066 0.197628 0.20271 0.202035 0.164205 0.209925 0.20879 0.207615 0.209724 0.212384 0.211384 0.214428 0.217854 0.213723 0.21083 0.231588 0.220226 0.227699 0.213376 0.222629 0.225882 0.228749 0.22993 0.214199 0.243732 0.243202 0.237309 0.242771 0.242664
0.248692 0.259482 0.252189 0.26109 0.246076 0.415588 0.412631 1 0.680163 0.691477 0.253531 0.259248 0.251857 0.246262 0.256051 0.276503 0.274391 0.233548 0.277677 0.265917 0.233548 0.258884 0.231008 0.292043 0.228576 0.228576 0.277849 0.286316 0.281796 0.280051 0.278052 0.261732 0.265218 0.2932 0.252249 0.255765 0.258918 0.264094 0.265268 0.267933 0.263727 0.188894 0.14838 0.14969 0.142086 0.142053 0.252883 0.186916 0.249788 0.177257 0.247722 0.277677 0.21846 0.253974 0.255879 0.266064 0.248944 0.23539 0.258379 0.283045 0.255928 0.255155 0.254618 0.264351 0.269437 0.268439 0.267495 0.271648 0.260389 0.276143 0.262915 0.272138 0.270455 0.256617 0.249122 0.240547 0.234427 0.247902 0.245547 0.247052 0.242226 0.252869 0.250903 0.247425 0.276781 0.260271 0.264688 0.287518 0.287067 0.265848 0.283846 0.270918 0.286987 0.289216 0.259751 0.251028 0.254897 0.272126 0.206675 0.188894 0.14838 0.14969 0.142086 0.142053 0.267734 0.263533 0.275368 0.278217 0.283614 0.26109 0.247962 0.239008 0.248024 0.241484 0.241552 0.0892687 0.27926 0.267793 0.275082 0.271842 0.270857 0.270578 0.268769 0.251265 0.226212 0.238187 0.240917 0.253759 0.189748 0.241074 0.244141 0.239354 0.239182 0.238505 0.249148 0.244664 0.245193 0.23539 0.248047 0.268317 0.254651 0.264658 0.260888 0.258607 0.26083 0.271522 0.258629 0.260517 0.282211 0.279312 0.276796 0.278773 0.279631
0.241223 0.255518 0.249377 0.261237 0.249433 0.411618 0.412148 0.678781 1 0.71399 0.252659 0.253947 0.256702 0.248911 0.250528 0.279162 0.281048 0.22812 0.276915 0.263238 0.22812 0.260129 0.230662 0.286961 0.227853 0.227853 0.276807 0.284237 0.283947 0.279428 0.280446 0.26219 0.265442 0.285488 0.244708 0.256006 0.256788 0.259625 0.258242 0.259944 0.257209 0.182223 0.146608 0.145135 0.136904 0.139428 0.252661 0.190021 0.24611 0.183878 0.249064 0.276915 0.230549 0.256932 0.256233 0.259397 0.253781 0.242135 0.248339 0.294067 0.259855 0.256268 0.24926 0.268268 0.274466 0.27294 0.274161 0.27336 0.261401 0.27095 0.268737 0.273826 0.272414 0.2583 0.242688 0.244014 0.242882 0.256256 0.245181 0.246772 0.243747 0.252205 0.249643 0.245486 0.277169 0.265848 0.2761 0.278524 0.279178 0.25664 0.293564 0.266947 0.282877 0.283284 0.246934 0.2504 0.257654 0.266805 0.204765 0.182223 0.146608 0.145135 0.136904 0.139428 0.269834 0.273576 0.281765 0.287638 0.288196 0.261237 0.244088 0.24239 0.242016 0.239879 0.232456 0.0870962 0.282763 0.266774 0.275515 0.268565 0.255182 0.272269 0.268166 0.25082 0.229778 0.228684 0.234127 0.246272 0.187302 0.235661 0.236904 0.23322 0.236248 0.234357 0.253927 0.244759 0.246966 0.242135 0.250938 0.26987 0.256335 0.265549 0.259194 0.261957 0.262614 0.262731 0.257434 0.260451 0.281402 0.275738 0.276817 0.286391 0.281789
0.241087 0.258835 0.247863 0.260001 0.24889 0.406488 0.404203 0.694308 0.711102 1 0.257543 0.260122 0.251159 0.247215 0.254467 0.267647 0.272741 0.227452 0.279181 0.25646 0.227452 0.257492 0.236221 0.284508 0.232425 0.232425 0.272314 0.281447 0.282215 0.278465 0.279366 0.267422 0.261935 0.287808 0.240528 0.254711 0.267832 0.263051 0.266358 0.266403 0.262165 0.183445 0.149503 0.149443 0.145938 0.147104 0.254543 0.193188 0.254633 0.184481 0.25183 0.279181 0.230452 0.251194 0.251419 0.266588 0.247173 0.243962 0.257633 0.293038 0.25776 0.257943 0.250008 0.264728 0.266906 0.266417 0.266271 0.265724 0.26653 0.270544 0.263318 0.271465 0.26946 0.256948 0.250263 0.242446 0.233173 0.251289 0.246992 0.24134 0.238214 0.252166 0.24779 0.241341 0.27777 0.261727 0.263013 0.281159 0.278379 0.25753 0.295722 0.265345 0.281677 0.27888 0.256862 0.251102 0.256596 0.263997 0.211427 0.183445 0.149503 0.149443 0.145938 0.147104 0.270687 0.268359 0.277565 0.281887 0.280659 0.260001 0.240509 0.242977 0.243604 0.240247 0.232481 0.0850002 0.284092 0.265099 0.271202 0.272971 0.261524 0.265349 0.265585 0.244249 0.224885 0.226375 0.233547 0.242835 0.184165 0.228575 0.2312 0.22984 0.229216 0.228275 0.247306 0.241559 0.250393 0.243962 0.24794 0.264157 0.253303 0.267916 0.258361 0.265451 0.256018 0.25403 0.251813 0.256862 0.277242 0.277471 0.277586 0.279783 0.282115
