model           cs_top1   cs_top2   cs_top3   cs_top4   cs_top5  cs_top6  cs_top7   cs_top8   cs_top9   cs_top10  cs_top20  cs_top50  cs_all
C1902d2TS270_1  [0.4616]  [0.4634]  [0.4322]  [0.4064]  [0.403]  [0.414]  [0.4225]  [0.4263]  [0.4282]  [0.4370]  0.4420    0.3975    0.3569
C1902d2TS438_1  0.4615    0.4193    0.3937    0.3765    0.392    0.395    0.4127    0.4198    0.4224    0.4321    0.4421    0.3979    0.3569
C1902d2TS345_2  0.3501    0.3082    0.3407    0.3309    0.327    0.318    0.3170    0.3167    0.3147    0.3149    0.3155    0.2980    0.2703
C1902d2TS210_1  0.3423    0.3331    0.3244    0.3197    0.321    0.338    0.3501    0.3621    0.3637    0.3696    0.3886    0.3731    0.3367
C1902d2TS345_1  0.3238    0.3285    0.3377    0.3371    0.336    0.329    0.3304    0.3318    0.3354    0.3367    0.3408    0.3192    0.2868
C1902d2TS210_2  0.3004    0.2889    0.2809    0.2794    0.280    0.284    0.2965    0.3054    0.3084    0.3181    0.3328    0.3289    0.2972
C1902d2TS345_3  0.2947    0.3648    0.3323    0.3425    0.340    0.331    0.3298    0.3344    0.3316    0.3314    0.3268    0.3090    0.2790
C1902d2TS345_4  0.2608    0.2558    0.2488    0.2578    0.275    0.278    0.2796    0.2807    0.2851    0.2859    0.2907    0.2820    0.2561
C1902d2TS123_3  0.2266    0.2170    0.2145    0.2110    0.211    0.213    0.2218    0.2322    0.2336    0.2365    0.2434    0.2495    0.2294
C1902d2TS267_3  0.0439    0.0702    0.0893    0.0982    0.104    0.104    0.0887    0.0775    0.0712    0.0640    0.0399    0.0372    0.0323
C1902d2TS267_1  0.0227    0.0720    0.1020    0.1145    0.113    0.109    0.0932    0.0814    0.0748    0.0673    0.0435    0.0388    0.0338
C1902d2TS228_5  00        0.3480    0.3503    0.3430    0.342    0.350    0.3702    0.3776    0.3790    0.3845    0.4051    0.3828    0.3438
C1902d2TS228_1  00        0.3403    0.3411    0.3409    0.339    0.352    0.3630    0.3732    0.3771    0.3818    0.4151    0.3828    0.3462
C1902d2TS345_5  00        0.2984    0.2972    0.2878    0.297    0.302    0.3083    0.3079    0.3061    0.3061    0.3131    0.2952    0.2666
C1902d2TS103_1  00        0.2373    0.2316    0.2306    0.231    0.234    0.2417    0.2471    0.2499    0.2543    0.2694    0.2762    0.2669
C1902d2TS267_2  00        0.0661    0.0877    0.1084    0.110    0.105    0.0900    0.0786    0.0722    0.0649    0.0400    0.0376    0.0329
C1902d2TS258_4  00        00        0.3485    0.3420    0.347    0.352    0.3701    0.3850    0.3900    0.4040    0.4260    0.3875    0.3485
C1902d2TS258_5  00        00        0.3485    0.3429    0.360    0.370    0.3870    0.4038    0.4038    0.4142    0.4332    0.3926    0.3531
C1902d2TS228_2  00        00        0.3431    0.3440    0.342    0.355    0.3659    0.3754    0.3787    0.3836    0.4175    0.3854    0.3488
C1902d2TS123_1  00        00        0.2065    0.2031    0.203    0.206    0.2194    0.2243    0.2257    0.2284    0.2349    0.2413    0.2225
C1902d2TS267_4  00        00        0.0913    0.1007    0.106    0.105    0.0902    0.0788    0.0735    0.0661    0.0411    0.0377    0.0330
C1902d2TS131_1  00        00        00        0.3598    0.368    0.372    0.3879    0.3981    0.4041    0.4159    [0.4436]  [0.4067]  [0.3668]
