model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1901x2TS215_3  [0.811]  [0.631]  [0.538]  [0.489]  [0.459]  [0.441]  [0.436]  0.425    0.417    0.411     0.291
C1901x2TS215_1  0.367    0.436    0.466    0.445    0.418    0.414    0.400    0.394    0.385    0.377     0.269
C1901x2TS369_1  0.366    0.380    0.409    0.417    0.407    0.404    0.435    [0.439]  0.438    0.435     0.328
C1901x2TS389_5  0.361    0.352    0.355    0.355    0.358    0.362    0.384    0.391    0.417    0.432     0.326
C1901x2TS215_5  0.330    0.341    0.343    0.377    0.439    0.431    0.425    0.417    0.413    0.409     0.288
C1901x2TS215_2  0        0.453    0.487    0.470    0.446    0.425    0.413    0.402    0.394    0.394     0.280
C1901x2TS215_4  0        0.340    0.341    0.409    0.440    0.436    0.424    0.412    0.408    0.405     0.285
C1901x2TS389_2  0        0.327    0.333    0.334    0.344    0.347    0.358    0.367    0.373    0.379     0.304
C1901x2TS389_1  0        0        0.363    0.373    0.387    0.394    0.420    0.430    [0.442]  [0.448]   0.336
C1901x2TS389_3  0        0        0.334    0.345    0.346    0.362    0.372    0.377    0.391    0.392     0.310
C1901x2TS228_1  0        0        0        0.318    0.322    0.361    0.363    0.373    0.374    0.376     0.296
C1901x2TS389_4  0        0        0        0        0        0.366    0.387    0.414    0.430    0.438     0.324
C1901x2TS123_4  0        0        0        0        0        0        0        0.278    0.281    0.287     0.281
C1901x2TS123_3  0        0        0        0        0        0        0        0        0        0         [0.349]
C1901x2TS123_2  0        0        0        0        0        0        0        0        0        0         0.339
C1901x2TS067_5  0        0        0        0        0        0        0        0        0        0         0.301
C1901x2TS049_1  0        0        0        0        0        0        0        0        0        0         0.295
C1901x2TS067_1  0        0        0        0        0        0        0        0        0        0         0.288
C1901x2TS123_1  0        0        0        0        0        0        0        0        0        0         0.286
C1901x2TS049_3  0        0        0        0        0        0        0        0        0        0         0.285
C1901x2TS049_5  0        0        0        0        0        0        0        0        0        0         0.283
C1901x2TS049_4  0        0        0        0        0        0        0        0        0        0         0.282
C1901x2TS049_2  0        0        0        0        0        0        0        0        0        0         0.278
C1901x2TS003_1  0        0        0        0        0        0        0        0        0        0         0.272
C1901x2TS067_2  0        0        0        0        0        0        0        0        0        0         0.271
C1901x2TS067_3  0        0        0        0        0        0        0        0        0        0         0.263
