C1903d2TS003_1 C1903d2TS010_1 C1903d2TS010_2 C1903d2TS010_3 C1903d2TS010_4 C1903d2TS010_5 C1903d2TS044_1 C1903d2TS049_1 C1903d2TS049_2 C1903d2TS049_3 C1903d2TS049_4 C1903d2TS049_5 C1903d2TS067_1 C1903d2TS067_2 C1903d2TS067_3 C1903d2TS067_4 C1903d2TS067_5 C1903d2TS103_1 C1903d2TS121_1 C1903d2TS121_2 C1903d2TS121_3 C1903d2TS123_1 C1903d2TS123_2 C1903d2TS123_3 C1903d2TS123_4 C1903d2TS123_5 C1903d2TS131_1 C1903d2TS131_2 C1903d2TS131_3 C1903d2TS131_4 C1903d2TS131_5 C1903d2TS210_1 C1903d2TS210_2 C1903d2TS210_3 C1903d2TS210_4 C1903d2TS210_5 C1903d2TS215_1 C1903d2TS215_2 C1903d2TS215_3 C1903d2TS215_4 C1903d2TS215_5 C1903d2TS228_1 C1903d2TS228_2 C1903d2TS228_3 C1903d2TS228_4 C1903d2TS228_5 C1903d2TS240_1 C1903d2TS240_2 C1903d2TS240_3 C1903d2TS240_4 C1903d2TS240_5 C1903d2TS258_1 C1903d2TS258_2 C1903d2TS258_3 C1903d2TS258_4 C1903d2TS258_5 C1903d2TS270_1 C1903d2TS273_1 C1903d2TS273_2 C1903d2TS273_3 C1903d2TS273_4 C1903d2TS273_5 C1903d2TS301_1 C1903d2TS345_1 C1903d2TS345_2 C1903d2TS345_3 C1903d2TS345_4 C1903d2TS345_5 C1903d2TS347_1 C1903d2TS347_2 C1903d2TS347_3 C1903d2TS405_1 C1903d2TS405_2 C1903d2TS405_3 C1903d2TS405_4 C1903d2TS405_5 C1903d2TS432_1 C1903d2TS438_1 C1903d2TS438_2 C1903d2TS438_3 C1903d2TS438_4 C1903d2TS438_5
1 0.331548 0.304791 0.306812 0.325661 0.295253 0.245146 0.21792 0.176971 0.193724 0.165058 0.163541 0.287575 0.287575 0.287575 0.294531 0.294531 0.296394 0.272238 0.270473 0.2284 0.31162 0.327895 0.327895 0.327895 0.327895 0.324305 0.327463 0.306887 0.302196 0.311441 0.293515 0.309055 0.317005 0.30946 0.320637 0.299494 0.280677 0.303587 0.303639 0.301577 0.314877 0.312946 0.30404 0.313352 0.300334 0.311938 0.309281 0.317906 0.303707 0.311771 0.312574 0.313962 0.311495 0.29628 0.307826 0.295388 0.278743 0.282028 0.282028 0.293853 0.279505 0.245146 0.307101 0.326023 0.316123 0.29226 0.296169 0.295285 0.352622 0.279245 0.293515 0.309055 0.317005 0.30946 0.320637 0.299407 0.290701 0.302944 0.271818 0.308756 0.314219
0.284064 1 0.521998 0.540473 0.555533 0.553202 0.391169 0.184959 0.183646 0.16947 0.153413 0.130755 0.315929 0.315929 0.315929 0.294371 0.294371 0.369499 0.280298 0.263663 0.213867 0.414875 0.362083 0.362083 0.362083 0.362083 0.488961 0.490647 0.495907 0.48993 0.477788 0.489715 0.479191 0.47894 0.480269 0.507499 0.462863 0.385694 0.41541 0.373009 0.421805 0.478353 0.480791 0.487079 0.47881 0.49313 0.513018 0.519039 0.507186 0.523797 0.511047 0.554331 0.543616 0.503045 0.505329 0.528206 0.489607 0.508921 0.501102 0.501102 0.515113 0.484385 0.391169 0.433576 0.395312 0.414943 0.405459 0.382535 0.454752 0.425156 0.365331 0.489715 0.479191 0.47894 0.480269 0.507499 0.478442 0.41113 0.483669 0.343123 0.490269 0.486887
0.238484 0.498273 1 0.460365 0.501722 0.54315 0.372823 0.160366 0.144967 0.137006 0.117121 0.0937442 0.268508 0.268508 0.268508 0.271429 0.271429 0.342297 0.242694 0.249566 0.212714 0.391879 0.348728 0.348728 0.348728 0.348728 0.424918 0.439092 0.459199 0.43047 0.445869 0.432025 0.419102 0.440446 0.419002 0.440136 0.401862 0.364256 0.385087 0.388017 0.398128 0.433631 0.43213 0.441588 0.429917 0.440766 0.482788 0.503834 0.469277 0.521938 0.512139 0.47039 0.482139 0.486499 0.489826 0.46912 0.496638 0.45439 0.465659 0.465659 0.463306 0.456153 0.372823 0.423982 0.369316 0.431367 0.394842 0.359437 0.398038 0.382291 0.379317 0.432025 0.419102 0.440446 0.419002 0.440136 0.442084 0.382939 0.486909 0.310869 0.49279 0.484256
0.257551 0.516046 0.476996 1 0.571348 0.51572 0.39159 0.173602 0.157382 0.150286 0.129234 0.119111 0.289197 0.289197 0.289197 0.282262 0.282262 0.362848 0.266372 0.253568 0.216903 0.413608 0.338535 0.338535 0.338535 0.338535 0.406946 0.450732 0.455082 0.444325 0.435315 0.441584 0.432486 0.460925 0.438735 0.438861 0.455893 0.364234 0.407026 0.363327 0.393294 0.439458 0.441067 0.446021 0.442648 0.45386 0.495579 0.48961 0.496808 0.518807 0.502026 0.532103 0.477801 0.459247 0.459107 0.458549 0.45252 0.445566 0.441295 0.441295 0.451661 0.435504 0.39159 0.419512 0.408038 0.4379 0.409842 0.376625 0.422394 0.399239 0.374373 0.441584 0.432486 0.460925 0.438735 0.438861 0.425129 0.37838 0.457626 0.345425 0.464919 0.453953
0.262783 0.531639 0.521807 0.563733 1 0.553172 0.389821 0.167704 0.159518 0.136593 0.131702 0.104772 0.300069 0.300069 0.300069 0.275987 0.275987 0.377395 0.276537 0.264963 0.216276 0.406023 0.345461 0.345461 0.345461 0.345461 0.441431 0.467808 0.465111 0.451995 0.455733 0.434915 0.449398 0.455932 0.437297 0.451356 0.426138 0.37776 0.399945 0.371573 0.390541 0.453092 0.457734 0.458397 0.453673 0.460143 0.487423 0.517975 0.485005 0.514468 0.496215 0.492498 0.495094 0.492124 0.48088 0.476288 0.495061 0.453983 0.45025 0.45025 0.453952 0.440362 0.389821 0.42903 0.403011 0.421661 0.431263 0.378183 0.407417 0.405529 0.376004 0.434915 0.449398 0.455932 0.437297 0.451356 0.444832 0.355232 0.484426 0.342672 0.482965 0.482032
0.253446 0.547732 0.552392 0.512662 0.557098 1 0.392794 0.1873 0.16516 0.144683 0.127305 0.0942079 0.316406 0.316406 0.316406 0.30314 0.30314 0.394489 0.278542 0.283564 0.235832 0.420092 0.357552 0.357552 0.357552 0.357552 0.42141 0.447991 0.463757 0.4512 0.439823 0.468179 0.459439 0.452318 0.444397 0.429523 0.443256 0.365974 0.384187 0.362067 0.37566 0.448499 0.447982 0.459734 0.448992 0.459817 0.453474 0.489196 0.446592 0.497658 0.498221 0.491768 0.518045 0.498182 0.526062 0.471051 0.475545 0.474509 0.473494 0.473494 0.480373 0.45673 0.392794 0.441723 0.384599 0.433884 0.425796 0.38034 0.410926 0.40572 0.350209 0.468179 0.459439 0.452318 0.444397 0.429523 0.422512 0.382808 0.458214 0.31262 0.463899 0.459523
0.268958 0.492741 0.487439 0.498128 0.49272 0.502155 1 0.185963 0.159696 0.149928 0.143966 0.122223 0.314854 0.314854 0.314854 0.30162 0.30162 0.37753 0.283209 0.262513 0.207508 0.408946 0.363003 0.363003 0.363003 0.363003 0.498622 0.514471 0.526714 0.484955 0.492295 0.49686 0.485566 0.533613 0.516517 0.525735 0.46212 0.392331 0.439316 0.416078 0.426912 0.498423 0.492889 0.500061 0.49631 0.517495 0.555582 0.582302 0.554831 0.575309 0.562863 0.526872 0.516201 0.513807 0.538784 0.502023 0.514507 0.525348 0.506552 0.506552 0.527968 0.501595 1 0.442879 0.372724 0.461587 0.451436 0.439781 0.440283 0.427035 0.41969 0.49686 0.485566 0.533613 0.516517 0.525735 0.488234 0.386854 0.54581 0.35088 0.532736 0.53194
0.401243 0.3982 0.363601 0.388141 0.38185 0.40419 0.317565 1 0.447004 0.46882 0.433902 0.461152 0.412332 0.412332 0.412332 0.398911 0.398911 0.366855 0.38465 0.376104 0.290995 0.337771 0.371754 0.371754 0.371754 0.371754 0.367929 0.371784 0.376169 0.367908 0.367373 0.367233 0.361124 0.360935 0.369977 0.353914 0.376329 0.346005 0.32931 0.367063 0.383708 0.347961 0.347991 0.348367 0.345838 0.377349 0.362018 0.375593 0.378152 0.382023 0.379747 0.368708 0.371432 0.384084 0.404576 0.366323 0.402536 0.38353 0.377296 0.377296 0.376161 0.387494 0.317565 0.390862 0.350207 0.362056 0.37356 0.348812 0.385128 0.386319 0.339427 0.367233 0.361124 0.360935 0.369977 0.353914 0.366139 0.316306 0.362204 0.346425 0.358245 0.356644
0.356904 0.359881 0.327717 0.35533 0.341077 0.354354 0.276816 0.456095 1 0.493246 0.501233 0.487961 0.408338 0.408338 0.408338 0.416673 0.416673 0.34714 0.377068 0.381541 0.322727 0.339693 0.33403 0.33403 0.33403 0.33403 0.341865 0.337017 0.338979 0.34939 0.345364 0.326557 0.303249 0.326235 0.318427 0.317954 0.349005 0.324503 0.314914 0.333958 0.325782 0.320294 0.320367 0.320145 0.318185 0.330849 0.337338 0.360392 0.353373 0.359409 0.356074 0.351002 0.338261 0.329275 0.365433 0.335603 0.329267 0.32355 0.329077 0.329077 0.320235 0.314131 0.276816 0.326056 0.335445 0.331121 0.321322 0.334089 0.347307 0.368874 0.321041 0.326557 0.303249 0.326235 0.318427 0.317954 0.323341 0.266913 0.32878 0.309425 0.326323 0.327245
0.375564 0.36361 0.331208 0.371161 0.343341 0.35653 0.289429 0.46523 0.499571 1 0.44752 0.463293 0.391645 0.391645 0.391645 0.38239 0.38239 0.328302 0.355007 0.357328 0.301049 0.322166 0.344631 0.344631 0.344631 0.344631 0.324351 0.338435 0.346383 0.340271 0.342149 0.326203 0.308972 0.323907 0.327665 0.332431 0.349759 0.318478 0.308116 0.350096 0.335036 0.307617 0.30581 0.306658 0.307608 0.31282 0.334198 0.35388 0.352982 0.353512 0.347456 0.337296 0.341639 0.33632 0.345071 0.326205 0.332018 0.326009 0.327342 0.327342 0.328665 0.32606 0.289429 0.346704 0.332168 0.341581 0.334083 0.3106 0.353795 0.3333 0.321811 0.326203 0.308972 0.323907 0.327665 0.332431 0.329411 0.281849 0.332316 0.32445 0.329032 0.327438
