C1906x2TS003_1 C1906x2TS044_1 C1906x2TS049_1 C1906x2TS049_2 C1906x2TS049_3 C1906x2TS049_4 C1906x2TS049_5 C1906x2TS067_1 C1906x2TS067_2 C1906x2TS067_3 C1906x2TS067_4 C1906x2TS067_5 C1906x2TS073_1 C1906x2TS073_2 C1906x2TS073_3 C1906x2TS073_4 C1906x2TS073_5 C1906x2TS121_1 C1906x2TS121_2 C1906x2TS123_1 C1906x2TS123_2 C1906x2TS123_3 C1906x2TS123_4 C1906x2TS123_5 C1906x2TS215_1 C1906x2TS215_2 C1906x2TS215_3 C1906x2TS215_4 C1906x2TS215_5 C1906x2TS228_1 C1906x2TS301_1 C1906x2TS301_2 C1906x2TS389_1 C1906x2TS389_2 C1906x2TS389_3 C1906x2TS389_4 C1906x2TS389_5
1 0.3387 0.0565 0.0590 0.0706 0.0905 0.0701 0.2841 0.2532 0.2841 0.2541 0.2532 0.3121 0.3148 0.3145 0.3220 0.3111 0.2462 0.1197 0.2631 0.2721 0.2547 0.2460 0.2765 0.3111 0.3071 0.3004 0.3044 0.3037 0.3102 0.3387 0.3387 0.3389 0.3374 0.3387 0.3343 0.3360
0.2816 1 0.0461 0.0470 0.0547 0.0708 0.0553 0.2643 0.2226 0.2643 0.2423 0.2226 0.4112 0.4012 0.4228 0.4167 0.4005 0.2671 0.1248 0.2623 0.2706 0.3000 0.2911 0.2611 0.4713 0.4011 0.4314 0.3989 0.4796 0.5028 1.0000 1.0000 0.4800 0.4853 0.4979 0.4970 0.4992
0.3620 0.3519 1 0.1161 0.1428 0.1734 0.1330 0.3426 0.3712 0.3426 0.3631 0.3712 0.3584 0.3477 0.3563 0.3576 0.3649 0.3525 0.1812 0.3504 0.3319 0.3010 0.3062 0.3419 0.3533 0.3521 0.3342 0.3312 0.3371 0.3470 0.3519 0.3519 0.3598 0.3610 0.3536 0.3507 0.3500
0.3620 0.3444 0.1159 1 0.1806 0.2044 0.1564 0.3566 0.3676 0.3566 0.3676 0.3676 0.3338 0.3450 0.3397 0.3428 0.3413 0.3367 0.1671 0.3265 0.3306 0.2943 0.2955 0.3367 0.3353 0.3362 0.3218 0.3292 0.3267 0.3349 0.3444 0.3444 0.3446 0.3374 0.3330 0.3345 0.3321
0.3785 0.3704 0.1244 0.1484 1 0.2112 0.1660 0.3561 0.3536 0.3561 0.3424 0.3536 0.3664 0.3761 0.3706 0.3782 0.3726 0.3459 0.1754 0.3462 0.3500 0.3221 0.3316 0.3501 0.3642 0.3497 0.3563 0.3530 0.3567 0.3548 0.3704 0.3704 0.3615 0.3718 0.3651 0.3620 0.3651
0.4106 0.3856 0.1238 0.1538 0.1877 1 0.1754 0.3720 0.3794 0.3720 0.3787 0.3794 0.3825 0.3932 0.3925 0.3829 0.3815 0.3617 0.1952 0.3772 0.3750 0.3446 0.3461 0.3818 0.3830 0.3865 0.3789 0.3820 0.3809 0.3780 0.3856 0.3856 0.3816 0.3794 0.3743 0.3705 0.3741
0.3110 0.3036 0.0918 0.1075 0.1332 0.1579 1 0.3026 0.3217 0.3026 0.3007 0.3217 0.3129 0.3157 0.3045 0.3175 0.3114 0.3072 0.1645 0.2896 0.2880 0.2832 0.2783 0.3111 0.3163 0.3097 0.3072 0.2959 0.3056 0.3053 0.3036 0.3035 0.3096 0.3037 0.3034 0.3040 0.3040
0.2400 0.2689 0.0461 0.0496 0.0556 0.0704 0.0568 1 0.2275 1.0000 0.2248 0.2275 0.2425 0.2496 0.2414 0.2369 0.2376 0.2316 0.1132 0.2233 0.2174 0.2089 0.2066 0.2314 0.2719 0.2584 0.2424 0.2480 0.2668 0.2270 0.2689 0.2689 0.2422 0.2418 0.2508 0.2506 0.2496
0.2365 0.2499 0.0539 0.0582 0.0612 0.0764 0.0634 0.2536 1 0.2536 0.6512 1.0000 0.2596 0.2583 0.2560 0.2660 0.2584 0.2593 0.1419 0.2277 0.2259 0.2090 0.2124 0.2390 0.2546 0.2415 0.2386 0.2324 0.2562 0.2464 0.2499 0.2499 0.2635 0.2649 0.2698 0.2658 0.2660
0.2400 0.2689 0.0461 0.0496 0.0556 0.0704 0.0568 1.0000 0.2275 1 0.2248 0.2275 0.2425 0.2496 0.2414 0.2369 0.2376 0.2316 0.1132 0.2233 0.2174 0.2089 0.2066 0.2314 0.2719 0.2584 0.2424 0.2480 0.2668 0.2270 0.2689 0.2689 0.2422 0.2418 0.2508 0.2506 0.2496
