C1908x2TS003_1 C1908x2TS026_1 C1908x2TS026_2 C1908x2TS049_1 C1908x2TS049_2 C1908x2TS049_3 C1908x2TS049_4 C1908x2TS049_5 C1908x2TS067_1 C1908x2TS067_2 C1908x2TS067_3 C1908x2TS067_4 C1908x2TS067_5 C1908x2TS073_1 C1908x2TS073_2 C1908x2TS073_3 C1908x2TS073_4 C1908x2TS073_5 C1908x2TS103_1 C1908x2TS103_2 C1908x2TS103_3 C1908x2TS123_1 C1908x2TS123_2 C1908x2TS123_3 C1908x2TS123_4 C1908x2TS123_5 C1908x2TS131_1 C1908x2TS131_2 C1908x2TS131_3 C1908x2TS131_4 C1908x2TS131_5 C1908x2TS179_1 C1908x2TS210_1 C1908x2TS210_2 C1908x2TS210_3 C1908x2TS210_4 C1908x2TS210_5 C1908x2TS215_1 C1908x2TS215_2 C1908x2TS215_3 C1908x2TS215_4 C1908x2TS215_5 C1908x2TS228_1 C1908x2TS228_2 C1908x2TS228_3 C1908x2TS228_4 C1908x2TS228_5 C1908x2TS270_1 C1908x2TS345_1 C1908x2TS345_2 C1908x2TS345_3 C1908x2TS345_4 C1908x2TS345_5 C1908x2TS389_1 C1908x2TS389_2 C1908x2TS389_3 C1908x2TS389_4 C1908x2TS389_5 C1908x2TS404_1 C1908x2TS404_2 C1908x2TS404_3 C1908x2TS404_4 C1908x2TS404_5 C1908x2TS405_1 C1908x2TS405_2 C1908x2TS405_3 C1908x2TS405_4 C1908x2TS405_5 C1908x2TS432_1
1 0.0652 0.0860 0.1662 0.1269 0.1366 0.1525 0.1267 0.2278 0.2402 0.2295 0.2356 0.2239 0.2383 0.2527 0.2611 0.2539 0.2528 0.2374 0.2731 0.1941 0.2242 0.2077 0.2422 0.2422 0.2422 0.2087 0.2065 0.2083 0.2172 0.2041 0.2564 0.2357 0.2320 0.2311 0.2318 0.2190 0.2416 0.2402 0.2326 0.2361 0.2413 0.2409 0.2352 0.2508 0.2374 0.2131 0.2260 0.2280 0.2355 0.2538 0.2586 0.2295 0.2343 0.2277 0.2302 0.2248 0.2396 0.1915 0.2000 0.1869 0.1891 0.1910 0.2357 0.2320 0.2311 0.2318 0.2190 0.2352
0.2050 1 0.3107 0.1568 0.1087 0.1306 0.1285 0.1114 0.1946 0.2023 0.1919 0.1954 0.1831 0.2389 0.2468 0.2530 0.2509 0.2469 0.2534 0.2021 0.1695 0.2075 0.2149 0.2434 0.2434 0.2434 0.2225 0.2242 0.2241 0.2187 0.2183 0.2505 0.2505 0.2472 0.2535 0.2592 0.2478 0.2150 0.2345 0.2117 0.2138 0.2087 0.2154 0.2242 0.2193 0.2204 0.2346 0.2464 0.2332 0.2067 0.2043 0.2104 0.2662 0.2519 0.2412 0.2473 0.2369 0.2582 0.1633 0.1656 0.1682 0.1639 0.1633 0.2505 0.2472 0.2535 0.2592 0.2478 0.1992
0.2421 0.5327 1 0.2300 0.1317 0.1899 0.1776 0.1447 0.2290 0.2388 0.2318 0.2322 0.2209 0.2865 0.2939 0.2958 0.2938 0.2966 0.3042 0.2344 0.2041 0.2538 0.2505 0.2999 0.2999 0.2999 0.2576 0.2632 0.2603 0.2526 0.2577 0.3018 0.3014 0.2999 0.3057 0.3061 0.2953 0.2556 0.2825 0.2537 0.2619 0.2592 0.2525 0.2646 0.2631 0.2528 0.2723 0.2943 0.2812 0.2461 0.2417 0.2541 0.3188 0.2967 0.2931 0.2941 0.2876 0.2988 0.2251 0.2276 0.2296 0.2287 0.2287 0.3014 0.2999 0.3057 0.3061 0.2953 0.2418
0.2334 0.0786 0.1008 1 0.1721 0.2144 0.1876 0.1688 0.2151 0.2497 0.2135 0.2169 0.2085 0.3076 0.3024 0.3030 0.3115 0.2926 0.2345 0.2690 0.2171 0.2739 0.2847 0.2540 0.2540 0.2540 0.2438 0.2433 0.2439 0.2350 0.2493 0.3243 0.2847 0.2876 0.2993 0.2926 0.3020 0.2545 0.2916 0.2688 0.2674 0.2537 0.2875 0.3032 0.2929 0.3075 0.2982 0.2944 0.2930 0.2986 0.2860 0.3005 0.3246 0.3226 0.3125 0.3164 0.2938 0.3244 0.1973 0.1951 0.2037 0.1946 0.1951 0.2847 0.2876 0.2993 0.2926 0.3020 0.2449
0.2576 0.0722 0.0919 0.2329 1 0.2299 0.2071 0.2016 0.2463 0.2258 0.2435 0.2528 0.2477 0.2882 0.3063 0.3052 0.3194 0.3027 0.2375 0.3214 0.2085 0.2456 0.2446 0.2611 0.2611 0.2611 0.2076 0.2080 0.2114 0.2168 0.2164 0.3158 0.2916 0.2833 0.2964 0.2835 0.2788 0.2785 0.2726 0.2694 0.2777 0.2780 0.2925 0.2706 0.2897 0.2941 0.2651 0.2683 0.2967 0.3006 0.3183 0.3069 0.3081 0.2841 0.2747 0.2759 0.2679 0.2885 0.2232 0.2286 0.2234 0.2233 0.2200 0.2916 0.2833 0.2964 0.2835 0.2788 0.2858
0.2306 0.0779 0.1015 0.2438 0.1904 1 0.2618 0.2191 0.2575 0.2573 0.2550 0.2546 0.2561 0.3482 0.3142 0.3202 0.3240 0.2937 0.2346 0.3132 0.2093 0.2946 0.3083 0.3048 0.3048 0.3048 0.2333 0.2368 0.2379 0.2306 0.2311 0.3368 0.3352 0.3281 0.3298 0.3150 0.3446 0.3367 0.3184 0.3439 0.3234 0.3428 0.3300 0.3440 0.3471 0.3400 0.3669 0.3406 0.3699 0.3484 0.3637 0.3444 0.3811 0.3663 0.3506 0.3538 0.3558 0.3726 0.2592 0.2554 0.2713 0.2540 0.2583 0.3352 0.3281 0.3298 0.3150 0.3446 0.3061
0.2581 0.0778 0.0993 0.2290 0.1861 0.2750 1 0.2005 0.2493 0.2761 0.2463 0.2456 0.2455 0.3079 0.3110 0.3190 0.3161 0.2993 0.2405 0.3343 0.2011 0.2904 0.2816 0.2993 0.2993 0.2993 0.2178 0.2220 0.2207 0.2140 0.2198 0.3093 0.2678 0.2629 0.2770 0.2637 0.2809 0.2945 0.2984 0.3118 0.2937 0.2883 0.2926 0.2927 0.2923 0.3070 0.2832 0.2908 0.3593 0.3381 0.3155 0.3414 0.3311 0.3159 0.3111 0.3139 0.3059 0.3263 0.2572 0.2519 0.2427 0.2463 0.2605 0.2678 0.2629 0.2770 0.2637 0.2809 0.2869
0.2376 0.0682 0.0854 0.2130 0.1782 0.2420 0.2083 1 0.2304 0.2515 0.2271 0.2296 0.2278 0.2936 0.2765 0.2849 0.2884 0.2765 0.2250 0.2952 0.1762 0.2536 0.2862 0.2672 0.2672 0.2672 0.2264 0.2240 0.2275 0.2201 0.2220 0.3099 0.2843 0.2807 0.2857 0.2689 0.3060 0.2905 0.2775 0.2825 0.2850 0.2919 0.2888 0.3149 0.2950 0.3007 0.3093 0.3206 0.3040 0.3053 0.3040 0.2830 0.3294 0.3157 0.3063 0.3046 0.3002 0.3254 0.2111 0.2100 0.2151 0.2093 0.2109 0.2843 0.2807 0.2857 0.2689 0.3060 0.2797
0.2491 0.0654 0.0866 0.1615 0.1350 0.1686 0.1572 0.1380 1 0.2431 0.8144 0.8301 0.8087 0.2614 0.2542 0.2618 0.2505 0.2512 0.2391 0.2710 0.1949 0.2235 0.2023 0.2192 0.2192 0.2192 0.2073 0.2063 0.2066 0.2021 0.2017 0.2599 0.2384 0.2369 0.2389 0.2394 0.2372 0.2330 0.2498 0.2340 0.2289 0.2231 0.2587 0.2431 0.2324 0.2459 0.2379 0.2082 0.2462 0.2377 0.2670 0.2393 0.2551 0.2587 0.2484 0.2588 0.2507 0.2616 0.1953 0.1938 0.1854 0.1890 0.1916 0.2384 0.2369 0.2389 0.2394 0.2372 0.2098
0.2320 0.0610 0.0832 0.1662 0.1118 0.1438 0.1488 0.1258 0.2154 1 0.2172 0.2205 0.2076 0.2465 0.2377 0.2294 0.2504 0.2278 0.2119 0.2335 0.1824 0.2262 0.2209 0.2096 0.2096 0.2096 0.1935 0.1947 0.1932 0.1892 0.1953 0.2409 0.2217 0.2253 0.2156 0.2108 0.2129 0.2429 0.2499 0.2469 0.2432 0.2428 0.2482 0.2370 0.2213 0.2364 0.2219 0.2389 0.2525 0.2632 0.2440 0.2524 0.2582 0.2500 0.2390 0.2431 0.2370 0.2524 0.1890 0.1879 0.1780 0.1794 0.1913 0.2217 0.2253 0.2156 0.2108 0.2129 0.2208
0.2450 0.0646 0.0858 0.1561 0.1310 0.1634 0.1530 0.1320 0.8097 0.2413 1 0.8160 0.7850 0.2597 0.2488 0.2585 0.2467 0.2466 0.2350 0.2642 0.1912 0.2167 0.2005 0.2176 0.2176 0.2176 0.2063 0.2074 0.2061 0.2031 0.2000 0.2532 0.2308 0.2289 0.2319 0.2334 0.2302 0.2313 0.2414 0.2291 0.2174 0.2217 0.2510 0.2393 0.2265 0.2380 0.2322 0.2067 0.2428 0.2298 0.2606 0.2320 0.2468 0.2511 0.2421 0.2507 0.2445 0.2558 0.1904 0.1885 0.1809 0.1855 0.1861 0.2308 0.2289 0.2319 0.2334 0.2302 0.2060
0.2355 0.0606 0.0801 0.1484 0.1270 0.1516 0.1431 0.1253 0.7683 0.2279 0.7612 1 0.7350 0.2461 0.2379 0.2507 0.2364 0.2346 0.2196 0.2580 0.1810 0.2039 0.1886 0.2107 0.2107 0.2107 0.2014 0.2033 0.2023 0.1987 0.1985 0.2462 0.2180 0.2183 0.2212 0.2224 0.2158 0.2313 0.2301 0.2201 0.2092 0.2215 0.2345 0.2250 0.2181 0.2267 0.2180 0.1934 0.2257 0.2210 0.2570 0.2248 0.2319 0.2352 0.2273 0.2356 0.2300 0.2388 0.1791 0.1779 0.1705 0.1747 0.1754 0.2180 0.2183 0.2212 0.2224 0.2158 0.2043
0.2515 0.0657 0.0860 0.1614 0.1399 0.1736 0.1606 0.1404 0.8419 0.2423 0.8249 0.8261 1 0.2657 0.2525 0.2606 0.2507 0.2545 0.2403 0.2756 0.1930 0.2260 0.2025 0.2206 0.2206 0.2206 0.2061 0.2061 0.2069 0.2021 0.1998 0.2619 0.2355 0.2324 0.2390 0.2398 0.2390 0.2421 0.2464 0.2367 0.2275 0.2287 0.2559 0.2473 0.2353 0.2473 0.2433 0.2104 0.2525 0.2406 0.2754 0.2424 0.2583 0.2620 0.2513 0.2619 0.2530 0.2657 0.2002 0.1985 0.1907 0.1951 0.1963 0.2355 0.2324 0.2390 0.2398 0.2390 0.2121
0.2011 0.0714 0.0890 0.1744 0.1214 0.1767 0.1485 0.1316 0.2019 0.2175 0.2045 0.2078 0.1988 1 0.4232 0.4009 0.3835 0.3952 0.2175 0.2390 0.1664 0.2425 0.2722 0.2526 0.2526 0.2526 0.2580 0.2675 0.2584 0.2516 0.2594 0.3358 0.3188 0.3176 0.3255 0.3157 0.3282 0.3145 0.2994 0.2880 0.2902 0.3184 0.3270 0.3269 0.3067 0.3230 0.3232 0.2968 0.2796 0.2765 0.2695 0.2748 0.3101 0.3591 0.3517 0.3479 0.3469 0.3698 0.1896 0.1897 0.1864 0.1843 0.1907 0.3188 0.3176 0.3255 0.3157 0.3282 0.3059
0.2197 0.0746 0.0943 0.1816 0.1331 0.1649 0.1558 0.1326 0.2025 0.2151 0.2009 0.2062 0.1949 0.4354 1 0.4582 0.4151 0.4525 0.2264 0.2507 0.1698 0.2616 0.2645 0.2692 0.2692 0.2692 0.2564 0.2682 0.2651 0.2556 0.2617 0.3392 0.3112 0.3167 0.3295 0.3259 0.3159 0.2875 0.3010 0.2969 0.2979 0.3093 0.3234 0.2975 0.3159 0.3186 0.3030 0.2831 0.2810 0.2722 0.2773 0.2850 0.2987 0.3339 0.3274 0.3279 0.3200 0.3455 0.1929 0.1996 0.1894 0.1858 0.1972 0.3112 0.3167 0.3295 0.3259 0.3159 0.3022
0.2217 0.0716 0.0893 0.1778 0.1281 0.1616 0.1557 0.1286 0.2033 0.2027 0.2036 0.2126 0.1957 0.4023 0.4520 1 0.4224 0.4239 0.2153 0.2462 0.1654 0.2531 0.2384 0.2605 0.2605 0.2605 0.2457 0.2575 0.2497 0.2453 0.2512 0.3290 0.2831 0.2853 0.2873 0.2830 0.2866 0.3082 0.2903 0.2922 0.2902 0.3186 0.3022 0.2925 0.2889 0.3003 0.2865 0.2702 0.2808 0.2717 0.2803 0.2862 0.3008 0.3288 0.3151 0.3240 0.3085 0.3390 0.1931 0.1967 0.1850 0.1849 0.1969 0.2831 0.2853 0.2873 0.2830 0.2866 0.2887
0.2073 0.0703 0.0876 0.1757 0.1276 0.1564 0.1467 0.1282 0.1874 0.2133 0.1875 0.1924 0.1816 0.3699 0.3929 0.4063 1 0.3841 0.2177 0.2433 0.1616 0.2337 0.2564 0.2602 0.2602 0.2602 0.2366 0.2460 0.2415 0.2480 0.2417 0.3335 0.2958 0.2935 0.2919 0.2931 0.2869 0.3009 0.2866 0.2793 0.2775 0.2953 0.2978 0.2918 0.2845 0.2994 0.2822 0.2703 0.2802 0.2620 0.2587 0.2602 0.3020 0.3147 0.3042 0.3082 0.3009 0.3237 0.1857 0.1873 0.1819 0.1789 0.1892 0.2958 0.2935 0.2919 0.2931 0.2869 0.2770
0.2194 0.0759 0.0946 0.1724 0.1293 0.1543 0.1483 0.1287 0.1987 0.2059 0.1978 0.2017 0.1950 0.4032 0.4507 0.4306 0.4018 1 0.2196 0.2425 0.1737 0.2462 0.2634 0.2612 0.2612 0.2612 0.2587 0.2647 0.2612 0.2568 0.2551 0.3411 0.2955 0.2970 0.3117 0.3060 0.2976 0.2884 0.2991 0.2881 0.2879 0.3065 0.3127 0.2884 0.2980 0.3146 0.2887 0.2790 0.2687 0.2620 0.2650 0.2742 0.2897 0.3186 0.3111 0.3182 0.2975 0.3299 0.1887 0.1955 0.1821 0.1845 0.1953 0.2955 0.2970 0.3117 0.3060 0.2976 0.2957
0.2212 0.0767 0.1008 0.1503 0.1108 0.1287 0.1252 0.1148 0.2026 0.2017 0.2012 0.2020 0.1958 0.2401 0.2430 0.2372 0.2494 0.2375 1 0.2181 0.1983 0.2203 0.2058 0.2345 0.2345 0.2345 0.2703 0.2706 0.2744 0.2726 0.2686 0.2400 0.2372 0.2393 0.2370 0.2452 0.2285 0.2063 0.2597 0.2200 0.2251 0.2172 0.2323 0.2484 0.2164 0.2335 0.2221 0.2359 0.2350 0.1999 0.2059 0.1947 0.2357 0.2464 0.2359 0.2407 0.2280 0.2515 0.1739 0.1725 0.1667 0.1647 0.1786 0.2372 0.2393 0.2370 0.2452 0.2285 0.2066
0.2418 0.0599 0.0769 0.1669 0.1395 0.1660 0.1697 0.1437 0.2191 0.2168 0.2185 0.2280 0.2179 0.2535 0.2570 0.2593 0.2657 0.2495 0.2073 1 0.1834 0.2227 0.2185 0.2453 0.2453 0.2453 0.1927 0.1998 0.1986 0.1914 0.1941 0.2706 0.2574 0.2495 0.2487 0.2409 0.2397 0.2795 0.2570 0.2509 0.2501 0.2512 0.2759 0.2561 0.2735 0.2751 0.2448 0.2380 0.2478 0.2894 0.2717 0.2613 0.2663 0.2494 0.2498 0.2558 0.2472 0.2640 0.1933 0.1923 0.1856 0.1883 0.1945 0.2574 0.2495 0.2487 0.2409 0.2397 0.2406
