C1904d1TS003_1 C1904d1TS010_1 C1904d1TS010_2 C1904d1TS010_3 C1904d1TS010_4 C1904d1TS010_5 C1904d1TS049_1 C1904d1TS049_2 C1904d1TS049_3 C1904d1TS049_4 C1904d1TS049_5 C1904d1TS067_1 C1904d1TS067_2 C1904d1TS067_3 C1904d1TS067_4 C1904d1TS067_5 C1904d1TS073_1 C1904d1TS073_2 C1904d1TS073_3 C1904d1TS073_4 C1904d1TS073_5 C1904d1TS103_1 C1904d1TS103_2 C1904d1TS121_1 C1904d1TS121_2 C1904d1TS123_1 C1904d1TS123_2 C1904d1TS123_3 C1904d1TS123_4 C1904d1TS123_5 C1904d1TS131_1 C1904d1TS131_2 C1904d1TS131_3 C1904d1TS131_4 C1904d1TS131_5 C1904d1TS210_1 C1904d1TS210_2 C1904d1TS210_3 C1904d1TS210_4 C1904d1TS210_5 C1904d1TS215_1 C1904d1TS215_2 C1904d1TS215_3 C1904d1TS215_4 C1904d1TS215_5 C1904d1TS228_1 C1904d1TS228_2 C1904d1TS228_3 C1904d1TS228_4 C1904d1TS228_5 C1904d1TS240_1 C1904d1TS240_2 C1904d1TS240_3 C1904d1TS240_4 C1904d1TS240_5 C1904d1TS247_1 C1904d1TS247_2 C1904d1TS247_3 C1904d1TS247_4 C1904d1TS247_5 C1904d1TS258_1 C1904d1TS258_2 C1904d1TS258_3 C1904d1TS258_4 C1904d1TS258_5 C1904d1TS273_1 C1904d1TS273_2 C1904d1TS273_3 C1904d1TS273_4 C1904d1TS273_5 C1904d1TS347_1 C1904d1TS347_2 C1904d1TS347_3 C1904d1TS404_1 C1904d1TS404_2 C1904d1TS404_3 C1904d1TS404_4 C1904d1TS404_5 C1904d1TS405_1 C1904d1TS405_2 C1904d1TS405_3 C1904d1TS405_4 C1904d1TS405_5 C1904d1TS432_1 C1904d1TS438_1 C1904d1TS438_2 C1904d1TS438_3 C1904d1TS438_4 C1904d1TS438_5
1 0.323902 0.324217 0.33129 0.327583 0.341852 0.229561 0.204375 0.207488 0.202651 0.187946 0.321443 0.325504 0.319143 0.323656 0.334865 0.32947 0.316468 0.320554 0.326157 0.326096 0.328338 0.33907 0.29995 0.301978 0.325679 0.325679 0.338633 0.314929 0.321671 0.321372 0.318109 0.320743 0.320238 0.325999 0.309403 0.319303 0.316046 0.307288 0.30852 0.332816 0.335464 0.301233 0.333855 0.306987 0.331221 0.332721 0.336833 0.332861 0.323416 0.338516 0.325243 0.322214 0.334368 0.338289 0.333535 0.327591 0.336448 0.332869 0.3365 0.32058 0.325838 0.321571 0.317886 0.314967 0.343357 0.343357 0.354583 0.35442 0.321244 0.325232 0.317862 0.330811 0.326721 0.327219 0.329408 0.331416 0.326661 0.309403 0.307288 0.30852 0.332596 0.313044 0.315024 0.329577 0.301848 0.324751 0.328017 0.325854
0.211533 1 0.43411 0.385124 0.399459 0.366962 0.125448 0.0951541 0.0899158 0.0812482 0.0893179 0.267747 0.283614 0.286508 0.28657 0.273895 0.301632 0.283205 0.310876 0.297187 0.304874 0.355435 0.264234 0.318114 0.292308 0.376836 0.376836 0.353235 0.344953 0.357675 0.385236 0.373819 0.390061 0.386401 0.384161 0.387248 0.368315 0.358315 0.352391 0.346519 0.341809 0.381019 0.346892 0.300434 0.349199 0.33743 0.340445 0.347472 0.334855 0.358482 0.343548 0.3166 0.334372 0.335707 0.339817 0.369859 0.352618 0.368349 0.373877 0.379659 0.358204 0.393011 0.398242 0.368358 0.378144 0.31996 0.31996 0.2923 0.307578 0.299744 0.316603 0.348202 0.281403 0.30814 0.308687 0.307589 0.308127 0.310297 0.387248 0.352391 0.346519 0.335894 0.352859 0.314903 0.38607 0.329629 0.373593 0.377928 0.365795
0.209251 0.446309 1 0.438758 0.444849 0.370247 0.121891 0.0866205 0.100554 0.0874318 0.0969789 0.258712 0.273731 0.300443 0.281187 0.267863 0.287868 0.301667 0.300905 0.287353 0.295868 0.38007 0.253417 0.323693 0.311746 0.377751 0.377751 0.35969 0.379258 0.366269 0.39579 0.39466 0.396944 0.395047 0.393948 0.344527 0.35193 0.351016 0.331244 0.32515 0.354283 0.362148 0.316898 0.310777 0.31531 0.325487 0.328411 0.323772 0.321698 0.344658 0.335747 0.312845 0.328618 0.33022 0.314411 0.353743 0.34552 0.350387 0.367083 0.356154 0.348192 0.367805 0.37368 0.357857 0.380994 0.326461 0.326461 0.296551 0.29487 0.30632 0.327943 0.350898 0.275957 0.302018 0.298621 0.300552 0.302404 0.302525 0.344527 0.331244 0.32515 0.337747 0.334889 0.307012 0.371746 0.35179 0.364928 0.357393 0.367621
0.23418 0.402705 0.446272 1 0.374841 0.381277 0.122565 0.103228 0.0999582 0.0939299 0.0976674 0.255143 0.293939 0.312872 0.251888 0.263647 0.31422 0.311674 0.337226 0.310975 0.321356 0.388891 0.265524 0.333335 0.330468 0.37807 0.37807 0.363198 0.389894 0.371437 0.430848 0.431855 0.43578 0.421882 0.428978 0.360147 0.364168 0.365249 0.351205 0.328262 0.389038 0.39898 0.367416 0.344951 0.353192 0.364877 0.37168 0.373395 0.355109 0.367516 0.354538 0.337599 0.335968 0.358862 0.326436 0.374772 0.365272 0.376735 0.371689 0.377765 0.361361 0.398648 0.402257 0.384882 0.386364 0.323328 0.323328 0.324 0.316285 0.323664 0.349865 0.353917 0.291768 0.333138 0.331697 0.3331 0.331665 0.336181 0.360147 0.351205 0.328262 0.358924 0.350405 0.305173 0.393027 0.332511 0.381762 0.389428 0.39338
0.216619 0.399737 0.436137 0.364995 1 0.371552 0.110223 0.0943993 0.103596 0.10961 0.108376 0.252309 0.286293 0.283852 0.276096 0.285966 0.317531 0.309432 0.302546 0.305842 0.313837 0.327955 0.273926 0.315216 0.30182 0.345883 0.345883 0.364864 0.359604 0.366248 0.40433 0.388645 0.405682 0.393049 0.383368 0.347739 0.368315 0.35035 0.333872 0.342567 0.365413 0.340304 0.335987 0.313976 0.321139 0.341653 0.338674 0.337338 0.335911 0.359446 0.349983 0.336997 0.335874 0.345433 0.358489 0.366287 0.361403 0.359833 0.366391 0.358398 0.345539 0.350214 0.35989 0.366402 0.365966 0.332875 0.332875 0.312928 0.316167 0.32044 0.325504 0.347734 0.265204 0.308301 0.306269 0.307246 0.310824 0.308242 0.347739 0.333872 0.342567 0.348875 0.342425 0.307399 0.369157 0.343108 0.363878 0.362304 0.358028
0.228263 0.370502 0.3793 0.366109 0.371315 1 0.124123 0.094215 0.112951 0.104446 0.0915059 0.264927 0.279198 0.267445 0.27636 0.277829 0.294619 0.297541 0.318527 0.295506 0.301325 0.330414 0.245797 0.293251 0.277379 0.332565 0.332565 0.344272 0.340732 0.329143 0.378379 0.373535 0.382861 0.364183 0.373079 0.356044 0.355077 0.343376 0.323451 0.330166 0.328394 0.35077 0.325392 0.302648 0.318006 0.354938 0.35267 0.353268 0.34871 0.352217 0.338319 0.33239 0.32435 0.33133 0.332125 0.348787 0.34329 0.347909 0.353182 0.354285 0.354911 0.35889 0.355783 0.359368 0.363953 0.348038 0.348038 0.330867 0.333292 0.313183 0.320865 0.318955 0.275044 0.298786 0.299043 0.302101 0.302892 0.30173 0.356044 0.323451 0.330166 0.352362 0.335273 0.322882 0.363379 0.326331 0.360764 0.360002 0.365238
0.443101 0.358846 0.33932 0.339585 0.349298 0.35722 1 0.524094 0.502915 0.508466 0.52774 0.420764 0.392654 0.384444 0.390779 0.402524 0.34838 0.344402 0.371368 0.375684 0.36406 0.337837 0.423709 0.32069 0.339831 0.343052 0.343052 0.357052 0.344302 0.360624 0.336882 0.345204 0.352571 0.353629 0.353631 0.332845 0.35848 0.352841 0.366781 0.376184 0.353526 0.358635 0.346809 0.368412 0.368252 0.369337 0.366321 0.372376 0.369921 0.366597 0.373458 0.372004 0.372652 0.372673 0.374809 0.359824 0.359441 0.360516 0.360849 0.376842 0.36878 0.345654 0.347377 0.357397 0.364797 0.36273 0.36273 0.374642 0.372073 0.384898 0.340708 0.345064 0.373292 0.390038 0.39082 0.393347 0.39358 0.392663 0.332845 0.366781 0.376184 0.372227 0.35564 0.352463 0.346196 0.339426 0.348869 0.341872 0.356783
0.463233 0.35074 0.344553 0.346947 0.352975 0.365048 0.566423 1 0.574988 0.58624 0.621958 0.432069 0.413038 0.399778 0.407068 0.430432 0.36481 0.372545 0.372457 0.38067 0.371893 0.346988 0.414858 0.32959 0.341312 0.348821 0.348821 0.36103 0.328683 0.359677 0.331632 0.345378 0.3472 0.351477 0.348061 0.344445 0.369831 0.354642 0.369616 0.382235 0.359142 0.34803 0.355189 0.361153 0.378499 0.361928 0.359693 0.36387 0.362651 0.365141 0.401009 0.397993 0.389467 0.38911 0.379433 0.355588 0.361217 0.36308 0.36177 0.366026 0.384976 0.356733 0.346152 0.353164 0.371368 0.364414 0.364414 0.376863 0.374862 0.40023 0.354119 0.348925 0.395723 0.428064 0.428121 0.431885 0.429385 0.429229 0.344445 0.369616 0.382235 0.390028 0.369115 0.364318 0.355025 0.346142 0.348719 0.344418 0.363899
0.418902 0.32857 0.330619 0.323088 0.339544 0.343358 0.500716 0.500327 1 0.517338 0.492586 0.405858 0.387914 0.379697 0.389516 0.394285 0.346822 0.35996 0.364598 0.374683 0.357903 0.333185 0.415996 0.310644 0.320793 0.325807 0.325807 0.335782 0.308987 0.335012 0.321895 0.330492 0.33184 0.328194 0.329338 0.315686 0.350994 0.339521 0.358658 0.366091 0.343071 0.336687 0.343866 0.34758 0.361755 0.3653 0.360877 0.36304 0.360493 0.352386 0.36707 0.364386 0.369374 0.360502 0.360724 0.324875 0.339534 0.348039 0.341038 0.352528 0.360366 0.337636 0.336601 0.345695 0.358935 0.337932 0.337932 0.350205 0.346282 0.375746 0.336079 0.329062 0.385067 0.398486 0.398766 0.40144 0.400007 0.399422 0.315686 0.358658 0.366091 0.366753 0.34805 0.344282 0.336622 0.319095 0.3275 0.334664 0.339126
0.439414 0.326047 0.32903 0.336621 0.348349 0.347355 0.530592 0.547837 0.553124 1 0.567122 0.401217 0.396355 0.394185 0.385136 0.401984 0.357182 0.353873 0.374976 0.36724 0.368632 0.340338 0.409861 0.322625 0.337739 0.343061 0.343061 0.34118 0.331045 0.3467 0.332495 0.339699 0.350438 0.342835 0.347178 0.332866 0.351428 0.347025 0.355877 0.370023 0.345707 0.354539 0.350317 0.364421 0.378129 0.362728 0.355958 0.359463 0.357495 0.35698 0.379516 0.382733 0.37568 0.379025 0.374595 0.339833 0.362749 0.344256 0.347889 0.363013 0.347298 0.336782 0.343835 0.345982 0.350533 0.353188 0.353188 0.374991 0.364571 0.381971 0.34255 0.337865 0.38135 0.404732 0.401353 0.404784 0.406319 0.40422 0.332866 0.355877 0.370023 0.36237 0.351399 0.339229 0.343501 0.334983 0.342628 0.336483 0.355086
