model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top20  cs_top50  cs_all
C1904d1TS210_1  [0.444]  0.410    0.433    0.427    0.422    0.416    0.409    0.411    0.407    0.403     0.393     0.377     0.340
C1904d1TS131_5  0.435    0.440    0.465    0.470    0.471    0.472    0.478    [0.475]  [0.474]  0.475     0.458     0.425     0.380
C1904d1TS131_2  0.430    [0.457]  [0.469]  [0.473]  0.471    [0.478]  [0.482]  [0.475]  [0.474]  0.477     0.459     0.424     0.378
C1904d1TS247_5  0.415    0.432    0.442    0.448    0.442    0.445    0.449    0.451    0.447    0.448     [0.465]   [0.452]   [0.406]
C1904d1TS210_2  0.398    0.399    0.412    0.418    0.424    0.424    0.426    0.431    0.429    0.429     0.445     0.443     0.399
C1904d1TS247_2  0.394    0.406    0.420    0.434    0.429    0.429    0.433    0.438    0.435    0.437     0.454     0.443     0.396
C1904d1TS405_5  0.371    0.366    0.389    0.394    0.394    0.400    0.399    0.404    0.408    0.406     0.418     0.412     0.370
C1904d1TS228_1  0.368    0.384    0.399    0.403    0.400    0.405    0.413    0.417    0.413    0.415     0.423     0.416     0.374
C1904d1TS010_2  0.328    0.349    0.357    0.370    0.373    0.372    0.375    0.375    0.374    0.378     0.377     0.375     0.343
C1904d1TS273_3  0.315    0.334    0.337    0.348    0.359    0.371    0.375    0.374    0.373    0.373     0.379     0.376     0.342
C1904d1TS067_5  0.286    0.260    0.231    0.218    0.209    0.204    0.200    0.198    0.198    0.196     0.189     0.185     0.191
C1904d1TS131_1  0        0.436    0.450    0.469    [0.473]  0.473    0.477    0.471    0.473    [0.479]   0.460     0.425     0.379
C1904d1TS228_2  0        0.388    0.405    0.410    0.407    0.409    0.418    0.421    0.417    0.418     0.428     0.419     0.377
C1904d1TS010_1  0        0.344    0.367    0.369    0.372    0.377    0.383    0.382    0.380    0.380     0.383     0.380     0.347
C1904d1TS010_5  0        0.343    0.348    0.362    0.377    0.377    0.375    0.373    0.377    0.378     0.370     0.368     0.336
C1904d1TS273_4  0        0.338    0.341    0.350    0.359    0.371    0.374    0.374    0.374    0.376     0.382     0.380     0.347
C1904d1TS273_1  0        0.333    0.338    0.346    0.352    0.363    0.370    0.373    0.371    0.370     0.379     0.375     0.341
C1904d1TS273_5  0        0.333    0.341    0.347    0.348    0.350    0.352    0.354    0.354    0.355     0.363     0.374     0.349
C1904d1TS121_1  0        0.271    0.278    0.282    0.283    0.293    0.292    0.293    0.292    0.293     0.298     0.299     0.284
C1904d1TS067_4  0        0.251    0.226    0.215    0.207    0.202    0.199    0.197    0.201    0.199     0.191     0.186     0.191
C1904d1TS247_3  0        0        0.433    0.441    0.436    0.437    0.442    0.444    0.442    0.443     0.459     [0.452]   0.405
C1904d1TS210_4  0        0        0.394    0.398    0.403    0.403    0.402    0.412    0.422    0.419     0.422     0.412     0.370
C1904d1TS210_5  0        0        0.390    0.395    0.395    0.397    0.398    0.402    0.408    0.406     0.415     0.410     0.370
C1904d1TS010_4  0        0        0.349    0.360    0.361    0.362    0.363    0.368    0.369    0.374     0.378     0.375     0.343
C1904d1TS438_2  0        0        0.330    0.336    0.338    0.340    0.342    0.343    0.343    0.345     0.350     0.358     0.331
C1904d1TS073_3  0        0        0.320    0.325    0.337    0.337    0.338    0.340    0.339    0.339     0.350     0.355     0.327
C1904d1TS347_1  0        0        0.304    0.309    0.311    0.312    0.313    0.315    0.315    0.317     0.321     0.325     0.314
C1904d1TS247_1  0        0        0        0.434    0.430    0.430    0.439    0.441    0.439    0.440     0.456     0.447     0.399
C1904d1TS405_4  0        0        0        0.408    0.407    0.407    0.412    0.415    0.416    0.414     0.428     0.419     0.377
C1904d1TS258_3  0        0        0        0.395    0.397    0.402    0.403    0.406    0.406    0.414     0.425     0.427     0.385
C1904d1TS123_3  0        0        0        0.352    0.353    0.356    0.357    0.359    0.359    0.361     0.375     0.376     0.344
C1904d1TS432_1  0        0        0        0.343    0.347    0.353    0.355    0.356    0.355    0.356     0.363     0.367     0.335
C1904d1TS073_2  0        0        0        0.308    0.315    0.315    0.322    0.322    0.321    0.321     0.325     0.333     0.310
C1904d1TS228_5  0        0        0        0        0.418    0.419    0.423    0.430    0.428    0.428     0.445     0.437     0.391
C1904d1TS010_3  0        0        0        0        0.366    0.369    0.370    0.376    0.379    0.380     0.384     0.382     0.352
C1904d1TS123_4  0        0        0        0        0.336    0.341    0.341    0.343    0.346    0.351     0.360     0.358     0.325
C1904d1TS073_5  0        0        0        0        0.320    0.322    0.324    0.325    0.325    0.326     0.334     0.345     0.320
C1904d1TS438_1  0        0        0        0        0        0.406    0.408    0.416    0.419    0.420     0.437     0.438     0.397
C1904d1TS240_4  0        0        0        0        0        0.370    0.378    0.381    0.380    0.383     0.394     0.405     0.367
C1904d1TS073_1  0        0        0        0        0        0        0.314    0.316    0.315    0.316     0.326     0.334     0.311
C1904d1TS210_3  0        0        0        0        0        0        0        0.417    0.415    0.415     0.439     0.431     0.385
C1904d1TS438_3  0        0        0        0        0        0        0        0.412    0.414    0.415     0.431     0.434     0.393
C1904d1TS240_1  0        0        0        0        0        0        0        0.393    0.393    0.394     0.405     0.414     0.377
C1904d1TS240_5  0        0        0        0        0        0        0        0.379    0.379    0.380     0.390     0.401     0.365
C1904d1TS215_1  0        0        0        0        0        0        0        0.373    0.372    0.374     0.380     0.384     0.360
C1904d1TS103_1  0        0        0        0        0        0        0        0.329    0.331    0.332     0.336     0.342     0.323
C1904d1TS247_4  0        0        0        0        0        0        0        0        0.430    0.432     0.454     0.446     0.400
C1904d1TS123_1  0        0        0        0        0        0        0        0        0.343    0.344     0.351     0.357     0.332
