C1903d1TS003_1 C1903d1TS044_1 C1903d1TS049_1 C1903d1TS049_2 C1903d1TS049_3 C1903d1TS049_4 C1903d1TS049_5 C1903d1TS067_1 C1903d1TS067_2 C1903d1TS067_3 C1903d1TS067_4 C1903d1TS067_5 C1903d1TS073_1 C1903d1TS073_2 C1903d1TS073_3 C1903d1TS073_4 C1903d1TS073_5 C1903d1TS103_1 C1903d1TS121_1 C1903d1TS121_2 C1903d1TS123_1 C1903d1TS123_2 C1903d1TS123_3 C1903d1TS123_4 C1903d1TS123_5 C1903d1TS131_1 C1903d1TS131_2 C1903d1TS131_3 C1903d1TS131_4 C1903d1TS131_5 C1903d1TS210_1 C1903d1TS210_2 C1903d1TS210_3 C1903d1TS210_4 C1903d1TS210_5 C1903d1TS215_1 C1903d1TS215_2 C1903d1TS215_3 C1903d1TS215_4 C1903d1TS215_5 C1903d1TS228_1 C1903d1TS228_2 C1903d1TS228_3 C1903d1TS228_4 C1903d1TS228_5 C1903d1TS240_1 C1903d1TS240_2 C1903d1TS240_3 C1903d1TS240_4 C1903d1TS240_5 C1903d1TS247_1 C1903d1TS247_2 C1903d1TS247_3 C1903d1TS247_4 C1903d1TS247_5 C1903d1TS258_1 C1903d1TS258_2 C1903d1TS258_3 C1903d1TS258_4 C1903d1TS258_5 C1903d1TS270_1 C1903d1TS273_1 C1903d1TS273_2 C1903d1TS273_3 C1903d1TS273_4 C1903d1TS273_5 C1903d1TS301_1 C1903d1TS347_1 C1903d1TS347_2 C1903d1TS347_3 C1903d1TS405_1 C1903d1TS405_2 C1903d1TS405_3 C1903d1TS405_4 C1903d1TS405_5 C1903d1TS438_1 C1903d1TS438_2 C1903d1TS438_3 C1903d1TS438_4 C1903d1TS438_5
1 0.2808 0.0554 0.0652 0.0503 0.0638 0.0849 0.2711 0.2711 0.2711 0.2336 0.2336 0.2860 0.2796 0.2808 0.2814 0.2908 0.2670 0.2612 0.1731 0.2430 0.2737 0.2737 0.2737 0.2461 0.2899 0.2863 0.2856 0.2844 0.2840 0.2636 0.2462 0.2461 0.2810 0.2861 0.2830 0.2584 0.2741 0.2789 0.2513 0.2712 0.2698 0.2720 0.2717 0.2544 0.2922 0.2909 0.2982 0.2966 0.2955 0.2598 0.2724 0.2557 0.2552 0.2250 0.2733 0.2824 0.2816 0.2920 0.2697 0.2456 0.2852 0.2873 0.2867 0.2868 0.2850 0.2808 0.2715 0.2760 0.2600 0.2636 0.2462 0.2461 0.2503 0.2563 0.2837 0.1522 0.1899 0.1864 0.2832
0.2384 1 0.0386 0.0488 0.0386 0.0457 0.0596 0.3000 0.3000 0.3000 0.2494 0.2494 0.3634 0.3447 0.3416 0.3420 0.3579 0.2977 0.2738 0.1796 0.2854 0.3084 0.3084 0.3084 0.3017 0.4202 0.4110 0.4061 0.4026 0.4051 0.3331 0.3242 0.3315 0.3991 0.3929 0.3668 0.3132 0.3218 0.3923 0.3315 0.3465 0.3462 0.3490 0.3439 0.3447 0.3848 0.3669 0.3758 0.3761 0.3725 0.3480 0.3639 0.3529 0.3517 0.2953 0.3666 0.4205 0.4185 0.3836 0.3978 0.3004 0.3239 0.3560 0.3543 0.3555 0.3538 1.0000 0.3197 0.3195 0.2850 0.3331 0.3242 0.3315 0.3268 0.3357 0.4331 0.2017 0.2337 0.2390 0.4361
0.3767 0.3343 1 0.1504 0.1022 0.1253 0.1863 0.3414 0.3414 0.3414 0.3335 0.3335 0.3468 0.3348 0.3520 0.3326 0.3372 0.3325 0.3578 0.2373 0.3199 0.3452 0.3452 0.3452 0.3141 0.3380 0.3347 0.3397 0.3376 0.3376 0.3437 0.3316 0.3253 0.3371 0.3462 0.3450 0.3411 0.3280 0.3363 0.3356 0.3355 0.3324 0.3348 0.3374 0.3048 0.3455 0.3472 0.3386 0.3459 0.3410 0.3016 0.3111 0.3079 0.3050 0.2694 0.3385 0.3364 0.3407 0.3378 0.3336 0.3266 0.3531 0.3300 0.3291 0.3289 0.3304 0.3343 0.3438 0.3412 0.3476 0.3437 0.3316 0.3253 0.3247 0.3244 0.3335 0.1749 0.2079 0.2175 0.3363
0.3899 0.3602 0.1206 1 0.1168 0.1468 0.2224 0.3570 0.3570 0.3570 0.3480 0.3480 0.3652 0.3630 0.3659 0.3725 0.3669 0.3397 0.3493 0.2316 0.3342 0.3521 0.3521 0.3521 0.3237 0.3549 0.3516 0.3549 0.3609 0.3552 0.3529 0.3533 0.3531 0.3517 0.3579 0.3726 0.3647 0.3576 0.3602 0.3638 0.3560 0.3531 0.3563 0.3575 0.3208 0.3571 0.3663 0.3608 0.3644 0.3634 0.3314 0.3299 0.3274 0.3249 0.2922 0.3588 0.3577 0.3575 0.3534 0.3537 0.3510 0.3575 0.3592 0.3575 0.3585 0.3565 0.3602 0.3495 0.3489 0.3573 0.3529 0.3533 0.3531 0.3538 0.3515 0.3493 0.1798 0.2176 0.2190 0.3505
0.3081 0.2966 0.0801 0.1126 1 0.1057 0.1542 0.2887 0.2887 0.2887 0.2845 0.2845 0.2999 0.3017 0.2920 0.3001 0.2985 0.2715 0.2629 0.1722 0.2497 0.2837 0.2837 0.2837 0.2685 0.2887 0.2899 0.2921 0.2936 0.2893 0.2716 0.2725 0.2757 0.2698 0.2783 0.2855 0.2768 0.2757 0.2834 0.2748 0.2770 0.2764 0.2775 0.2798 0.2529 0.2902 0.3011 0.3064 0.2961 0.3002 0.2493 0.2613 0.2596 0.2555 0.2188 0.2823 0.2925 0.2898 0.2744 0.2917 0.2574 0.2763 0.3138 0.3135 0.3135 0.3140 0.2966 0.2760 0.2792 0.2778 0.2716 0.2725 0.2757 0.2777 0.2783 0.2885 0.1432 0.1821 0.1804 0.2898
0.3802 0.3340 0.1030 0.1474 0.1050 1 0.1865 0.3419 0.3419 0.3419 0.3222 0.3222 0.3518 0.3603 0.3551 0.3592 0.3515 0.3032 0.3287 0.2270 0.2996 0.3456 0.3456 0.3456 0.2886 0.3389 0.3387 0.3422 0.3433 0.3440 0.3332 0.3194 0.3196 0.3498 0.3398 0.3452 0.3411 0.3438 0.3429 0.3274 0.3580 0.3531 0.3535 0.3617 0.3175 0.3410 0.3447 0.3387 0.3408 0.3383 0.3174 0.3203 0.3163 0.3164 0.2710 0.3357 0.3370 0.3394 0.3390 0.3319 0.3193 0.3443 0.3385 0.3389 0.3371 0.3380 0.3340 0.3331 0.3335 0.3304 0.3332 0.3194 0.3196 0.3220 0.3288 0.3340 0.1601 0.2115 0.2160 0.3323
0.3738 0.3179 0.1148 0.1571 0.1159 0.1457 1 0.3191 0.3191 0.3191 0.3256 0.3256 0.3369 0.3347 0.3409 0.3319 0.3392 0.3010 0.3224 0.2155 0.3015 0.3278 0.3278 0.3278 0.3011 0.3090 0.3126 0.3165 0.3160 0.3148 0.3197 0.3075 0.3086 0.3105 0.3162 0.3253 0.3298 0.3116 0.3255 0.3219 0.3232 0.3211 0.3216 0.3280 0.2827 0.3177 0.3191 0.3131 0.3231 0.3180 0.2924 0.2958 0.3026 0.3019 0.2636 0.3211 0.3146 0.3138 0.3107 0.3116 0.3032 0.3249 0.3258 0.3250 0.3258 0.3246 0.3179 0.3106 0.3095 0.3363 0.3197 0.3075 0.3086 0.3066 0.3098 0.3075 0.1484 0.1905 0.1960 0.3069
0.1911 0.2503 0.0335 0.0413 0.0309 0.0387 0.0477 1 0.9887 0.9887 0.2262 0.2262 0.2570 0.2396 0.2446 0.2427 0.2646 0.2269 0.2154 0.1507 0.2361 0.2292 0.2292 0.2292 0.2112 0.2633 0.2569 0.2577 0.2605 0.2585 0.2420 0.2313 0.2293 0.2497 0.2506 0.2422 0.2361 0.2462 0.2573 0.2431 0.2372 0.2373 0.2393 0.2373 0.2326 0.2563 0.2516 0.2552 0.2481 0.2543 0.2330 0.2493 0.2371 0.2375 0.1995 0.2606 0.2601 0.2680 0.2462 0.2552 0.2489 0.2533 0.2869 0.2857 0.2865 0.2864 0.2503 0.2772 0.2768 0.2206 0.2420 0.2313 0.2293 0.2322 0.2333 0.2636 0.1509 0.1739 0.1741 0.2655
0.1911 0.2503 0.0335 0.0413 0.0309 0.0387 0.0477 0.9887 1 0.9887 0.2262 0.2262 0.2570 0.2396 0.2446 0.2427 0.2646 0.2269 0.2154 0.1507 0.2361 0.2292 0.2292 0.2292 0.2112 0.2633 0.2569 0.2577 0.2605 0.2585 0.2420 0.2313 0.2293 0.2497 0.2506 0.2422 0.2361 0.2462 0.2573 0.2431 0.2372 0.2373 0.2393 0.2373 0.2326 0.2563 0.2516 0.2552 0.2481 0.2543 0.2330 0.2493 0.2371 0.2375 0.1995 0.2606 0.2601 0.2680 0.2462 0.2552 0.2489 0.2533 0.2869 0.2857 0.2865 0.2864 0.2503 0.2772 0.2768 0.2206 0.2420 0.2313 0.2293 0.2322 0.2333 0.2636 0.1509 0.1739 0.1741 0.2655
0.1911 0.2503 0.0335 0.0413 0.0309 0.0387 0.0477 0.9887 0.9887 1 0.2262 0.2262 0.2570 0.2396 0.2446 0.2427 0.2646 0.2269 0.2154 0.1507 0.2361 0.2292 0.2292 0.2292 0.2112 0.2633 0.2569 0.2577 0.2605 0.2585 0.2420 0.2313 0.2293 0.2497 0.2506 0.2422 0.2361 0.2462 0.2573 0.2431 0.2372 0.2373 0.2393 0.2373 0.2326 0.2563 0.2516 0.2552 0.2481 0.2543 0.2330 0.2493 0.2371 0.2375 0.1995 0.2606 0.2601 0.2680 0.2462 0.2552 0.2489 0.2533 0.2869 0.2857 0.2865 0.2864 0.2503 0.2772 0.2768 0.2206 0.2420 0.2313 0.2293 0.2322 0.2333 0.2636 0.1509 0.1739 0.1741 0.2655
