model         cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1904TS401_1  [0.603]  0.543    0.496    0.470    0.457    0.443    0.431    0.423    0.415    0.410     0.297
C1904TS156_1  0.553    [0.561]  [0.551]  [0.541]  [0.541]  [0.531]  [0.519]  [0.514]  [0.506]  [0.501]   0.388
C1904TS044_1  0.485    0.495    0.479    0.477    0.475    0.481    0.478    0.472    0.470    0.469     0.366
C1904TS131_2  0.435    0.446    0.457    0.463    0.476    0.475    0.476    0.480    0.482    0.484     0.395
C1904TS215_1  0.431    0.437    0.431    0.432    0.428    0.432    0.428    0.422    0.420    0.424     0.335
C1904TS087_2  0.425    0.436    0.443    0.454    0.456    0.453    0.451    0.451    0.450    0.450     0.386
C1904TS438_2  0.412    0.428    0.441    0.455    0.462    0.459    0.457    0.465    0.465    0.463     0.381
C1904TS273_2  0.411    0.420    0.426    0.441    0.444    0.441    0.438    0.439    0.437    0.439     0.366
C1904TS215_2  0.403    0.410    0.427    0.422    0.421    0.419    0.428    0.422    0.426    0.424     0.336
C1904TS278_2  0.376    0.386    0.392    0.396    0.398    0.397    0.396    0.397    0.398    0.397     0.348
C1904TS405_3  0.316    0.324    0.341    0.341    0.341    0.339    0.338    0.343    0.345    0.347     0.304
C1904TS156_5  0        0.534    0.541    0.535    0.534    0.524    0.513    0.507    0.500    0.496     0.388
C1904TS228_1  0        0.490    0.473    0.468    0.465    0.468    0.469    0.464    0.463    0.461     0.362
C1904TS131_4  0        0.443    0.454    0.461    0.472    0.472    0.471    0.474    0.476    0.476     0.392
C1904TS438_1  0        0.439    0.446    0.461    0.472    0.468    0.465    0.469    0.468    0.465     0.381
C1904TS369_1  0        0.436    0.454    0.460    0.461    0.460    0.460    0.461    0.458    0.459     0.391
C1904TS413_4  0        0.429    0.438    0.448    0.456    0.453    0.451    0.456    0.454    0.452     0.376
C1904TS152_1  0        0.426    0.433    0.440    0.444    0.442    0.441    0.442    0.441    0.442     0.374
C1904TS369_2  0        0.421    0.440    0.446    0.447    0.444    0.445    0.448    0.446    0.445     0.381
C1904TS215_5  0        0.418    0.415    0.423    0.427    0.430    0.428    0.424    0.425    0.424     0.338
C1904TS215_3  0        0.399    0.398    0.398    0.403    0.402    0.410    0.405    0.411    0.410     0.330
C1904TS210_4  0        0.399    0.410    0.421    0.425    0.423    0.421    0.421    0.422    0.421     0.358
C1904TS278_4  0        0.369    0.375    0.378    0.381    0.380    0.384    0.384    0.383    0.386     0.340
C1904TS210_5  0        0.327    0.337    0.342    0.345    0.343    0.345    0.350    0.349    0.348     0.315
