target   number_of_models  max_max_top_1_to_1  model_max_max_top_1_to_1  max_max_top_1_to_10  model_max_max_top_1_to_10  max_mean_top_1_to_5  model_max_mean_top_1_to_5  max_complete  model_max_complete  same_sel
C1901    110               0.704               C1901TS156_1              0.706                C1901TS156_1               0.6658               C1901TS156_1               0.311         C1901TS131_3        1
C1901d1  63                0.838               C1901d1TS273_1            0.838                C1901d1TS273_1             0.7154               C1901d1TS273_1             0.297         C1901d1TS273_2      1
C1901d2  61                0.528               C1901d2TS438_3            0.531                C1901d2TS438_3             0.5278               C1901d2TS438_3             0.488         C1901d2TS438_3      1
C1901d3  75                0.764               C1901d3TS273_1            0.764                C1901d3TS273_1             0.735                C1901d3TS273_3             0.323         C1901d3TS273_2      1
C1901x2  26                0.791               C1901x2TS215_3            0.791                C1901x2TS215_3             0.544                C1901x2TS215_3             0.273         C1901x2TS389_1      1
C1902    123               0.572               C1902TS156_1              0.572                C1902TS156_1               0.4954               C1902TS156_1               0.355         C1902TS438_2        1
C1902d1  57                0.584               C1902d1TS273_1            0.584                C1902d1TS273_1             0.515                C1902d1TS273_1             0.407         C1902d1TS438_4      1
C1902d2  63                0.4537              C1902d2TS270_1            0.4537               C1902d2TS270_1             0.41514              C1902d2TS270_1             0.3106        C1902d2TS131_1      1
C1902d3  57                0.75                C1902d3TS131_1            0.751                C1902d3TS131_1             0.7104               C1902d3TS131_1             0.497         C1902d3TS258_1      1
C1902x2  36                0.426               C1902x2TS215_3            0.426                C1902x2TS215_3             0.3856               C1902x2TS215_3             0.321         C1902x2TS389_4      1
C1903    124               0.403               C1903TS156_2              0.427                C1903TS156_2               0.4162               C1903TS156_2               0.358         C1903TS152_2        1
C1903d1  63                0.491               C1903d1TS273_1            0.491                C1903d1TS273_1             0.4124               C1903d1TS273_1             0.351         C1903d1TS438_1      1
C1903d2  62                0.505               C1903d2TS345_4            0.542                C1903d2TS240_1             0.4978               C1903d2TS228_5             0.449         C1903d2TS131_2      0
C1903x2  39                0.376               C1903x2TS228_3            0.452                C1903x2TS131_1             0.3918               C1903x2TS131_4             0.317         C1903x2TS131_1      0
C1904    117               0.594               C1904TS401_1              0.594                C1904TS401_1               0.524                C1904TS156_1               0.3274        C1904TS211_1        1
C1904d1  74                0.416               C1904d1TS210_1            0.462                C1904d1TS131_2             0.4372               C1904d1TS131_2             0.346         C1904d1TS247_1      0
C1904d2  55                0.496               C1904d2TS210_5            0.496                C1904d2TS210_5             0.4704               C1904d2TS210_5             0.371         C1904d2TS258_1      1
C1904d3  48                0.909               C1904d3TS273_1            0.909                C1904d3TS273_1             0.6626               C1904d3TS273_1             0.346         C1904d3TS131_5      1
C1904x2  26                0.406               C1904x2TS215_1            0.406                C1904x2TS215_1             0.3628               C1904x2TS215_1             0.28          C1904x2TS067_5      1
C1905    124               0.38                C1905TS213_2              0.457                C1905TS131_3               0.3874               C1905TS369_1               0.321         C1905TS087_1        0
C1905d1  72                0.492               C1905d1TS405_4            0.506                C1905d1TS405_5             0.4888               C1905d1TS405_5             0.378         C1905d1TS131_5      0
C1905d2  61                0.431               C1905d2TS210_1            0.431                C1905d2TS210_1             0.386                C1905d2TS210_1             0.306         C1905d2TS131_1      1
C1905x2  33                0.396               C1905x2TS215_1            0.414                C1905x2TS215_1             0.3738               C1905x2TS215_1             0.266         C1905x2TS389_1      1
C1906    128               0.6                 C1906TS156_1              0.6                  C1906TS156_1               0.5764               C1906TS156_1               0.421         C1906TS438_1        1
C1906d1  66                0.635               C1906d1TS131_1            0.635                C1906d1TS131_1             0.6148               C1906d1TS131_1             0.482         C1906d1TS258_5      1
C1906d2  62                0.616               C1906d2TS273_1            0.659                C1906d2TS273_1             0.6348               C1906d2TS273_1             0.391         C1906d2TS210_4      1
C1906x2  33                0.623               C1906x2TS215_5            0.623                C1906x2TS215_5             0.5344               C1906x2TS215_5             0.356         C1906x2TS389_4      1
C1907    133               0.603               C1907TS102_2              0.632                C1907TS131_1               0.6214               C1907TS131_1               0.559         C1907TS131_1        0
C1908    152               0.421               C1908TS152_1              0.442                C1908TS131_5               0.426                C1908TS152_1               0.336         C1908TS438_1        0
C1908x2  58                0.425               C1908x2TS389_1            0.436                C1908x2TS389_5             0.4288               C1908x2TS389_1             0.35          C1908x2TS389_5      0
C1909    143               0.494               C1909TS210_3              0.534                C1909TS087_2               0.5136               C1909TS087_2               0.448         C1909TS438_5        0
C1910    98                0.762               C1910TS131_1              0.762                C1910TS131_1               0.734                C1910TS131_1               0.687         C1910TS349_1        1
