C1905x2TS003_1 C1905x2TS049_1 C1905x2TS049_2 C1905x2TS049_3 C1905x2TS049_4 C1905x2TS049_5 C1905x2TS067_1 C1905x2TS067_2 C1905x2TS067_3 C1905x2TS067_4 C1905x2TS067_5 C1905x2TS073_1 C1905x2TS073_2 C1905x2TS073_3 C1905x2TS073_4 C1905x2TS073_5 C1905x2TS103_1 C1905x2TS121_1 C1905x2TS121_2 C1905x2TS123_1 C1905x2TS123_2 C1905x2TS123_3 C1905x2TS123_4 C1905x2TS123_5 C1905x2TS215_1 C1905x2TS215_2 C1905x2TS215_3 C1905x2TS215_4 C1905x2TS215_5 C1905x2TS228_1 C1905x2TS389_1 C1905x2TS389_2 C1905x2TS389_3 C1905x2TS389_4 C1905x2TS389_5
1 0.194032 0.165916 0.155138 0.181378 0.166338 0.279963 0.281212 0.288213 0.288385 0.288471 0.292408 0.304006 0.287928 0.290771 0.307733 0.277794 0.284099 0.252594 0.289312 0.274404 0.262986 0.281119 0.281119 0.286711 0.279478 0.283317 0.304628 0.297794 0.304769 0.307257 0.305041 0.318675 0.294909 0.306653
0.408687 1 0.440281 0.460556 0.464668 0.472679 0.347924 0.359767 0.365442 0.358388 0.358487 0.372206 0.370227 0.362738 0.349191 0.373434 0.361475 0.351024 0.322913 0.373874 0.394252 0.346128 0.384834 0.384834 0.362991 0.332667 0.352138 0.350714 0.345564 0.358732 0.347195 0.354793 0.356618 0.351368 0.357081
0.40522 0.465253 1 0.536843 0.499297 0.529813 0.353729 0.37047 0.369285 0.364254 0.364349 0.369999 0.353756 0.352174 0.353007 0.355018 0.365645 0.347828 0.310687 0.366599 0.395085 0.325185 0.382337 0.382337 0.344676 0.325775 0.353299 0.34391 0.344287 0.347985 0.34528 0.333642 0.341248 0.341195 0.345802
0.405963 0.517777 0.574903 1 0.555025 0.576315 0.356868 0.374668 0.375904 0.383845 0.383943 0.375393 0.362824 0.371362 0.354929 0.360804 0.378069 0.360891 0.328804 0.368792 0.412869 0.334649 0.388147 0.388147 0.354402 0.331047 0.348727 0.355414 0.340178 0.354835 0.349597 0.344424 0.346131 0.348772 0.343472
0.39895 0.472923 0.473391 0.495756 1 0.509626 0.340754 0.354831 0.354779 0.358831 0.358925 0.36262 0.351857 0.361299 0.345845 0.356072 0.352303 0.348409 0.311276 0.366175 0.395273 0.322687 0.373928 0.373928 0.338449 0.326645 0.337897 0.333993 0.336146 0.344596 0.344894 0.341832 0.346745 0.341187 0.342999
0.420577 0.514366 0.552096 0.558411 0.543312 1 0.364104 0.374647 0.37915 0.368979 0.369074 0.365427 0.370828 0.359499 0.352537 0.363102 0.379102 0.357747 0.321159 0.366772 0.40196 0.336401 0.388362 0.388362 0.353333 0.338359 0.353367 0.349363 0.347029 0.353639 0.351098 0.345441 0.348406 0.352136 0.354642
0.248693 0.140254 0.147275 0.123393 0.135545 0.128843 1 0.689502 0.7961 0.31671 0.316799 0.299871 0.310234 0.295306 0.315414 0.3037 0.287235 0.289187 0.273097 0.290498 0.255889 0.255358 0.300741 0.300741 0.273324 0.305354 0.295899 0.291985 0.297353 0.315079 0.304928 0.327938 0.315507 0.320981 0.314792
0.261976 0.158554 0.146318 0.132001 0.14323 0.136731 0.708554 1 0.709637 0.627533 0.627622 0.278461 0.292389 0.294118 0.305602 0.30296 0.290515 0.279383 0.25735 0.279244 0.258269 0.259433 0.298566 0.298566 0.290889 0.292708 0.299437 0.295767 0.290047 0.316381 0.307212 0.31381 0.3034 0.313946 0.315853
0.269311 0.161926 0.157169 0.13598 0.150369 0.142658 0.813797 0.704221 1 0.327784 0.327874 0.297465 0.318656 0.300387 0.32907 0.310208 0.301191 0.306061 0.279522 0.304541 0.273965 0.266516 0.312353 0.312353 0.284752 0.310858 0.307831 0.297917 0.308042 0.327837 0.319104 0.329057 0.317745 0.322515 0.33382
0.274371 0.158648 0.137622 0.137305 0.145467 0.130118 0.347143 0.644836 0.348249 1 0.999909 0.280526 0.296874 0.301273 0.304483 0.308093 0.296109 0.28539 0.269719 0.278774 0.263086 0.272598 0.307031 0.307031 0.289768 0.296213 0.294983 0.30557 0.290791 0.307764 0.315143 0.315705 0.300947 0.316573 0.311368
0.274528 0.158634 0.13761 0.137292 0.145636 0.130288 0.347293 0.644959 0.348399 0.999909 1 0.2805 0.296847 0.301246 0.304455 0.308192 0.296082 0.285545 0.269694 0.27893 0.263244 0.272573 0.307003 0.307003 0.289741 0.296186 0.294956 0.305543 0.290912 0.307918 0.315114 0.315858 0.30092 0.316725 0.31134
0.255979 0.159377 0.128274 0.124357 0.133725 0.11015 0.289152 0.264128 0.286148 0.260585 0.260502 1 0.385698 0.386815 0.371784 0.363853 0.269405 0.299928 0.254272 0.31861 0.286868 0.285756 0.282441 0.282441 0.317447 0.317827 0.310463 0.305512 0.320857 0.331165 0.360189 0.347023 0.344893 0.340578 0.336293
0.25717 0.144976 0.127323 0.114727 0.123033 0.107459 0.294016 0.266532 0.2873 0.268876 0.268793 0.380716 1 0.357703 0.364921 0.33892 0.280207 0.285461 0.256389 0.295106 0.265366 0.279118 0.298035 0.298035 0.310017 0.323829 0.319504 0.309186 0.310109 0.332395 0.322416 0.323509 0.310849 0.329448 0.332427
0.252627 0.140244 0.118913 0.124364 0.127704 0.100399 0.283199 0.271337 0.279471 0.276695 0.276611 0.379317 0.365644 1 0.381254 0.368234 0.275323 0.287275 0.239479 0.30218 0.295901 0.279815 0.29324 0.29324 0.310595 0.320157 0.302578 0.300188 0.32136 0.332463 0.34491 0.344916 0.330137 0.347772 0.334737
0.240355 0.120234 0.123411 0.105154 0.121345 0.0933841 0.287841 0.269007 0.287436 0.262979 0.262979 0.351846 0.359569 0.362433 1 0.346172 0.270309 0.275462 0.245591 0.291216 0.260168 0.27369 0.291188 0.291188 0.298808 0.302257 0.29758 0.281284 0.308062 0.318429 0.336031 0.340403 0.313846 0.336436 0.311927
