C1901TS003_1 C1901TS003_2 C1901TS003_3 C1901TS044_1 C1901TS066_1 C1901TS067_1 C1901TS067_2 C1901TS067_3 C1901TS067_4 C1901TS067_5 C1901TS087_1 C1901TS087_2 C1901TS087_3 C1901TS102_1 C1901TS103_1 C1901TS123_1 C1901TS123_2 C1901TS123_3 C1901TS123_4 C1901TS123_5 C1901TS131_1 C1901TS131_2 C1901TS131_3 C1901TS131_4 C1901TS131_5 C1901TS152_1 C1901TS152_2 C1901TS152_3 C1901TS152_4 C1901TS152_5 C1901TS156_1 C1901TS156_2 C1901TS156_3 C1901TS156_4 C1901TS156_5 C1901TS158_1 C1901TS158_2 C1901TS158_3 C1901TS158_4 C1901TS158_5 C1901TS182_1 C1901TS182_2 C1901TS182_3 C1901TS182_4 C1901TS182_5 C1901TS196_1 C1901TS200_1 C1901TS210_1 C1901TS210_2 C1901TS210_3 C1901TS210_4 C1901TS210_5 C1901TS211_1 C1901TS211_2 C1901TS211_3 C1901TS211_4 C1901TS211_5 C1901TS213_1 C1901TS213_2 C1901TS213_3 C1901TS213_4 C1901TS213_5 C1901TS215_1 C1901TS215_2 C1901TS215_3 C1901TS215_4 C1901TS215_5 C1901TS228_1 C1901TS240_1 C1901TS240_2 C1901TS240_3 C1901TS240_4 C1901TS240_5 C1901TS247_1 C1901TS247_2 C1901TS247_3 C1901TS247_4 C1901TS247_5 C1901TS258_1 C1901TS258_2 C1901TS258_3 C1901TS258_4 C1901TS258_5 C1901TS273_1 C1901TS273_2 C1901TS273_3 C1901TS273_4 C1901TS273_5 C1901TS278_1 C1901TS278_2 C1901TS278_3 C1901TS278_4 C1901TS278_5 C1901TS299_1 C1901TS299_2 C1901TS299_3 C1901TS309_1 C1901TS309_2 C1901TS309_3 C1901TS309_4 C1901TS309_5 C1901TS347_1 C1901TS359_1 C1901TS369_1 C1901TS369_2 C1901TS369_3 C1901TS369_4 C1901TS369_5 C1901TS389_1 C1901TS389_2 C1901TS389_3 C1901TS389_4 C1901TS389_5 C1901TS401_1 C1901TS405_1 C1901TS405_2 C1901TS405_3 C1901TS405_4 C1901TS405_5 C1901TS413_1 C1901TS413_2 C1901TS413_3 C1901TS413_4 C1901TS413_5 C1901TS414_1 C1901TS414_2 C1901TS414_3 C1901TS414_4 C1901TS414_5 C1901TS438_1 C1901TS438_2 C1901TS438_3 C1901TS438_4 C1901TS438_5 C1901TS490_1
1 0.397893 0.372497 0.390655 0.299449 0.347365 0.34862 0.338081 0.343515 0.333721 0.388681 0.395932 0.382493 0.164966 0.32652 0.353771 0.371584 0.348563 0.361295 0.361295 0.398617 0.40963 0.407588 0.407528 0.405562 0.378187 0.393055 0.393334 0.390997 0.377613 0.384543 0.385056 0.379479 0.383948 0.378654 0.347682 0.353933 0.34431 0.341866 0.354523 0.346496 0.311767 0.350871 0.310902 0.332108 0.373381 0.334473 0.367889 0.389771 0.37327 0.366965 0.362917 0.397396 0.385358 0.384449 0.352429 0.362558 0.384979 0.383141 0.386876 0.388971 0.389099 0.37886 0.366172 0.373945 0.374408 0.373246 0.382109 0.377167 0.385682 0.3806 0.397676 0.371281 0.36761 0.360368 0.36211 0.378571 0.368597 0.35133 0.350797 0.371095 0.354021 0.342229 0.392908 0.376285 0.369745 0.338744 0.313127 0.347682 0.353933 0.34431 0.341866 0.354523 0.373898 0.378614 0.372665 0.383206 0.32997 0.370738 0.380537 0.375421 0.369236 0.372378 0.411912 0.405677 0.398925 0.415075 0.407772 0.35627 0.373274 0.369316 0.319052 0.359164 0.314396 0.365835 0.366933 0.362917 0.355592 0.373914 0.377264 0.363051 0.386515 0.390071 0.369933 0.401461 0.406534 0.409645 0.394826 0.411792 0.378075 0.373185 0.37404 0.37307 0.371163 0.34239
0.345849 1 0.331264 0.338846 0.266776 0.305064 0.308972 0.295163 0.310288 0.293436 0.34891 0.357279 0.340483 0.153605 0.297386 0.293594 0.335049 0.292133 0.320329 0.320329 0.354238 0.352191 0.344623 0.348375 0.347176 0.33785 0.339756 0.3396 0.341214 0.33832 0.341123 0.342015 0.337593 0.339769 0.335299 0.296776 0.291762 0.291361 0.29604 0.304925 0.306394 0.264271 0.311258 0.269523 0.298721 0.330259 0.30888 0.333595 0.344282 0.326639 0.317673 0.323179 0.339979 0.333402 0.325514 0.303632 0.304627 0.340359 0.337122 0.335023 0.338347 0.340592 0.336666 0.326659 0.329393 0.331001 0.329302 0.336629 0.324139 0.341945 0.328436 0.345706 0.335138 0.327369 0.319227 0.318415 0.327188 0.316064 0.323122 0.316191 0.325162 0.318503 0.312886 0.340386 0.332732 0.333068 0.283359 0.291194 0.296776 0.291762 0.291361 0.29604 0.304925 0.327054 0.32297 0.321167 0.316108 0.286613 0.323478 0.326227 0.327099 0.311625 0.337544 0.35126 0.348287 0.338954 0.358391 0.357774 0.312749 0.311076 0.322968 0.282522 0.324444 0.273059 0.319766 0.317696 0.323179 0.321774 0.327903 0.333246 0.328782 0.33624 0.341184 0.33601 0.350396 0.346806 0.354146 0.348696 0.35232 0.333813 0.338211 0.338538 0.334719 0.332293 0.316214
0.346919 0.356262 1 0.361543 0.282937 0.3277 0.326671 0.318638 0.327274 0.312503 0.368999 0.383652 0.362138 0.157503 0.299477 0.312747 0.348758 0.3228 0.342922 0.342922 0.374251 0.373963 0.374061 0.372404 0.376399 0.361606 0.365437 0.362071 0.373495 0.365914 0.360036 0.361913 0.35663 0.356882 0.356409 0.31616 0.317889 0.302936 0.327625 0.317972 0.321015 0.284793 0.325755 0.283755 0.313369 0.347519 0.322645 0.345985 0.359907 0.346058 0.344526 0.335119 0.376374 0.343976 0.34646 0.33402 0.330904 0.35956 0.358902 0.358298 0.361233 0.360682 0.357383 0.352154 0.354153 0.352146 0.356606 0.356815 0.340195 0.36314 0.355847 0.362544 0.339558 0.344583 0.343873 0.346464 0.354308 0.339517 0.330725 0.336688 0.329907 0.33017 0.331503 0.359947 0.364207 0.359243 0.308819 0.289395 0.31616 0.317889 0.302936 0.327625 0.317972 0.351256 0.351998 0.341248 0.357009 0.295102 0.350359 0.357691 0.353744 0.320869 0.359766 0.369904 0.368513 0.363679 0.373519 0.372364 0.333114 0.339472 0.339717 0.292229 0.330408 0.297962 0.348716 0.344453 0.335119 0.343312 0.347482 0.363837 0.341561 0.36834 0.362149 0.35835 0.368815 0.375771 0.385822 0.371962 0.380683 0.36658 0.361916 0.364043 0.363539 0.356436 0.327109
0.260242 0.261557 0.256382 1 0.232129 0.258607 0.26136 0.242826 0.26167 0.241859 0.34192 0.363328 0.349817 0.110909 0.233701 0.250499 0.292679 0.256813 0.289558 0.289558 0.385284 0.396256 0.396587 0.392007 0.391015 0.365043 0.372141 0.850484 0.349844 0.36943 0.375263 0.37849 0.36723 0.372018 0.369581 0.239422 0.25066 0.243573 0.237117 0.253569 0.274047 0.225069 0.274702 0.226871 0.263577 0.294031 0.295536 0.342884 0.359811 0.330356 0.317561 0.306596 0.350412 0.296964 0.303278 0.275368 0.277225 0.794234 0.791799 0.79429 0.787141 0.802482 0.43889 0.460463 0.445587 0.461332 0.455083 0.760576 0.339837 0.356428 0.35098 0.355281 0.346381 0.299207 0.294687 0.279281 0.305707 0.296778 0.285136 0.30502 0.312088 0.312583 0.305891 0.868365 0.36429 0.355276 0.242232 0.222191 0.239422 0.25066 0.243573 0.237117 0.253569 0.308836 0.313127 0.297576 0.343336 0.270146 0.32502 0.329372 0.329132 0.266571 0.302589 0.38859 0.386315 0.374228 0.38053 0.382849 0.295293 0.287438 0.304558 0.216667 0.285943 0.31072 0.320267 0.317498 0.306596 0.314315 0.311238 0.36438 0.346219 0.368249 0.370348 0.354277 0.386585 0.376835 0.381812 0.369404 0.371611 0.307464 0.308559 0.308206 0.306569 0.306165 0.278224
0.227122 0.234838 0.227919 0.266165 1 0.227153 0.227955 0.207086 0.224414 0.209158 0.276348 0.270749 0.271777 0.108513 0.206596 0.222606 0.254725 0.232498 0.243874 0.243874 0.27933 0.273969 0.27432 0.275291 0.277363 0.272673 0.270997 0.2674 0.272006 0.273027 0.27182 0.272418 0.268657 0.270239 0.269633 0.221209 0.231601 0.227603 0.232623 0.224072 0.233525 0.205981 0.234502 0.205498 0.22761 0.242536 0.22945 0.263109 0.273096 0.267461 0.251084 0.252349 0.269831 0.244336 0.253018 0.234929 0.234148 0.264797 0.263205 0.261962 0.260864 0.265332 0.261535 0.255762 0.262843 0.253956 0.264148 0.262457 0.258028 0.26978 0.26343 0.274711 0.261705 0.249145 0.244955 0.242457 0.255332 0.245912 0.240087 0.245414 0.250612 0.24605 0.242407 0.266585 0.270699 0.271683 0.224726 0.203034 0.221209 0.231601 0.227603 0.232623 0.224072 0.259429 0.261058 0.245158 0.260688 0.238978 0.256344 0.266002 0.257717 0.239515 0.253292 0.271145 0.275334 0.272734 0.273632 0.277931 0.251187 0.243726 0.257799 0.212663 0.243008 0.230492 0.260395 0.25105 0.252349 0.250512 0.257625 0.27163 0.264656 0.270165 0.269632 0.270303 0.278072 0.271981 0.279081 0.278722 0.282508 0.249988 0.248827 0.249199 0.247052 0.245757 0.244006
0.228054 0.230903 0.239256 0.252464 0.195543 1 0.790412 0.589295 0.790577 0.579395 0.251045 0.256 0.247066 0.120869 0.209087 0.195706 0.22697 0.197574 0.237185 0.237185 0.261054 0.259311 0.259411 0.260364 0.26085 0.244605 0.251076 0.253375 0.241977 0.252058 0.250573 0.254986 0.253814 0.25381 0.253713 0.193465 0.200446 0.192147 0.191544 0.209359 0.213814 0.201146 0.217632 0.199432 0.207006 0.227648 0.23027 0.233783 0.242777 0.249282 0.239575 0.239008 0.244208 0.247203 0.239487 0.226715 0.225161 0.249724 0.251927 0.253707 0.2509 0.25137 0.246326 0.247938 0.247842 0.253791 0.244917 0.246759 0.241492 0.251005 0.239644 0.250439 0.238029 0.238962 0.24004 0.235262 0.239161 0.242083 0.232763 0.235931 0.237309 0.227547 0.229767 0.250995 0.251718 0.245591 0.212677 0.202138 0.193465 0.200446 0.192147 0.191544 0.209359 0.226204 0.23081 0.226026 0.246581 0.217251 0.235825 0.245829 0.239991 0.246321 0.235184 0.251949 0.252287 0.24943 0.251242 0.254149 0.222097 0.226486 0.229507 0.199394 0.226906 0.209628 0.229398 0.239636 0.239008 0.242179 0.240504 0.251516 0.242763 0.24901 0.251674 0.244645 0.25346 0.250515 0.254444 0.252621 0.257646 0.543267 0.535449 0.540814 0.52911 0.550943 0.218926
0.227893 0.230713 0.234869 0.252332 0.193019 0.787531 1 0.585236 0.807379 0.580044 0.250593 0.255165 0.24773 0.119298 0.211274 0.188804 0.224316 0.197332 0.230349 0.230349 0.263421 0.260492 0.259764 0.260163 0.260386 0.244264 0.251916 0.250775 0.24125 0.25331 0.252383 0.254762 0.252946 0.25178 0.254979 0.193491 0.19839 0.189174 0.188498 0.205918 0.214371 0.199525 0.218401 0.19802 0.206532 0.224166 0.229699 0.234787 0.242912 0.248614 0.240049 0.236107 0.244295 0.248022 0.238617 0.228356 0.22654 0.251807 0.253271 0.25252 0.252155 0.251299 0.247744 0.248438 0.247373 0.250342 0.246016 0.246456 0.241239 0.25009 0.244428 0.248665 0.239422 0.237918 0.240109 0.235133 0.240846 0.240956 0.231471 0.234551 0.238709 0.230734 0.226405 0.249123 0.252394 0.243996 0.213082 0.204458 0.193491 0.19839 0.189174 0.188498 0.205918 0.223463 0.229147 0.224016 0.247946 0.217068 0.236437 0.24115 0.23679 0.244546 0.239161 0.253074 0.251353 0.24725 0.251819 0.254319 0.224387 0.225435 0.231066 0.197252 0.221462 0.210166 0.230215 0.24011 0.236107 0.244044 0.240844 0.252541 0.244399 0.24969 0.249228 0.242125 0.254299 0.251556 0.253613 0.251633 0.257418 0.549415 0.557516 0.554956 0.539178 0.550768 0.218795
0.236615 0.23946 0.240655 0.250067 0.195005 0.601928 0.598617 1 0.606415 0.722715 0.247796 0.254255 0.24416 0.118722 0.21085 0.193771 0.225334 0.196455 0.2371 0.2371 0.265029 0.262881 0.261696 0.263195 0.262472 0.245844 0.257804 0.253113 0.246198 0.250304 0.250035 0.254663 0.251907 0.248906 0.251539 0.194064 0.196937 0.189112 0.212221 0.211025 0.216708 0.203072 0.221288 0.208323 0.210197 0.233542 0.224122 0.236491 0.244967 0.24835 0.236961 0.241926 0.245732 0.246313 0.242189 0.227355 0.227172 0.24701 0.248662 0.248924 0.247311 0.246879 0.238832 0.240947 0.23928 0.242572 0.241632 0.243555 0.24647 0.258 0.244615 0.252582 0.234964 0.24189 0.234378 0.235721 0.235798 0.244642 0.229694 0.232266 0.240548 0.236515 0.23083 0.248576 0.249849 0.245974 0.212803 0.197883 0.194064 0.196937 0.189112 0.212221 0.211025 0.235522 0.242472 0.230772 0.248736 0.220956 0.238422 0.24561 0.246027 0.241429 0.243574 0.254614 0.253084 0.251777 0.255013 0.254023 0.222012 0.230398 0.229057 0.203556 0.231767 0.213754 0.237552 0.237013 0.241926 0.240996 0.240165 0.250693 0.241276 0.251719 0.259187 0.244985 0.254211 0.246868 0.253891 0.246884 0.252785 0.532913 0.525725 0.539256 0.546159 0.535234 0.22274
0.225572 0.231877 0.233256 0.252483 0.191228 0.791989 0.809121 0.594402 1 0.589401 0.247468 0.252728 0.245305 0.120284 0.209645 0.187497 0.225574 0.195642 0.231339 0.231339 0.262469 0.263269 0.260386 0.262465 0.262584 0.242311 0.250287 0.251037 0.239192 0.249853 0.251675 0.255957 0.254169 0.253334 0.254384 0.191687 0.194365 0.189554 0.189287 0.204313 0.211928 0.198919 0.216091 0.195085 0.207192 0.22589 0.227001 0.23493 0.244005 0.24679 0.23706 0.235703 0.242021 0.245838 0.238347 0.227323 0.224437 0.24914 0.251311 0.251169 0.250791 0.249991 0.242922 0.246556 0.242953 0.245705 0.244893 0.245074 0.2414 0.248631 0.241499 0.249402 0.237496 0.237011 0.237148 0.236388 0.236415 0.240012 0.230277 0.23073 0.239179 0.229554 0.225769 0.250695 0.250265 0.242517 0.209291 0.203531 0.191687 0.194365 0.189554 0.189287 0.204313 0.223105 0.228682 0.224753 0.246041 0.217352 0.236664 0.24235 0.24021 0.24358 0.235214 0.249229 0.249301 0.243188 0.249491 0.250479 0.221417 0.223809 0.226165 0.196272 0.223265 0.212174 0.231873 0.237127 0.235703 0.240483 0.242606 0.250148 0.239054 0.24794 0.250185 0.240448 0.252512 0.245934 0.253676 0.249616 0.252184 0.550982 0.558879 0.554912 0.551658 0.553033 0.217645
0.228559 0.231136 0.232811 0.245532 0.191678 0.58354 0.582212 0.712877 0.589829 1 0.246681 0.245976 0.240966 0.116082 0.206736 0.192612 0.218118 0.19343 0.226583 0.226583 0.26074 0.260885 0.259114 0.258778 0.259871 0.236192 0.249849 0.246555 0.238489 0.244995 0.24898 0.252094 0.248728 0.245876 0.248994 0.188575 0.190503 0.183398 0.206527 0.209211 0.209306 0.201397 0.212068 0.201773 0.206835 0.22771 0.220944 0.231874 0.243194 0.246554 0.232722 0.238451 0.242475 0.243709 0.240009 0.226778 0.224057 0.241742 0.24338 0.242541 0.243796 0.243893 0.235549 0.235941 0.232102 0.240175 0.23317 0.240595 0.240053 0.249874 0.236754 0.247461 0.228936 0.234812 0.23243 0.230829 0.232913 0.234801 0.222175 0.226057 0.235965 0.229188 0.223012 0.246169 0.245122 0.237209 0.207659 0.196833 0.188575 0.190503 0.183398 0.206527 0.209211 0.228429 0.23329 0.226207 0.245064 0.216034 0.230772 0.241067 0.244767 0.234249 0.240674 0.247238 0.246788 0.245446 0.247905 0.24734 0.220825 0.22306 0.224566 0.197373 0.221792 0.210809 0.231776 0.232784 0.238451 0.24126 0.236359 0.245102 0.234741 0.243364 0.247758 0.234835 0.249283 0.240638 0.249067 0.246419 0.247873 0.528109 0.514414 0.518332 0.539319 0.528994 0.215209
